provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Hyper-V-VID	1101	0	task_0(Int64 Parameter0, Int64 Parameter1, Int64 Parameter2)			task_0	Error		
Microsoft-Windows-Hyper-V-VID	1102	0	task_01102(Int64 Parameter0, Int64 Parameter1, Int64 Parameter2)			task_0	Error		
Microsoft-Windows-Hyper-V-VID	1103	0	task_01103(Int64 Parameter0, Int64 Parameter1, Int64 Parameter2)			task_0	Error		
Microsoft-Windows-Hyper-V-VID	1104	0	task_01104(Int64 Parameter0, Int64 Parameter1, Int64 Parameter2)			task_0	Error		
Microsoft-Windows-Hyper-V-VID	1105	0	task_01105(Int64 Parameter0, Int64 Parameter1)			task_0	Error		
Microsoft-Windows-Hyper-V-VID	1106	0	task_01106(Int64 Parameter0, Int64 Parameter1, Int64 Parameter2)			task_0	Error		
Microsoft-Windows-Hyper-V-VID	1107	0	task_01107(Int64 Parameter0, Int64 Parameter1, Int64 Parameter2)			task_0	Error		
Microsoft-Windows-Hyper-V-VID	1108	0	task_01108(Int64 Parameter0, Int64 Parameter1, Int64 Parameter2)			task_0	Error		
Microsoft-Windows-Hyper-V-VID	1109	0	task_01109(Int64 Parameter0, Int64 Parameter1, Int64 Parameter2)			task_0	Error		
Microsoft-Windows-Hyper-V-VID	1110	0	task_01110(Int64 Parameter0, Int64 Parameter1, Int64 Parameter2)			task_0	Error		
Microsoft-Windows-Hyper-V-VID	1111	0	task_01111(Int64 Parameter0, Int64 Parameter1, Int64 Parameter2)			task_0	Error		
Microsoft-Windows-Hyper-V-VID	3000	0	task_03000(UnicodeString PartitionId, Int64 Parameter0)			task_0	Informational		
Microsoft-Windows-Hyper-V-VID	5001	0	VID_reservepagesStart(Int64 Parameter0, Int64 Parameter1)	Start	VMK_HYPERV_PERF_OUTER VMK_HYPERV_PERF	VID_reservepages	Informational		
Microsoft-Windows-Hyper-V-VID	5002	0	VID_reservepagesStop(Int64 Parameter0, Int64 Parameter1, Int64 Parameter2, Int64 Parameter3, Int64 Parameter4, Int64 Parameter5, Int64 Parameter6)	Stop	VMK_HYPERV_PERF_OUTER VMK_HYPERV_PERF	VID_reservepages	Informational		
Microsoft-Windows-Hyper-V-VID	5003	0	VID_reservepagesStart5003(Int64 Parameter0, Int64 Parameter1)	Start	VMK_HYPERV_PERF_INNER VMK_HYPERV_PERF	VID_reservepages	Informational		
Microsoft-Windows-Hyper-V-VID	5004	0	VID_reservepagesStop5004(Int64 Parameter0, Int64 Parameter1, Int64 Parameter2)	Stop	VMK_HYPERV_PERF_INNER VMK_HYPERV_PERF	VID_reservepages	Informational		
Microsoft-Windows-Hyper-V-VID	5005	0	VID_reservepagesStart5005(Int64 Parameter0, Int64 Parameter1)	Start	VMK_HYPERV_PERF_INNER VMK_HYPERV_PERF	VID_reservepages	Informational		
Microsoft-Windows-Hyper-V-VID	5006	0	VID_reservepagesStop5006(Int64 Parameter0, Int64 Parameter1, Int64 Parameter2)	Stop	VMK_HYPERV_PERF_INNER VMK_HYPERV_PERF	VID_reservepages	Informational		
Microsoft-Windows-Hyper-V-VID	5007	0	VID_reservepagesStart5007(Int64 Parameter0)	Start	VMK_HYPERV_PERF_INNER VMK_HYPERV_PERF	VID_reservepages	Informational		
