provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-IME-JPAPI	31	0	TaskID:IMECandidateOpenStart()	Start		TaskID:IMECandidateOpen	Informational		
Microsoft-Windows-IME-JPAPI	32	0	TaskID:IMECandidateOpenStop()	Stop		TaskID:IMECandidateOpen	Informational		
Microsoft-Windows-IME-JPAPI	35	0	TaskID:IMEConversionStart()	Start		TaskID:IMEConversion	Informational		
Microsoft-Windows-IME-JPAPI	36	0	TaskID:IMEConversionStop()	Stop		TaskID:IMEConversion	Informational		
Microsoft-Windows-IME-JPAPI	37	0	TaskID:IMETypingStart()	Start		TaskID:IMETyping	Informational		
Microsoft-Windows-IME-JPAPI	38	0	TaskID:IMETypingStop()	Stop		TaskID:IMETyping	Informational		
Microsoft-Windows-IME-JPAPI	39	0	TaskID:IMEGetCommentStart()	Start		TaskID:IMEGetComment	Informational		
Microsoft-Windows-IME-JPAPI	40	0	TaskID:IMEGetCommentStop()	Stop		TaskID:IMEGetComment	Informational		
Microsoft-Windows-IME-JPAPI	41	0	TaskID:IMEActivateStart()	Start		TaskID:IMEActivate	Informational		
Microsoft-Windows-IME-JPAPI	42	0	TaskID:IMEActivateStop()	Stop		TaskID:IMEActivate	Informational		
Microsoft-Windows-IME-JPAPI	43	0	TaskID:IMEDetermineStart()	Start		TaskID:IMEDetermine	Informational		
Microsoft-Windows-IME-JPAPI	44	0	TaskID:IMEDetermineStop()	Stop		TaskID:IMEDetermine	Informational		
Microsoft-Windows-IME-JPAPI	50	0	TaskID:IMECommandsStart()	Start		TaskID:IMECommands	Informational		
Microsoft-Windows-IME-JPAPI	51	0	TaskID:IMECommandsStop()	Stop		TaskID:IMECommands	Informational		
Microsoft-Windows-IME-JPAPI	52	0	TaskID:IMECommandsStart52()	Start		TaskID:IMECommands	Informational		
Microsoft-Windows-IME-JPAPI	53	0	TaskID:IMECommandsStop53()	Stop		TaskID:IMECommands	Informational		
Microsoft-Windows-IME-JPAPI	54	0	TaskID:IMECommandsStart54()	Start		TaskID:IMECommands	Informational		
Microsoft-Windows-IME-JPAPI	55	0	TaskID:IMECommandsStop55()	Stop		TaskID:IMECommands	Informational		
Microsoft-Windows-IME-JPAPI	60	0	TaskID:IMEAPIStart()	Start		TaskID:IMEAPI	Informational		
Microsoft-Windows-IME-JPAPI	61	0	TaskID:IMEAPIStop()	Stop		TaskID:IMEAPI	Informational		
Microsoft-Windows-IME-JPAPI	62	0	TaskID:IMEAPIStart62()	Start		TaskID:IMEAPI	Informational		
Microsoft-Windows-IME-JPAPI	63	0	TaskID:IMEAPIStop63()	Stop		TaskID:IMEAPI	Informational		
