provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-IME-JPLMP	51	0	TaskID:IMELMDecodingDecode1Start()	Decode1Start		TaskID:IMELMDecoding	Informational		
Microsoft-Windows-IME-JPLMP	52	0	TaskID:IMELMDecodingDecode1End()	Decode1End		TaskID:IMELMDecoding	Informational		
Microsoft-Windows-IME-JPLMP	57	0	TaskID:IMELMDecodingDecode2Start()	Decode2Start		TaskID:IMELMDecoding	Informational		
Microsoft-Windows-IME-JPLMP	58	0	TaskID:IMELMDecodingDecode2End()	Decode2End		TaskID:IMELMDecoding	Informational		
Microsoft-Windows-IME-JPLMP	61	0	TaskID:IMEConversionStart()	Start		TaskID:IMEConversion	Informational		
Microsoft-Windows-IME-JPLMP	62	0	TaskID:IMEConversionStop()	Stop		TaskID:IMEConversion	Informational		
Microsoft-Windows-IME-JPLMP	63	0	TaskID:IMECandidateOpenStart()	Start		TaskID:IMECandidateOpen	Informational		
Microsoft-Windows-IME-JPLMP	64	0	TaskID:IMECandidateOpenStop()	Stop		TaskID:IMECandidateOpen	Informational		
Microsoft-Windows-IME-JPLMP	65	0	TaskID:IMEDetermineStart()	Start		TaskID:IMEDetermine	Informational		
Microsoft-Windows-IME-JPLMP	66	0	TaskID:IMEDetermineStop()	Stop		TaskID:IMEDetermine	Informational		
Microsoft-Windows-IME-JPLMP	67	0	TaskID:IMETypingStart()	Start		TaskID:IMETyping	Informational		
Microsoft-Windows-IME-JPLMP	68	0	TaskID:IMETypingStop()	Stop		TaskID:IMETyping	Informational		
Microsoft-Windows-IME-JPLMP	69	0	TaskID:IMELearningStart()	Start		TaskID:IMELearning	Informational		
Microsoft-Windows-IME-JPLMP	70	0	TaskID:IMELearningStop()	Stop		TaskID:IMELearning	Informational		
Microsoft-Windows-IME-JPLMP	110	0	TaskID:IMELMAPIStart()	Start		TaskID:IMELMAPI	Informational		
Microsoft-Windows-IME-JPLMP	111	0	TaskID:IMELMAPIStop()	Stop		TaskID:IMELMAPI	Informational		
Microsoft-Windows-IME-JPLMP	112	0	TaskID:IMELMAPIStart112()	Start		TaskID:IMELMAPI	Informational		
Microsoft-Windows-IME-JPLMP	113	0	TaskID:IMELMAPIStop113()	Stop		TaskID:IMELMAPI	Informational		
