provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-IME-OEDCompiler	1	0	TaskID:OEDCompilerStart()	Start		TaskID:OEDCompiler	Informational		
Microsoft-Windows-IME-OEDCompiler	2	0	TaskID:OEDCompilerStop()	Stop		TaskID:OEDCompiler	Informational		
Microsoft-Windows-IME-OEDCompiler	3	0	TaskID:OEDCompilerProcessHeaderStart()	Start		TaskID:OEDCompilerProcessHeader	Informational		
Microsoft-Windows-IME-OEDCompiler	4	0	TaskID:OEDCompilerProcessHeaderStop()	Stop		TaskID:OEDCompilerProcessHeader	Informational		
Microsoft-Windows-IME-OEDCompiler	5	0	TaskID:OEDCompilerBuildDictionaryStart()	Start		TaskID:OEDCompilerBuildDictionary	Informational		
Microsoft-Windows-IME-OEDCompiler	6	0	TaskID:OEDCompilerBuildDictionaryStop()	Stop		TaskID:OEDCompilerBuildDictionary	Informational		
Microsoft-Windows-IME-OEDCompiler	7	0	TaskID:OEDCompilerRegsisterDictionaryStart()	Start		TaskID:OEDCompilerRegsisterDictionary	Informational		
Microsoft-Windows-IME-OEDCompiler	8	0	TaskID:OEDCompilerRegsisterDictionaryStop()	Stop		TaskID:OEDCompilerRegsisterDictionary	Informational		
Microsoft-Windows-IME-OEDCompiler	9	0	TaskID:OEDCompilerRegsisterDictionaryStart9()	Start		TaskID:OEDCompilerRegsisterDictionary	Informational		
Microsoft-Windows-IME-OEDCompiler	10	0	TaskID:OEDCompilerRegsisterDictionaryStop10()	Stop		TaskID:OEDCompilerRegsisterDictionary	Informational		
