provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-IME-TCCORE	31	0	TaskID:IMECandidateOpenStart()	Start		TaskID:IMECandidateOpen	Informational		
Microsoft-Windows-IME-TCCORE	32	0	TaskID:IMECandidateOpenStop()	Stop		TaskID:IMECandidateOpen	Informational		
Microsoft-Windows-IME-TCCORE	33	0	TaskID:IMEPromptCandidateOpenStart()	Start		TaskID:IMEPromptCandidateOpen	Informational		
Microsoft-Windows-IME-TCCORE	34	0	TaskID:IMEPromptCandidateOpenStop()	Stop		TaskID:IMEPromptCandidateOpen	Informational		
Microsoft-Windows-IME-TCCORE	35	0	TaskID:IMEConversionStart()	Start		TaskID:IMEConversion	Informational		
Microsoft-Windows-IME-TCCORE	36	0	TaskID:IMEConversionStop()	Stop		TaskID:IMEConversion	Informational		
Microsoft-Windows-IME-TCCORE	37	0	TaskID:IMETypingStart()	Start		TaskID:IMETyping	Informational		
Microsoft-Windows-IME-TCCORE	38	0	TaskID:IMETypingStop()	Stop		TaskID:IMETyping	Informational		
Microsoft-Windows-IME-TCCORE	51	0	TaskID:IMELMDecodingDecode1Start()	Decode1Start		TaskID:IMELMDecoding	Informational		
Microsoft-Windows-IME-TCCORE	52	0	TaskID:IMELMDecodingDecode1End()	Decode1End		TaskID:IMELMDecoding	Informational		
Microsoft-Windows-IME-TCCORE	53	0	TaskID:IMELMDecodingLexSearchStart()	LexSearchStart		TaskID:IMELMDecoding	Informational		
Microsoft-Windows-IME-TCCORE	54	0	TaskID:IMELMDecodingLexSearchEnd()	LexSearchEnd		TaskID:IMELMDecoding	Informational		
Microsoft-Windows-IME-TCCORE	55	0	TaskID:IMELMDecodingSearchStart()	SearchStart		TaskID:IMELMDecoding	Informational		
Microsoft-Windows-IME-TCCORE	56	0	TaskID:IMELMDecodingSearchEnd()	SearchEnd		TaskID:IMELMDecoding	Informational		
