provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-IndirectDisplays-ClassExtension-Events	1	0	AdapterInitAsync()	InitAsync	DdiCallbacks	Adapter	Informational		
Microsoft-Windows-IndirectDisplays-ClassExtension-Events	2	0	AdapterInitFinished(Int64 IddAdapterLuid)	InitFinished	DdiCallbacks	Adapter	Informational		
Microsoft-Windows-IndirectDisplays-ClassExtension-Events	3	0	AdapterCommit(Int64 IddAdapterLuid)	Commit	DdiCallbacks	Adapter	Informational		
Microsoft-Windows-IndirectDisplays-ClassExtension-Events	4	0	AdapterUpdateMaxBandwidth(Int64 IddAdapterLuid, UInt64 Bandwidth)	UpdateMaxBandwidth	DdiCallbacks	Adapter	Informational		
Microsoft-Windows-IndirectDisplays-ClassExtension-Events	5	0	AdapterDestroy(Int64 IddAdapterLuid)	Destroy	DdiCallbacks	Adapter	Informational		
Microsoft-Windows-IndirectDisplays-ClassExtension-Events	6	0	MonitorCreate(Int64 IddAdapterLuid, UInt32 ConnectorIndex, UInt32 DescriptorType)	Create	DdiCalls	Monitor	Informational		
Microsoft-Windows-IndirectDisplays-ClassExtension-Events	7	0	MonitorArrival(Int64 IddAdapterLuid, UInt32 ConnectorIndex)	Arrival	DdiCalls	Monitor	Informational		
Microsoft-Windows-IndirectDisplays-ClassExtension-Events	8	0	MonitorCreate_2_13(Int64 IddAdapterLuid, UInt32 ConnectorIndex)	Create_2_13	DdiCalls	Monitor	Informational		
Microsoft-Windows-IndirectDisplays-ClassExtension-Events	9	0	MonitorGetDefaultDescriptionModes(Int64 IddAdapterLuid, UInt32 ConnectorIndex, UInt32 InputModeCount)	GetDefaultDescriptionModes	DdiCallbacks	Monitor	Informational		
Microsoft-Windows-IndirectDisplays-ClassExtension-Events	10	0	MonitorQueryTargetModes(Int64 IddAdapterLuid, UInt32 ConnectorIndex, UInt32 InputModeCount)	QueryTargetModes	DdiCallbacks	Monitor	Informational		
Microsoft-Windows-IndirectDisplays-ClassExtension-Events	11	0	MonitorAssignSwapChain(Int64 IddAdapterLuid, UInt32 ConnectorIndex, Pointer Handle)	AssignSwapChain	DdiCallbacks	Monitor	Informational		
