provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-InputSwitch	1	0	InitializeBackendStart()	Start	Perf InputSwitch_Keyword	InitializeBackend	Informational		
Microsoft-Windows-InputSwitch	2	0	InitializeBackendStop(UInt32 param)	Stop	Perf InputSwitch_Keyword	InitializeBackend	Informational		
Microsoft-Windows-InputSwitch	3	0	ShutdownBackendStart()	Start	Perf InputSwitch_Keyword	ShutdownBackend	Informational		
Microsoft-Windows-InputSwitch	4	0	ShutdownBackendStop(UInt32 param)	Stop	Perf InputSwitch_Keyword	ShutdownBackend	Informational		
Microsoft-Windows-InputSwitch	5	0	ShowInputSwitchStart()	Start	Perf InputSwitch_Keyword	ShowInputSwitch	Informational		
Microsoft-Windows-InputSwitch	6	0	ShowInputSwitchStop(UInt32 param)	Stop	Perf InputSwitch_Keyword	ShowInputSwitch	Informational		
Microsoft-Windows-InputSwitch	7	0	HideInputSwitchStart()	Start	Perf InputSwitch_Keyword	HideInputSwitch	Informational		
Microsoft-Windows-InputSwitch	8	0	HideInputSwitchStop(UInt32 param)	Stop	Perf InputSwitch_Keyword	HideInputSwitch	Informational		
Microsoft-Windows-InputSwitch	9	0	SelectInputMethodStart()	Start	Perf InputSwitch_Keyword	SelectInputMethod	Informational		
Microsoft-Windows-InputSwitch	10	0	SelectInputMethodStop(UInt32 param)	Stop	Perf InputSwitch_Keyword	SelectInputMethod	Informational		
Microsoft-Windows-InputSwitch	11	0	SelectInputModalityStart()	Start	Perf InputSwitch_Keyword	SelectInputModality	Informational		
Microsoft-Windows-InputSwitch	12	0	SelectInputModalityStop(UInt32 param)	Stop	Perf InputSwitch_Keyword	SelectInputModality	Informational		
Microsoft-Windows-InputSwitch	13	0	SelectInputModality(UInt32 param)		Perf InputSwitch_Keyword	SelectInputModality	Informational		
Microsoft-Windows-InputSwitch	14	0	ClickOrTouchOrEnterReceived()		Perf InputSwitch_Keyword	ClickOrTouchOrEnterReceived	Informational		
Microsoft-Windows-InputSwitch	15	0	ModalitySelectedStandard()		Perf InputSwitch_Keyword	ModalitySelectedStandard	Informational		
Microsoft-Windows-InputSwitch	16	0	ModalitySelectedSplit()		Perf InputSwitch_Keyword	ModalitySelectedSplit	Informational		
Microsoft-Windows-InputSwitch	17	0	ModalitySelectedHandwriting()		Perf InputSwitch_Keyword	ModalitySelectedHandwriting	Informational		
Microsoft-Windows-InputSwitch	18	0	ModalitySelectedClassic()		Perf InputSwitch_Keyword	ModalitySelectedClassic	Informational		
Microsoft-Windows-InputSwitch	20	0	ModeIconUpdate()		Perf InputSwitch_Keyword	ModeIconUpdate	Informational		
Microsoft-Windows-InputSwitch	21	0	ModeIconClear()		Perf InputSwitch_Keyword	ModeIconClear	Informational		
Microsoft-Windows-InputSwitch	22	0	ModeIconLeftClick()		Perf InputSwitch_Keyword	ModeIconLeftClick	Informational		
Microsoft-Windows-InputSwitch	23	0	ModeIconRightClick()		Perf InputSwitch_Keyword	ModeIconRightClick	Informational		
Microsoft-Windows-InputSwitch	26	0	IMEConsentUXFlyoutShowStart()	Start		IMEConsentUXFlyoutShow	Informational		
Microsoft-Windows-InputSwitch	27	0	IMEConsentUXFlyoutShowStop()	Stop		IMEConsentUXFlyoutShow	Informational		
Microsoft-Windows-InputSwitch	28	0	IMEConsentUXFlyoutDismissStart()	Start		IMEConsentUXFlyoutDismiss	Informational		
Microsoft-Windows-InputSwitch	29	0	IMEConsentUXFlyoutDismissStop()	Stop		IMEConsentUXFlyoutDismiss	Informational		
