provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-International	1001	0	NLSlocalefunctionsNLSinitialization(UnicodeString RegistryKey, UInt32 ErrorCode, UnicodeString Message)	NLSinitialization		NLSlocalefunctions	Critical		
Microsoft-Windows-International	1002	0	NLSlocalefunctionsNLSinitialization1002(UnicodeString RegistryKey, UInt32 StatusCode)	NLSinitialization		NLSlocalefunctions	Critical		
Microsoft-Windows-International	1003	0	NLScodepagefunctionsNLSdatatableoperations(UInt32 CodePage, UnicodeString FileName)	NLSdatatableoperations		NLScodepagefunctions	Critical		
Microsoft-Windows-International	1004	0	NLScodepagefunctionsNLSdatatableoperations1004(UInt32 CodePage, UnicodeString FileName)	NLSdatatableoperations		NLScodepagefunctions	Critical		
Microsoft-Windows-International	1005	0	NLSlocalefunctionsNLSdatatableoperations(UnicodeString LocaleName, UnicodeString WinDir)	NLSdatatableoperations		NLSlocalefunctions	Critical		
Microsoft-Windows-International	1006	0	NLSlocalefunctionsNLSdatatableoperations1006(UnicodeString LocaleName, UnicodeString WinDir)	NLSdatatableoperations		NLSlocalefunctions	Critical		
Microsoft-Windows-International	1500	0	NLSgrouppolicyNLSoperations(UInt32 ProcessId, UnicodeString ProdessName)	NLSoperations		NLSgrouppolicy	Warning		
Microsoft-Windows-International	1501	0	NLSgrouppolicyNLSoperations1501()	NLSoperations		NLSgrouppolicy	Warning		
Microsoft-Windows-International	1502	0	NLSgrouppolicyNLSoperations1502(UnicodeString LocaleName)	NLSoperations		NLSgrouppolicy	Warning		
Microsoft-Windows-International	1503	0	NLSgrouppolicyNLSoperations1503(UnicodeString LocaleName)	NLSoperations		NLSgrouppolicy	Warning		
Microsoft-Windows-International	2000	0	NLSlocalefunctionsNLSinitialization2000(UnicodeString RegistryKey)	NLSinitialization		NLSlocalefunctions	Warning		
Microsoft-Windows-International	2500	0	NLSlocalefunctionsNLSinitialization2500()	NLSinitialization		NLSlocalefunctions	Verbose		
Microsoft-Windows-International	3000	0	NLSlocalefunctionsNLSoperations(UInt32 ProcessId, UnicodeString ProdessName, UInt32 Locale, UInt32 LCType, UnicodeString lpLCData)	NLSoperations		NLSlocalefunctions	Informational		
Microsoft-Windows-International	3001	0	NLSdate/timefunctionsNLSoperations(UInt32 ProcessId, UnicodeString ProdessName, UInt32 Locale, UInt32 Calendar, UInt32 CalType, UnicodeString lpLCalData)	NLSoperations		NLSdate/timefunctions	Informational		
Microsoft-Windows-International	3002	0	NLSlocalefunctionsNLSoperations3002(UInt32 ProcessId, UnicodeString ProdessName, UInt32 GeoId)	NLSoperations		NLSlocalefunctions	Informational		
