provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Kernel-Network	10	0	KERNEL_NETWORK_TASK_TCPIPDatasent.(UInt32 PID, UInt32 size, UInt32 daddr, UInt32 saddr, UInt16 dport, UInt16 sport, UInt32 startime, UInt32 endtime, UInt32 seqnum, UInt32 connid)	Datasent.	KERNEL_NETWORK_KEYWORD_IPV4	KERNEL_NETWORK_TASK_TCPIP	Informational		
Microsoft-Windows-Kernel-Network	11	0	KERNEL_NETWORK_TASK_TCPIPDatareceived.(UInt32 PID, UInt32 size, UInt32 daddr, UInt32 saddr, UInt16 dport, UInt16 sport, UInt32 seqnum, UInt32 connid)	Datareceived.	KERNEL_NETWORK_KEYWORD_IPV4	KERNEL_NETWORK_TASK_TCPIP	Informational		
Microsoft-Windows-Kernel-Network	12	0	KERNEL_NETWORK_TASK_TCPIPConnectionattempted.(UInt32 PID, UInt32 size, UInt32 daddr, UInt32 saddr, UInt16 dport, UInt16 sport, UInt16 mss, UInt16 sackopt, UInt16 tsopt, UInt16 wsopt, UInt32 rcvwin, UInt16 rcvwinscale, UInt16 sndwinscale, UInt32 seqnum, UInt32 connid)	Connectionattempted.	KERNEL_NETWORK_KEYWORD_IPV4	KERNEL_NETWORK_TASK_TCPIP	Informational		
Microsoft-Windows-Kernel-Network	13	0	KERNEL_NETWORK_TASK_TCPIPDisconnectissued.(UInt32 PID, UInt32 size, UInt32 daddr, UInt32 saddr, UInt16 dport, UInt16 sport, UInt32 seqnum, UInt32 connid)	Disconnectissued.	KERNEL_NETWORK_KEYWORD_IPV4	KERNEL_NETWORK_TASK_TCPIP	Informational		
Microsoft-Windows-Kernel-Network	14	0	KERNEL_NETWORK_TASK_TCPIPDataretransmitted.(UInt32 PID, UInt32 size, UInt32 daddr, UInt32 saddr, UInt16 dport, UInt16 sport, UInt32 seqnum, UInt32 connid)	Dataretransmitted.	KERNEL_NETWORK_KEYWORD_IPV4	KERNEL_NETWORK_TASK_TCPIP	Informational		
Microsoft-Windows-Kernel-Network	15	0	KERNEL_NETWORK_TASK_TCPIPConnectionaccepted.(UInt32 PID, UInt32 size, UInt32 daddr, UInt32 saddr, UInt16 dport, UInt16 sport, UInt16 mss, UInt16 sackopt, UInt16 tsopt, UInt16 wsopt, UInt32 rcvwin, UInt16 rcvwinscale, UInt16 sndwinscale, UInt32 seqnum, UInt32 connid)	Connectionaccepted.	KERNEL_NETWORK_KEYWORD_IPV4	KERNEL_NETWORK_TASK_TCPIP	Informational		
Microsoft-Windows-Kernel-Network	16	0	KERNEL_NETWORK_TASK_TCPIPReconnectattempted.(UInt32 PID, UInt32 size, UInt32 daddr, UInt32 saddr, UInt16 dport, UInt16 sport, UInt32 seqnum, UInt32 connid)	Reconnectattempted.	KERNEL_NETWORK_KEYWORD_IPV4	KERNEL_NETWORK_TASK_TCPIP	Informational		
Microsoft-Windows-Kernel-Network	17	0	KERNEL_NETWORK_TASK_TCPIPTCPconnectionattemptfailed.(UInt16 Proto, UInt16 FailureCode)	TCPconnectionattemptfailed.	KERNEL_NETWORK_KEYWORD_IPV4 KERNEL_NETWORK_KEYWORD_IPV6	KERNEL_NETWORK_TASK_TCPIP	Informational		
Microsoft-Windows-Kernel-Network	18	0	KERNEL_NETWORK_TASK_TCPIPProtocolcopieddataonbehalfofuser.(UInt32 PID, UInt32 size, UInt32 daddr, UInt32 saddr, UInt16 dport, UInt16 sport, UInt32 seqnum, UInt32 connid)	Protocolcopieddataonbehalfofuser.	KERNEL_NETWORK_KEYWORD_IPV4	KERNEL_NETWORK_TASK_TCPIP	Informational		
Microsoft-Windows-Kernel-Network	26	0	KERNEL_NETWORK_TASK_TCPIPDatasent.26(UInt32 PID, UInt32 size, Binary daddr, Binary saddr, UInt16 dport, UInt16 sport, UInt32 startime, UInt32 endtime, UInt32 seqnum, UInt32 connid)	Datasent.	KERNEL_NETWORK_KEYWORD_IPV6	KERNEL_NETWORK_TASK_TCPIP	Informational		
Microsoft-Windows-Kernel-Network	27	0	KERNEL_NETWORK_TASK_TCPIPDatareceived.27(UInt32 PID, UInt32 size, Binary daddr, Binary saddr, UInt16 dport, UInt16 sport, UInt32 seqnum, UInt32 connid)	Datareceived.	KERNEL_NETWORK_KEYWORD_IPV6	KERNEL_NETWORK_TASK_TCPIP	Informational		
Microsoft-Windows-Kernel-Network	28	0	KERNEL_NETWORK_TASK_TCPIPConnectionattempted.28(UInt32 PID, UInt32 size, Binary daddr, Binary saddr, UInt16 dport, UInt16 sport, UInt16 mss, UInt16 sackopt, UInt16 tsopt, UInt16 wsopt, UInt32 rcvwin, UInt16 rcvwinscale, UInt16 sndwinscale, UInt32 seqnum, UInt32 connid)	Connectionattempted.	KERNEL_NETWORK_KEYWORD_IPV6	KERNEL_NETWORK_TASK_TCPIP	Informational		
Microsoft-Windows-Kernel-Network	29	0	KERNEL_NETWORK_TASK_TCPIPDisconnectissued.29(UInt32 PID, UInt32 size, Binary daddr, Binary saddr, UInt16 dport, UInt16 sport, UInt32 seqnum, UInt32 connid)	Disconnectissued.	KERNEL_NETWORK_KEYWORD_IPV6	KERNEL_NETWORK_TASK_TCPIP	Informational		
