provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Kernel-Power	1	0	PowerTransitionStart(UInt32 Reason, UInt32 Flags, FILETIME Time)	Start	po:Scenario po:Performance	PowerTransition	Critical		
Microsoft-Windows-Kernel-Power	2	0	PowerTransitionStop(UInt32 Status, FILETIME Time)	Stop	po:Scenario po:Performance	PowerTransition	Critical		
Microsoft-Windows-Kernel-Power	3	0	QueryAppsPhaseStart()	PhaseStart	po:Performance po:PerformanceLight	QueryApps	Informational		
Microsoft-Windows-Kernel-Power	4	0	QueryAppsPhaseStop(UInt32 Status)	PhaseStop	po:Performance po:PerformanceLight	QueryApps	Informational		
Microsoft-Windows-Kernel-Power	5	0	QueryServicesPhaseStart()	PhaseStart	po:Performance po:PerformanceLight	QueryServices	Informational		
Microsoft-Windows-Kernel-Power	6	0	QueryServicesPhaseStop(UInt32 Status)	PhaseStop	po:Performance po:PerformanceLight	QueryServices	Informational		
Microsoft-Windows-Kernel-Power	7	0	IrpStart(Pointer Irp, UInt32 PowerStateType, UInt8 MinorFunction, Pointer TargetDevice, UInt16 InstanceNameLength, UnicodeString InstanceName)	Start	po:Performance	Irp	Informational		
Microsoft-Windows-Kernel-Power	7	1	IrpStart_V1(Pointer Irp, UInt32 PowerStateType, UInt8 MinorFunction, Pointer TargetDevice, UInt16 InstanceNameLength, UnicodeString InstanceName, UInt8 PowerState)	Start	po:Performance	Irp	Informational		
Microsoft-Windows-Kernel-Power	8	0	IrpStop(Pointer Irp, UInt32 Status, UnicodeString FailedDriver)	Stop	po:Performance	Irp	Informational		
Microsoft-Windows-Kernel-Power	9	0	QueryAppsVeto(UInt32 Pid, Pointer Window, UInt16 AppNameLength, UnicodeString AppName)	Veto	po:Diagnostic po:DiagnosticLight	QueryApps	Informational		
Microsoft-Windows-Kernel-Power	10	0	QueryServicesVeto(UInt32 Pid, UInt16 ServiceNameLength, UnicodeString ServiceName)	Veto	po:Diagnostic po:DiagnosticLight	QueryServices	Informational		
Microsoft-Windows-Kernel-Power	11	0	IrpWaiting(Pointer Irp)			IrpWaiting	Informational		
Microsoft-Windows-Kernel-Power	12	0	QueryAppsStart(UInt32 Pid, UInt16 NameLength, UnicodeString Name)	Start	po:Performance po:PerformanceLight	QueryApps	Informational		
Microsoft-Windows-Kernel-Power	13	0	QueryAppsStop(UInt32 Pid)	Stop	po:Performance po:PerformanceLight	QueryApps	Informational		
Microsoft-Windows-Kernel-Power	14	0	QueryServicesStart(UInt16 NameLength, UnicodeString Name)	Start	po:Performance po:PerformanceLight	QueryServices	Informational		
Microsoft-Windows-Kernel-Power	15	0	QueryServicesStop(UInt16 NameLength, UnicodeString Name)	Stop	po:Performance po:PerformanceLight	QueryServices	Informational		
Microsoft-Windows-Kernel-Power	16	0	SuspendAppsStart(UInt32 Pid, UInt16 NameLength, UnicodeString Name)	Start	po:Performance po:PerformanceLight	SuspendApps	Informational		
Microsoft-Windows-Kernel-Power	17	0	SuspendAppsStop(UInt32 Pid)	Stop	po:Performance po:PerformanceLight	SuspendApps	Informational		
Microsoft-Windows-Kernel-Power	18	0	SuspendServicesStart(UInt16 NameLength, UnicodeString Name)	Start	po:Performance po:PerformanceLight	SuspendServices	Informational		
Microsoft-Windows-Kernel-Power	19	0	SuspendServicesStop(UInt16 NameLength, UnicodeString Name)	Stop	po:Performance po:PerformanceLight	SuspendServices	Informational		
Microsoft-Windows-Kernel-Power	20	0	DriverStart(Pointer Irp, Pointer Device, UnicodeString DriverName)	Start	po:Performance	Driver	Informational		
Microsoft-Windows-Kernel-Power	21	0	DriverStop(Pointer Irp, Pointer Device)	Stop	po:Performance	Driver	Informational		
Microsoft-Windows-Kernel-Power	22	0	SuspendAppsPhaseStart()	PhaseStart	po:Performance po:PerformanceLight	SuspendApps	Informational		
Microsoft-Windows-Kernel-Power	23	0	SuspendAppsPhaseStop()	PhaseStop	po:Performance po:PerformanceLight	SuspendApps	Informational		
Microsoft-Windows-Kernel-Power	24	0	SuspendServicesPhaseStart()	PhaseStart	po:Performance po:PerformanceLight	SuspendServices	Informational		
Microsoft-Windows-Kernel-Power	25	0	SuspendServicesPhaseStop()	PhaseStop	po:Performance po:PerformanceLight	SuspendServices	Informational		
Microsoft-Windows-Kernel-Power	26	0	ResumeAppsPhaseStart()	PhaseStart	po:Performance po:PerformanceLight	ResumeApps	Informational		
Microsoft-Windows-Kernel-Power	27	0	ResumeServicesPhaseStart()	PhaseStart	po:Performance po:PerformanceLight	ResumeServices	Informational		
Microsoft-Windows-Kernel-Power	28	0	ResumeAppsStart(UInt32 Pid, UInt16 NameLength, UnicodeString Name)	Start	po:Performance po:PerformanceLight	ResumeApps	Informational		
Microsoft-Windows-Kernel-Power	29	0	ResumeServicesStart(UInt16 NameLength, UnicodeString Name)	Start	po:Performance po:PerformanceLight	ResumeServices	Informational		
Microsoft-Windows-Kernel-Power	30	0	QueryFailedApps()			QueryFailedApps	Informational		
Microsoft-Windows-Kernel-Power	31	0	QueryFailedServices()			QueryFailedServices	Informational		
Microsoft-Windows-Kernel-Power	32	0	QueryFailedApp(UInt32 Pid, UInt16 NameLength, UnicodeString Name)			QueryFailedApp	Informational		
Microsoft-Windows-Kernel-Power	33	0	QueryFailedService(UInt16 NameLength, UnicodeString Name)			QueryFailedService	Informational		
Microsoft-Windows-Kernel-Power	34	0	Hibernate(UInt32 Status)		po:Diagnostic po:Performance po:DiagnosticLight po:PerformanceLight	Hibernate	Informational		
Microsoft-Windows-Kernel-Power	35	0	SuspendDevicesPhaseStart(Boolean Query, UInt32 TargetState, UInt32 EffectiveState)	PhaseStart	po:Diagnostic po:Performance po:DiagnosticLight po:PerformanceLight	SuspendDevices	Informational		
Microsoft-Windows-Kernel-Power	36	0	SuspendDevicesPhaseStop()	PhaseStop	po:Performance po:PerformanceLight	SuspendDevices	Informational		
Microsoft-Windows-Kernel-Power	37	0	WakeDevicesPhaseStart()	PhaseStart	po:Diagnostic po:Performance po:DiagnosticLight po:PerformanceLight	WakeDevices	Informational		
Microsoft-Windows-Kernel-Power	38	0	WakeDevicesPhaseStop()	PhaseStop	po:Diagnostic po:Performance po:DiagnosticLight po:PerformanceLight	WakeDevices	Informational		
Microsoft-Windows-Kernel-Power	39	0	PowerTransition(UInt32 SleepTime, UInt32 ResumeTime, UInt32 DriverWakeTime, UInt32 HiberWriteTime, UInt32 HiberReadTime, UInt32 HiberPagesWritten, UInt32 BiosInitTime)		po:Diagnostic po:Performance po:DiagnosticLight po:PerformanceLight	PowerTransition	Informational		
Microsoft-Windows-Kernel-Power	40	0	QueryDriversVeto(UInt16 DriverNameLength, UnicodeString DriverName, UInt16 InstanceNameLength, UnicodeString InstanceName)	Veto	po:Diagnostic po:DiagnosticLight	QueryDrivers	Informational		
Microsoft-Windows-Kernel-Power	41	0	DirtyTransition()		po:Simple	DirtyTransition	Critical		
Microsoft-Windows-Kernel-Power	41	1	DirtyTransition_V1(UInt32 BugcheckCode, Pointer BugcheckParameter)		po:Simple	DirtyTransition	Critical		
Microsoft-Windows-Kernel-Power	41	2	DirtyTransition_V2(UInt32 BugcheckCode, Pointer BugcheckParameter1, Pointer BugcheckParameter2, Pointer BugcheckParameter3, Pointer BugcheckParameter4, Boolean SleepInProgress, UInt64 PowerButtonTimestamp, UInt32 BootAppStatus)		po:Simple	DirtyTransition	Critical		
Microsoft-Windows-Kernel-Power	41	3	DirtyTransition_V3(UInt32 BugcheckCode, Pointer BugcheckParameter1, Pointer BugcheckParameter2, Pointer BugcheckParameter3, Pointer BugcheckParameter4, UInt32 SleepInProgress, UInt64 PowerButtonTimestamp, UInt32 BootAppStatus)		po:Simple keyword_400000000000	DirtyTransition	Critical		
Microsoft-Windows-Kernel-Power	41	4	DirtyTransition_V4(UInt32 BugcheckCode, Pointer BugcheckParameter1, Pointer BugcheckParameter2, Pointer BugcheckParameter3, Pointer BugcheckParameter4, UInt32 SleepInProgress, UInt64 PowerButtonTimestamp, UInt32 BootAppStatus, UInt8 Checkpoint, Boolean ConnectedStandbyInProgress, UInt32 SystemSleepTransitionsToOn, UInt8 CsEntryScenarioInstanceId)		po:Simple keyword_400000000000	DirtyTransition	Critical		
