provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-LUA	15001	0	ConsentUI_GetUserDesktopSnapshotStart()	Start		ConsentUI_GetUserDesktopSnapshot	Informational		
Microsoft-Windows-LUA	15002	0	ConsentUI_GetUserDesktopSnapshotStop()	Stop		ConsentUI_GetUserDesktopSnapshot	Informational		
Microsoft-Windows-LUA	15003	0	ConsentUI_WindowThreadStart()	Start		ConsentUI_WindowThread	Informational		
Microsoft-Windows-LUA	15004	0	ConsentUI_WindowThreadStop()	Stop		ConsentUI_WindowThread	Informational		
Microsoft-Windows-LUA	15005	0	ConsentUI_WindowThread()			ConsentUI_WindowThread	Informational		
Microsoft-Windows-LUA	15006	0	ConsentUI_SwitchDesktopStart()	Start		ConsentUI_SwitchDesktop	Informational		
Microsoft-Windows-LUA	15007	0	ConsentUI_SwitchDesktopStop()	Stop		ConsentUI_SwitchDesktop	Informational		
Microsoft-Windows-LUA	15008	0	ConsentUI_ReturnUserDesktopStart()	Start		ConsentUI_ReturnUserDesktop	Informational		
Microsoft-Windows-LUA	15009	0	ConsentUI_ReturnUserDesktopStop()	Stop		ConsentUI_ReturnUserDesktop	Informational		
Microsoft-Windows-LUA	15010	0	ConsentUI_WindowThreadStart15010()	Start		ConsentUI_WindowThread	Informational		
Microsoft-Windows-LUA	15011	0	ConsentUI_WindowThreadStop15011()	Stop		ConsentUI_WindowThread	Informational		
Microsoft-Windows-LUA	15012	0	ConsentUI_CheckActiveDesktopStart()	Start		ConsentUI_CheckActiveDesktop	Informational		
Microsoft-Windows-LUA	15013	0	ConsentUI_CheckActiveDesktopStop()	Stop		ConsentUI_CheckActiveDesktop	Informational		
Microsoft-Windows-LUA	15014	0	ConsentUI_CheckActiveDesktopStart15014()	Start		ConsentUI_CheckActiveDesktop	Informational		
Microsoft-Windows-LUA	15015	0	ConsentUI_CheckActiveDesktopStop15015()	Stop		ConsentUI_CheckActiveDesktop	Informational		
Microsoft-Windows-LUA	15016	0	ConsentUI_WindowThreadStart15016()	Start		ConsentUI_WindowThread	Informational		
Microsoft-Windows-LUA	15017	0	ConsentUI_WindowThreadStop15017()	Stop		ConsentUI_WindowThread	Informational		
Microsoft-Windows-LUA	15018	0	ConsentUI_WindowThreadStart15018()	Start		ConsentUI_WindowThread	Informational		
Microsoft-Windows-LUA	15019	0	ConsentUI_WindowThreadStop15019()	Stop		ConsentUI_WindowThread	Informational		
Microsoft-Windows-LUA	15020	0	ConsentUI_WindowThreadStart15020()	Start		ConsentUI_WindowThread	Informational		
Microsoft-Windows-LUA	15021	0	ConsentUI_WindowThreadStop15021()	Stop		ConsentUI_WindowThread	Informational		
Microsoft-Windows-LUA	15022	0	ConsentUI_ExperienceStart()	Start		ConsentUI_Experience	Informational		
Microsoft-Windows-LUA	15023	0	ConsentUI_ExperienceStop()	Stop		ConsentUI_Experience	Informational		
Microsoft-Windows-LUA	15024	0	ConsentUI_ExperienceStart15024()	Start		ConsentUI_Experience	Informational		
Microsoft-Windows-LUA	15025	0	ConsentUI_ExperienceStop15025()	Stop		ConsentUI_Experience	Informational		
Microsoft-Windows-LUA	15026	0	ConsentUI_ExperienceStart15026()	Start		ConsentUI_Experience	Informational		
Microsoft-Windows-LUA	15027	0	ConsentUI_ExperienceStop15027()	Stop		ConsentUI_Experience	Informational		
Microsoft-Windows-LUA	15028	0	ConsentUI_LEASVC(Pointer Parameters)			ConsentUI_LEASVC	Informational		
Microsoft-Windows-LUA	15029	0	ConsentUI_AMScanStart()	Start		ConsentUI_AMScan	Informational		
Microsoft-Windows-LUA	15030	0	ConsentUI_AMScanStop()	Stop		ConsentUI_AMScan	Informational		
Microsoft-Windows-LUA	16001	0	AppInfo_PerfTrack_ElevationPathStart(UInt32 EventId, UnicodeString UACElevateFileID)	Start		AppInfo_PerfTrack_ElevationPath	Informational		
Microsoft-Windows-LUA	16002	0	AppInfo_PerfTrack_ElevationPathStop(UInt32 EventId, UnicodeString UACElevateFileID)	Stop		AppInfo_PerfTrack_ElevationPath	Informational		
Microsoft-Windows-LUA	16003	0	AppInfo_PerfTrack_ElevationPathStart16003(UInt32 EventId, UnicodeString UACElevateFileID)	Start		AppInfo_PerfTrack_ElevationPath	Informational		
Microsoft-Windows-LUA	16004	0	AppInfo_PerfTrack_ElevationPathStop16004(UInt32 EventId, UnicodeString UACElevateFileID)	Stop		AppInfo_PerfTrack_ElevationPath	Informational		
Microsoft-Windows-LUA	16005	0	AppInfo_PerfTrack_ElevationPathStart16005(UInt32 EventId, UnicodeString UACElevateFileID)	Start		AppInfo_PerfTrack_ElevationPath	Informational		
Microsoft-Windows-LUA	16006	0	AppInfo_PerfTrack_ElevationPathStop16006(UInt32 EventId, UnicodeString UACElevateFileID)	Stop		AppInfo_PerfTrack_ElevationPath	Informational		
Microsoft-Windows-LUA	16007	0	AppInfo_PerfTrack_ElevationPathStart16007(UInt32 EventId, UnicodeString UACElevateFileID)	Start		AppInfo_PerfTrack_ElevationPath	Informational		
Microsoft-Windows-LUA	16008	0	AppInfo_PerfTrack_ElevationPathStop16008(UInt32 EventId, UnicodeString UACElevateFileID)	Stop		AppInfo_PerfTrack_ElevationPath	Informational		
Microsoft-Windows-LUA	16009	0	AppInfo_PerfTrack_ElevationPathStop16009(UInt32 EventId, UnicodeString UACElevateFileID)	Stop		AppInfo_PerfTrack_ElevationPath	Informational		
