provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-LanguagePackSetup	1000	0	LanguagePackSetupCbsClientfunctionalityLanguagePackSetupinitializationoperation(HexInt32 Error)	LanguagePackSetupinitializationoperation		LanguagePackSetupCbsClientfunctionality	Error		
Microsoft-Windows-LanguagePackSetup	1000	1	RunningthelpksetupWizard1000_V1(HexInt32 Error)			RunningthelpksetupWizard	Error		
Microsoft-Windows-LanguagePackSetup	1001	0	RunningthelpksetupWizardLanguagePackSetupinitializationoperation(HexInt32 Error)	LanguagePackSetupinitializationoperation		RunningthelpksetupWizard	Error		
Microsoft-Windows-LanguagePackSetup	1001	1	RunningthelpksetupWizardInitializetheLpkSetupwizard_V1(HexInt32 Error)	InitializetheLpkSetupwizard		RunningthelpksetupWizard	Error		
Microsoft-Windows-LanguagePackSetup	1002	0	LanguagePackSetupLanguagePackrelatedfunctionalityLanguagePackSetupinitializationoperation(UnicodeString Language, HexInt32 Reason)	LanguagePackSetupinitializationoperation		LanguagePackSetupLanguagePackrelatedfunctionality	Warning		
Microsoft-Windows-LanguagePackSetup	1003	0	LanguagePackSetupCbsClientfunctionalityLanguagePackSetupstandardoperation(HexInt32 Error, UnicodeString Language)	LanguagePackSetupstandardoperation		LanguagePackSetupCbsClientfunctionality	Error		
Microsoft-Windows-LanguagePackSetup	1003	1	RunningthelpksetupWizard1003_V1(HexInt32 Error, UnicodeString Message, UnicodeString Language)			RunningthelpksetupWizard	Error		
Microsoft-Windows-LanguagePackSetup	1004	0	LanguagePackSetupWorkerClassfunctionalityLanguagePackSetupinitializationoperation(UnicodeString Parameter)	LanguagePackSetupinitializationoperation		LanguagePackSetupWorkerClassfunctionality	Error		
Microsoft-Windows-LanguagePackSetup	1004	1	ProcessinglpksetupunattendedexecutionfromthecommandlineValidateunattendedparameters_V1(UnicodeString Parameter)	Validateunattendedparameters		Processinglpksetupunattendedexecutionfromthecommandline	Error		
Microsoft-Windows-LanguagePackSetup	1005	0	LanguagePackSetupWorkerClassfunctionalityLanguagePackSetupinitializationoperation1005(UnicodeString Parameter)	LanguagePackSetupinitializationoperation		LanguagePackSetupWorkerClassfunctionality	Error		
Microsoft-Windows-LanguagePackSetup	1005	1	ProcessinglpksetupunattendedexecutionfromthecommandlineValidateunattendedparameters1005_V1(UnicodeString Parameter)	Validateunattendedparameters		Processinglpksetupunattendedexecutionfromthecommandline	Error		
Microsoft-Windows-LanguagePackSetup	1006	0	LanguagePackSetupWorkerClassfunctionalityLanguagePackSetupinitializationoperation1006(UnicodeString Language)	LanguagePackSetupinitializationoperation		LanguagePackSetupWorkerClassfunctionality	Error		
Microsoft-Windows-LanguagePackSetup	1006	1	ProcessinglpksetupunattendedexecutionfromthecommandlineValidateunattendedparameters1006_V1(UnicodeString Language)	Validateunattendedparameters		Processinglpksetupunattendedexecutionfromthecommandline	Error		
Microsoft-Windows-LanguagePackSetup	1007	0	LanguagePackSetupWorkerClassfunctionalityLanguagePackSetupinitializationoperation1007(UnicodeString Parameter)	LanguagePackSetupinitializationoperation		LanguagePackSetupWorkerClassfunctionality	Error		
Microsoft-Windows-LanguagePackSetup	1007	1	ProcessinglpksetupunattendedexecutionfromthecommandlineValidatespecifiedpath_V1(UnicodeString Parameter)	Validatespecifiedpath		Processinglpksetupunattendedexecutionfromthecommandline	Error		
Microsoft-Windows-LanguagePackSetup	1008	0	LanguagePackSetupLanguagePackrelatedfunctionalityLanguagePackSetupinitializationoperation1008(UnicodeString Language, HexInt32 Error)	LanguagePackSetupinitializationoperation		LanguagePackSetupLanguagePackrelatedfunctionality	Warning		
Microsoft-Windows-LanguagePackSetup	1008	1	InstallinglanguagepackValidatethatlanguagepackcanbeinstalled1008_V1(UnicodeString Language, HexInt32 Error)	Validatethatlanguagepackcanbeinstalled		Installinglanguagepack	Error		
Microsoft-Windows-LanguagePackSetup	1009	0	LanguagePackSetupWorkerClassfunctionalityLanguagePackSetupinitializationoperation1009(UnicodeString Language)	LanguagePackSetupinitializationoperation		LanguagePackSetupWorkerClassfunctionality	Error		
Microsoft-Windows-LanguagePackSetup	1009	1	ProcessinglpksetupunattendedexecutionfromthecommandlineValidatespecifiedpath1009_V1(UnicodeString Language1, UnicodeString Language2)	Validatespecifiedpath		Processinglpksetupunattendedexecutionfromthecommandline	Error		
