provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-LinkLayerDiscoveryProtocol	10000	0	task_0()		ut:Global	task_0	Informational		
Microsoft-Windows-LinkLayerDiscoveryProtocol	10001	0	task_010001()		ut:Global	task_0	Informational		
Microsoft-Windows-LinkLayerDiscoveryProtocol	10010	0	task_010010(UInt32 IfIndex)			task_0	Informational		
Microsoft-Windows-LinkLayerDiscoveryProtocol	10011	0	task_010011(UInt32 IfIndex)			task_0	Informational		
Microsoft-Windows-LinkLayerDiscoveryProtocol	10020	0	task_010020(UInt32 IfIndex)			task_0	Informational		
Microsoft-Windows-LinkLayerDiscoveryProtocol	10021	0	task_010021(UInt32 IfIndex, UInt32 RejectReason)			task_0	Warning		
Microsoft-Windows-LinkLayerDiscoveryProtocol	10030	0	task_010030(UInt32 IfIndex, UInt32 AdminParameter, UInt32 OldValue, UInt32 NewValue)		ut:Configuration	task_0	Informational		
Microsoft-Windows-LinkLayerDiscoveryProtocol	10040	0	task_010040(UInt32 IfIndex, UInt32 PacketPayloadLength, Binary PacketPayload)		ut:SendPath	task_0	Verbose		
Microsoft-Windows-LinkLayerDiscoveryProtocol	10041	0	task_010041(UInt32 IfIndex, UInt32 SequenceNumber, UInt32 PacketPayloadLength, Binary PacketPayload)		ut:ReceivePath	task_0	Verbose		
Microsoft-Windows-LinkLayerDiscoveryProtocol	10042	0	task_010042(UInt32 IfIndex, UInt32 SequenceNumber, UInt32 PacketDiscardReason)		ut:ReceivePath	task_0	Warning		
Microsoft-Windows-LinkLayerDiscoveryProtocol	10043	0	task_010043(UInt32 IfIndex, UInt32 SequenceNumber)		ut:ReceivePath	task_0	Verbose		
Microsoft-Windows-LinkLayerDiscoveryProtocol	10050	0	task_010050(UInt32 IfIndex, UInt32 MsapIdLength, Binary MsapId)			task_0	Informational		
Microsoft-Windows-LinkLayerDiscoveryProtocol	10051	0	task_010051(UInt32 IfIndex, UInt32 MsapIdLength, Binary MsapId)			task_0	Informational		
Microsoft-Windows-LinkLayerDiscoveryProtocol	10052	0	task_010052(UInt32 IfIndex, UInt32 MsapIdLength, Binary MsapId)			task_0	Warning		
Microsoft-Windows-LinkLayerDiscoveryProtocol	10053	0	task_010053(UInt32 IfIndex, UInt32 MsapIdLength, Binary MsapId)			task_0	Informational		
Microsoft-Windows-LinkLayerDiscoveryProtocol	10060	0	task_010060(UInt32 IfIndex)			task_0	Warning		
Microsoft-Windows-LinkLayerDiscoveryProtocol	10061	0	task_010061(UInt32 IfIndex)			task_0	Warning		
Microsoft-Windows-LinkLayerDiscoveryProtocol	10062	0	task_010062(UInt32 IfIndex, UInt32 ExistingMsapIdLength, Binary ExistingMsapId, UInt32 ReceivedMsapIdLength, Binary ReceivedMsapId)			task_0	Warning		
