provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-LoadPerf	1000	0	task_0(UnicodeString param1, UnicodeString param2, UInt32 Size, Binary BinaryData)			task_0	Informational		
Microsoft-Windows-LoadPerf	1001	0	task_01001(UnicodeString param1, UnicodeString param2, UInt32 Size, Binary BinaryData)			task_0	Informational		
Microsoft-Windows-LoadPerf	1002	0	task_01002(UnicodeString param1, UnicodeString param2, UInt32 Size, Binary BinaryData)			task_0	Informational		
Microsoft-Windows-LoadPerf	2001	0	task_02001(UnicodeString param1, UnicodeString param2)			task_0	Warning		
Microsoft-Windows-LoadPerf	2002	0	task_02002(UnicodeString param1)			task_0	Warning		
Microsoft-Windows-LoadPerf	2003	0	task_02003(UnicodeString param1)			task_0	Warning		
Microsoft-Windows-LoadPerf	2004	0	task_02004(UnicodeString param1, UnicodeString param2, UInt32 Size, Binary BinaryData)			task_0	Warning		
Microsoft-Windows-LoadPerf	2005	0	task_02005(UnicodeString param1, UInt32 Size, Binary BinaryData)			task_0	Warning		
Microsoft-Windows-LoadPerf	2006	0	task_02006()			task_0	Warning		
Microsoft-Windows-LoadPerf	2007	0	task_02007(UnicodeString param1, UInt32 Size, Binary BinaryData)			task_0	Warning		
Microsoft-Windows-LoadPerf	3000	0	task_03000()			task_0	Error		
Microsoft-Windows-LoadPerf	3001	0	task_03001(UnicodeString param1, UInt32 Size, Binary BinaryData)			task_0	Error		
Microsoft-Windows-LoadPerf	3002	0	task_03002(UnicodeString param1, UInt32 Size, Binary BinaryData)			task_0	Error		
Microsoft-Windows-LoadPerf	3003	0	task_03003(UnicodeString param1, UInt32 Size, Binary BinaryData)			task_0	Error		
Microsoft-Windows-LoadPerf	3004	0	task_03004(UnicodeString param1, UInt32 Size, Binary BinaryData)			task_0	Error		
Microsoft-Windows-LoadPerf	3005	0	task_03005(UnicodeString param1, UInt32 Size, Binary BinaryData)			task_0	Error		
Microsoft-Windows-LoadPerf	3006	0	task_03006(UnicodeString param1, UInt32 Size, Binary BinaryData)			task_0	Error		
Microsoft-Windows-LoadPerf	3007	0	task_03007(UnicodeString param1, UInt32 Size, Binary BinaryData)			task_0	Error		
Microsoft-Windows-LoadPerf	3008	0	task_03008()			task_0	Error		
Microsoft-Windows-LoadPerf	3009	0	task_03009(UnicodeString param1, UnicodeString param2, UInt32 Size, Binary BinaryData)			task_0	Error		
Microsoft-Windows-LoadPerf	3011	0	task_03011(UnicodeString param1, UnicodeString param2, UInt32 Size, Binary BinaryData)			task_0	Error		
Microsoft-Windows-LoadPerf	3012	0	task_03012(UnicodeString param1, UInt32 Size, Binary BinaryData)			task_0	Error		
Microsoft-Windows-LoadPerf	3013	0	task_03013(UnicodeString param1, UInt32 Size, Binary BinaryData)			task_0	Error		
Microsoft-Windows-LoadPerf	3014	0	task_03014(UnicodeString param1, UInt32 Size, Binary BinaryData)			task_0	Error		
Microsoft-Windows-LoadPerf	3015	0	task_03015(UnicodeString param1, UInt32 Size, Binary BinaryData)			task_0	Error		
Microsoft-Windows-LoadPerf	3016	0	task_03016(UnicodeString param1, UnicodeString param2, UInt32 Size, Binary BinaryData)			task_0	Error		
Microsoft-Windows-LoadPerf	3017	0	task_03017(UnicodeString param1, UnicodeString param2, UInt32 Size, Binary BinaryData)			task_0	Error		
Microsoft-Windows-LoadPerf	3018	0	task_03018(UnicodeString param1, UnicodeString param2, UInt32 Size, Binary BinaryData)			task_0	Error		
