provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-MCCS-AccountsHost	1	0	task_0(Int32 P1_HexInt32, AnsiString P2_String, UInt32 P3_UInt32)		Error	task_0	Error		
Microsoft-Windows-MCCS-AccountsHost	2	0	task_02(Int32 P1_HexInt32, AnsiString P2_String, UInt32 P3_UInt32)		Warning	task_0	Warning		
Microsoft-Windows-MCCS-AccountsHost	2000	0	task_02000(UnicodeString Prop_String, UInt32 Prop_UInt32)		Error SNAS	task_0	Error		
Microsoft-Windows-MCCS-AccountsHost	2004	0	task_02004()		SNAS StateTransition	task_0	Informational		
Microsoft-Windows-MCCS-AccountsHost	2005	0	task_02005()		SNAS StateTransition	task_0	Informational		
Microsoft-Windows-MCCS-AccountsHost	2051	0	task_02051(UInt32 Prop_UInt32_1, UInt32 Prop_UInt32_2)		Error SNAS	task_0	Error		
Microsoft-Windows-MCCS-AccountsHost	2052	0	task_02052(UInt32 Prop_UInt32_1, UInt32 Prop_UInt32_2)		Error SNAS	task_0	Error		
Microsoft-Windows-MCCS-AccountsHost	2053	0	task_02053(UInt32 Prop_UInt32_1, UInt32 Prop_UInt32_2)		Error SNAS	task_0	Error		
Microsoft-Windows-MCCS-AccountsHost	2061	0	task_02061(UnicodeString Prop_String, UInt32 Prop_UInt32)		SNAS	task_0	Informational		
Microsoft-Windows-MCCS-AccountsHost	4010	0	task_04010(UInt32 Prop_UInt32)		Debug	task_0	Verbose		
Microsoft-Windows-MCCS-AccountsHost	4011	0	task_04011(UInt32 Prop_UInt32)		Debug	task_0	Verbose		
Microsoft-Windows-MCCS-AccountsHost	4012	0	task_04012(UInt32 Prop_UInt32)		Debug	task_0	Verbose		
Microsoft-Windows-MCCS-AccountsHost	4013	0	task_04013()		Debug	task_0	Verbose		
Microsoft-Windows-MCCS-AccountsHost	4014	0	task_04014(Int32 Int32)		Debug	task_0	Verbose		
Microsoft-Windows-MCCS-AccountsHost	4015	0	task_04015(Int32 Int32)		Debug	task_0	Verbose		
Microsoft-Windows-MCCS-AccountsHost	4016	0	task_04016(Int32 Int32)		Debug	task_0	Verbose		
Microsoft-Windows-MCCS-AccountsHost	4017	0	task_04017(UnicodeString Prop_String)		Debug	task_0	Verbose		
Microsoft-Windows-MCCS-AccountsHost	4018	0	task_04018(UnicodeString Prop_String)		Debug	task_0	Verbose		
Microsoft-Windows-MCCS-AccountsHost	4019	0	task_04019(Pointer Prop_ptr)		Debug	task_0	Verbose		
Microsoft-Windows-MCCS-AccountsHost	4020	0	task_04020()		Debug	task_0	Verbose		
Microsoft-Windows-MCCS-AccountsHost	4021	0	task_04021()		Debug	task_0	Verbose		
Microsoft-Windows-MCCS-AccountsHost	4022	0	task_04022()		Debug	task_0	Verbose		
Microsoft-Windows-MCCS-AccountsHost	4023	0	task_04023(UInt32 Prop_UInt32)		Debug	task_0	Verbose		
Microsoft-Windows-MCCS-AccountsHost	4024	0	task_04024(UInt32 Prop_UInt32)		Debug	task_0	Verbose		
Microsoft-Windows-MCCS-AccountsHost	4025	0	task_04025(UInt32 Prop_uint, Int32 Prop_hr)		Debug	task_0	Verbose		
Microsoft-Windows-MCCS-AccountsHost	4026	0	task_04026(Int32 Prop_hr)		Debug	task_0	Verbose		
Microsoft-Windows-MCCS-AccountsHost	4027	0	task_04027(UnicodeString Prop_String)		Debug	task_0	Verbose		
Microsoft-Windows-MCCS-AccountsHost	4028	0	task_04028(UnicodeString Prop_String)		Debug	task_0	Verbose		
