provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-MCCS-DavSyncProvider	1	0	task_0(Int32 P1_HResult, AnsiString P2_String, UInt32 P3_UInt32)		Error	task_0	Error		
Microsoft-Windows-MCCS-DavSyncProvider	2	0	task_02(Int32 P1_HResult, AnsiString P2_String, UInt32 P3_UInt32)		Warning	task_0	Warning		
Microsoft-Windows-MCCS-DavSyncProvider	101	0	task_0101(HexInt32 Prop_Id)		Warning	task_0	Warning		
Microsoft-Windows-MCCS-DavSyncProvider	102	0	task_0102(HexInt32 Prop_Id)		Warning	task_0	Warning		
Microsoft-Windows-MCCS-DavSyncProvider	103	0	task_0103(HexInt32 Prop_Id, UnicodeString Prop_String, UInt32 Prop_Dword, Boolean Prop_Bool)		CommsService	task_0	Informational		
Microsoft-Windows-MCCS-DavSyncProvider	104	0	task_0104(HexInt32 Prop_Id, UInt32 Prop_Dword)		Warning	task_0	Warning		
Microsoft-Windows-MCCS-DavSyncProvider	105	0	task_0105(HexInt32 Prop_Id, UInt32 Prop_Dword)		Warning	task_0	Warning		
Microsoft-Windows-MCCS-DavSyncProvider	106	0	task_0106(HexInt32 Prop_Id, UnicodeString Prop_String, Int32 Prop_HResult)		CommsService	task_0	Informational		
Microsoft-Windows-MCCS-DavSyncProvider	107	0	task_0107(HexInt32 Prop_Id, UnicodeString Prop_String, UInt32 Prop_Dword, Boolean Prop_Bool)		CommsService	task_0	Informational		
Microsoft-Windows-MCCS-DavSyncProvider	108	0	task_0108(HexInt32 Prop_Id, UInt32 Prop_Dword)		Warning	task_0	Warning		
Microsoft-Windows-MCCS-DavSyncProvider	109	0	task_0109(HexInt32 Prop_Id, UnicodeString Prop_String, Int32 Prop_HResult)		CommsService	task_0	Informational		
Microsoft-Windows-MCCS-DavSyncProvider	110	0	task_0110(HexInt32 Prop_Id, UnicodeString Prop_String1, UnicodeString Prop_String2, Boolean Prop_Bool)		CommsService	task_0	Informational		
Microsoft-Windows-MCCS-DavSyncProvider	111	0	task_0111(HexInt32 Prop_Id, UnicodeString Prop_String1, UnicodeString Prop_String2, UInt32 Prop_Dword)		CommsService	task_0	Informational		
Microsoft-Windows-MCCS-DavSyncProvider	112	0	task_0112(HexInt32 Prop_Id, UInt32 Prop_Dword)		CommsService	task_0	Informational		
Microsoft-Windows-MCCS-DavSyncProvider	113	0	task_0113(HexInt32 Prop_Id, UInt32 Prop_Dword)		CommsService	task_0	Informational		
Microsoft-Windows-MCCS-DavSyncProvider	114	0	task_0114(HexInt32 Prop_Id)		Warning	task_0	Warning		
Microsoft-Windows-MCCS-DavSyncProvider	115	0	task_0115(HexInt32 Prop_Id, UInt32 Prop_Dword)		CommsService	task_0	Informational		
Microsoft-Windows-MCCS-DavSyncProvider	116	0	task_0116(HexInt32 Prop_Id, UnicodeString Prop_String, UInt32 Prop_Dword)		CommsService	task_0	Informational		
Microsoft-Windows-MCCS-DavSyncProvider	117	0	task_0117(HexInt32 Prop_Id)		Warning	task_0	Warning		
Microsoft-Windows-MCCS-DavSyncProvider	118	0	task_0118(HexInt32 Prop_Id, Boolean Prop_Bool)		Warning	task_0	Warning		
Microsoft-Windows-MCCS-DavSyncProvider	119	0	task_0119(HexInt32 Prop_Id)		Warning	task_0	Warning		
Microsoft-Windows-MCCS-DavSyncProvider	120	0	task_0120(HexInt32 Prop_Id)		Warning	task_0	Warning		
Microsoft-Windows-MCCS-DavSyncProvider	121	0	task_0121(UInt32 Prop_Dword)		CommsService	task_0	Informational		
Microsoft-Windows-MCCS-DavSyncProvider	122	0	task_0122(HexInt32 Prop_Id, UnicodeString Prop_String, UInt32 Prop_Dword)		CommsService	task_0	Informational		
Microsoft-Windows-MCCS-DavSyncProvider	123	0	task_0123(HexInt32 Prop_Id, UnicodeString Prop_String, UInt32 Prop_Dword)		CommsService	task_0	Informational		
Microsoft-Windows-MCCS-DavSyncProvider	124	0	task_0124(UInt32 Prop_Dword)		CommsService	task_0	Informational		
Microsoft-Windows-MCCS-DavSyncProvider	125	0	task_0125(HexInt32 Prop_Id)		Warning	task_0	Warning		
Microsoft-Windows-MCCS-DavSyncProvider	126	0	task_0126(UInt32 Prop_Dword)		CommsService	task_0	Informational		
Microsoft-Windows-MCCS-DavSyncProvider	127	0	task_0127(UInt32 Prop_Dword)		CommsService	task_0	Informational		
Microsoft-Windows-MCCS-DavSyncProvider	128	0	task_0128(UInt32 Prop_Dword)		Warning	task_0	Warning		
Microsoft-Windows-MCCS-DavSyncProvider	129	0	task_0129(HexInt32 Prop_Id, UInt32 Prop_Dword)		Warning	task_0	Warning		
Microsoft-Windows-MCCS-DavSyncProvider	130	0	task_0130(HexInt32 Prop_Id, UInt32 Prop_Type)		CommsService	task_0	Informational		
Microsoft-Windows-MCCS-DavSyncProvider	131	0	task_0131(HexInt32 Prop_Id, UInt32 Prop_Type, UInt32 Prop_Dword)		CommsService	task_0	Informational		
Microsoft-Windows-MCCS-DavSyncProvider	132	0	task_0132(HexInt32 Prop_Id)		Warning	task_0	Warning		
Microsoft-Windows-MCCS-DavSyncProvider	133	0	task_0133(HexInt32 Prop_Id, Boolean Prop_Bool)		Warning	task_0	Warning		
Microsoft-Windows-MCCS-DavSyncProvider	134	0	task_0134(HexInt32 Prop_Id)		CommsService	task_0	Informational		
