provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-MCCS-EngineShared	1	0	task_0(Int32 P1_HResult, AnsiString P2_String, UInt32 P3_UInt32)		Error keyword_200000000000	task_0	Error		
Microsoft-Windows-MCCS-EngineShared	2	0	task_02(Int32 P1_HResult, AnsiString P2_String, UInt32 P3_UInt32)		Warning keyword_200000000000	task_0	Warning		
Microsoft-Windows-MCCS-EngineShared	3	0	Trace(Pointer Message)		Debug keyword_200000000000	Trace	Verbose		
Microsoft-Windows-MCCS-EngineShared	1001	0	task_01001(UInt32 Prop_UInt32)		Photos	task_0	Informational		
Microsoft-Windows-MCCS-EngineShared	1002	0	task_01002(UInt32 Prop_UInt32)		Photos	task_0	Informational		
Microsoft-Windows-MCCS-EngineShared	1003	0	task_01003(UInt32 Prop_1_UInt32, UInt32 Prop_2_UInt32)		Feeds	task_0	Informational		
Microsoft-Windows-MCCS-EngineShared	1004	0	task_01004(UInt32 Prop_Hr_UInt32)		Photos Warning	task_0	Warning		
Microsoft-Windows-MCCS-EngineShared	1005	0	task_01005(UInt32 Prop_1_UInt32, UInt32 Prop_2_UInt32)		Photos	task_0	Informational		
Microsoft-Windows-MCCS-EngineShared	1006	0	task_01006(UnicodeString Prop_UnicodeString)		Feeds	task_0	Informational		
Microsoft-Windows-MCCS-EngineShared	1007	0	task_01007(UInt32 Prop_Hr_UInt32)		Error	task_0	Error		
Microsoft-Windows-MCCS-EngineShared	1008	0	task_01008(UInt32 Prop_UInt32)		Photos	task_0	Informational		
Microsoft-Windows-MCCS-EngineShared	1050	0	task_01050(UInt32 Prop_1_UInt32, UInt32 Prop_2_UInt32, UInt32 Prop_3_UInt32, UInt32 Prop_4_UInt32)		Feeds	task_0	Informational		
Microsoft-Windows-MCCS-EngineShared	1051	0	task_01051(UInt32 Prop_1_UInt32, UInt32 Prop_2_UInt32, UInt32 Prop_3_UInt32, UInt32 Prop_4_UInt32)		Feeds	task_0	Informational		
Microsoft-Windows-MCCS-EngineShared	1052	0	task_01052(UInt32 Prop_1_UInt32, UInt32 Prop_2_UInt32, UInt32 Prop_3_UInt32)		Feeds Warning	task_0	Warning		
Microsoft-Windows-MCCS-EngineShared	1053	0	task_01053(UInt32 Prop_1_UInt32, UInt32 Prop_2_UInt32, UInt32 Prop_3_UInt32, UInt32 Prop_4_UInt32)		Feeds Warning	task_0	Warning		
Microsoft-Windows-MCCS-EngineShared	1054	0	task_01054(UInt32 Prop_1_UInt32, FILETIME Prop_2_FILETIME, UnicodeString Prop_3_UnicodeString)		Feeds	task_0	Informational		
Microsoft-Windows-MCCS-EngineShared	2000	0	task_02000(UnicodeString Prop_UnicodeString, UInt32 Prop_Hr)		Connect keyword_200000000000	task_0	Informational		
Microsoft-Windows-MCCS-EngineShared	2001	0	task_02001(UInt32 Prop_Hr_UInt32)		Connect keyword_200000000000	task_0	Informational		
Microsoft-Windows-MCCS-EngineShared	2002	0	task_02002(UInt32 Prop_1_UInt32, UInt32 Prop_2_UInt32)		Connect Warning keyword_200000000000	task_0	Warning		
Microsoft-Windows-MCCS-EngineShared	2003	0	task_02003(Boolean Prop_Boolean)		Connect keyword_200000000000	task_0	Informational		
Microsoft-Windows-MCCS-EngineShared	2004	0	task_02004(Boolean Prop_Boolean)		Connect keyword_200000000000	task_0	Informational		
Microsoft-Windows-MCCS-EngineShared	2005	0	task_02005(Boolean Prop_Boolean)		Connect keyword_200000000000	task_0	Informational		
Microsoft-Windows-MCCS-EngineShared	2006	0	task_02006()		Connect keyword_200000000000	task_0	Informational		
Microsoft-Windows-MCCS-EngineShared	2007	0	task_02007(UnicodeString Prop_UnicodeString)		Connect keyword_200000000000	task_0	Informational		
Microsoft-Windows-MCCS-EngineShared	2008	0	task_02008(UnicodeString Prop_UnicodeString)		Connect keyword_200000000000	task_0	Informational		
Microsoft-Windows-MCCS-EngineShared	2009	0	task_02009(UnicodeString Prop_UnicodeString)		Connect keyword_200000000000	task_0	Informational		
Microsoft-Windows-MCCS-EngineShared	2010	0	task_02010(UnicodeString Prop_UnicodeString)		Connect keyword_200000000000	task_0	Informational		
Microsoft-Windows-MCCS-EngineShared	2011	0	task_02011(UnicodeString Prop_1_UnicodeString, UnicodeString Prop_2_UnicodeString, UnicodeString Prop_3_UnicodeString)		Connect keyword_200000000000	task_0	Informational		
Microsoft-Windows-MCCS-EngineShared	2012	0	task_02012(UnicodeString Prop_UnicodeString, UInt32 Prop_UInt32)		Connect Warning keyword_200000000000	task_0	Warning		
Microsoft-Windows-MCCS-EngineShared	2013	0	task_02013(UnicodeString Prop_UnicodeString)		Connect keyword_200000000000	task_0	Informational		
Microsoft-Windows-MCCS-EngineShared	2014	0	task_02014(UnicodeString Prop_UnicodeString)		Connect keyword_200000000000	task_0	Informational		
Microsoft-Windows-MCCS-EngineShared	2015	0	task_02015(UnicodeString Prop_UnicodeString)		Connect keyword_200000000000	task_0	Informational		
Microsoft-Windows-MCCS-EngineShared	2017	0	task_02017(UnicodeString Prop_UnicodeString)		Connect keyword_200000000000	task_0	Warning		
Microsoft-Windows-MCCS-EngineShared	2018	0	task_02018(UInt32 Prop_UInt32)		Connect Warning keyword_200000000000	task_0	Warning		
Microsoft-Windows-MCCS-EngineShared	2019	0	task_02019()		Connect keyword_200000000000	task_0	Informational		
Microsoft-Windows-MCCS-EngineShared	2020	0	task_02020(UInt32 Prop_Hr_UInt32)		Connect keyword_200000000000	task_0	Informational		
Microsoft-Windows-MCCS-EngineShared	3001	0	task_03001(UnicodeString Prop_UnicodeString)		Debug keyword_200000000000	task_0	Informational		
Microsoft-Windows-MCCS-EngineShared	3002	0	SPERF_TAG_SHARED_MIME_LOOKUP_NAMEStart()	Start	Performance keyword_200000000000	SPERF_TAG_SHARED_MIME_LOOKUP_NAME	Informational		
Microsoft-Windows-MCCS-EngineShared	3003	0	SPERF_TAG_SHARED_MIME_LOOKUP_NAMEStop()	Stop	Performance keyword_200000000000	SPERF_TAG_SHARED_MIME_LOOKUP_NAME	Informational		
