provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-MCCS-InternetMail	1	0	task_0(Int32 P1_HResult, AnsiString P2_String, UInt32 P3_UInt32)		Error	task_0	Error		
Microsoft-Windows-MCCS-InternetMail	2	0	task_02(Int32 P1_HResult, AnsiString P2_String, UInt32 P3_UInt32)		Warning	task_0	Warning		
Microsoft-Windows-MCCS-InternetMail	101	0	task_0101(AnsiString Prop_String)		Error	task_0	Error		
Microsoft-Windows-MCCS-InternetMail	102	0	task_0102(AnsiString Prop_String, AnsiString Prop_String2)		Warning	task_0	Warning		
Microsoft-Windows-MCCS-InternetMail	103	0	task_0103(AnsiString Prop_String, AnsiString Prop_String2)		Warning	task_0	Warning		
Microsoft-Windows-MCCS-InternetMail	104	0	task_0104(UInt32 Prop_Hex)		CommsService	task_0	Informational		
Microsoft-Windows-MCCS-InternetMail	110	0	task_0110(UInt32 Prop_Hex)		CommsService	task_0	Informational		
Microsoft-Windows-MCCS-InternetMail	111	0	task_0111(UInt32 Prop_Hex)		CommsService	task_0	Informational		
Microsoft-Windows-MCCS-InternetMail	112	0	task_0112()		CommsService	task_0	Informational		
Microsoft-Windows-MCCS-InternetMail	113	0	task_0113()		CommsService	task_0	Informational		
Microsoft-Windows-MCCS-InternetMail	114	0	task_0114()		CommsService	task_0	Informational		
Microsoft-Windows-MCCS-InternetMail	115	0	task_0115()		CommsService	task_0	Informational		
Microsoft-Windows-MCCS-InternetMail	116	0	task_0116(UInt32 Prop_Hex)		CommsService	task_0	Informational		
Microsoft-Windows-MCCS-InternetMail	117	0	task_0117()		CommsService	task_0	Informational		
Microsoft-Windows-MCCS-InternetMail	118	0	task_0118(UInt32 Prop_Uint)		CommsService	task_0	Informational		
Microsoft-Windows-MCCS-InternetMail	119	0	task_0119(UInt32 Prop_Uint)		CommsService	task_0	Informational		
Microsoft-Windows-MCCS-InternetMail	120	0	task_0120(UInt32 Prop_Uint)		CommsService	task_0	Informational		
