provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-MCCS-SyncController	1	0	task_0(Int32 P1_HResult, AnsiString P2_String, UInt32 P3_UInt32)		Error	task_0	Error		
Microsoft-Windows-MCCS-SyncController	2	0	task_02(Int32 P1_HResult, AnsiString P2_String, UInt32 P3_UInt32)		Warning	task_0	Warning		
Microsoft-Windows-MCCS-SyncController	102	0	task_0102(HexInt32 Prop_Dword_1)		Warning	task_0	Warning		
Microsoft-Windows-MCCS-SyncController	103	0	task_0103(HexInt32 Prop_Dword_1)		Warning	task_0	Warning		
Microsoft-Windows-MCCS-SyncController	104	0	task_0104(HexInt32 Prop_Dword_0, HexInt32 Prop_Dword_1, HexInt32 Prop_Dword_2, UInt32 Prop_Dword_3)		Warning	task_0	Warning		
Microsoft-Windows-MCCS-SyncController	105	0	task_0105(HexInt32 Prop_Dword_0, UInt32 Prop_Dword_1)		Warning	task_0	Warning		
Microsoft-Windows-MCCS-SyncController	106	0	task_0106(HexInt32 Prop_Dword_0, HexInt32 Prop_Dword_1, HexInt32 Prop_Dword_2, UInt32 Prop_Dword_3)		Warning	task_0	Warning		
Microsoft-Windows-MCCS-SyncController	191	0	task_0191(UnicodeString P2_UnicodeString)		CommsService	task_0	Informational		
Microsoft-Windows-MCCS-SyncController	193	0	task_0193(GUID P1_Guid, UnicodeString P2_UnicodeString)		CommsService	task_0	Informational		
Microsoft-Windows-MCCS-SyncController	194	0	task_0194(GUID P1_Guid, UnicodeString P2_UnicodeString)		CommsService	task_0	Error		
Microsoft-Windows-MCCS-SyncController	195	0	task_0195(UnicodeString P2_UnicodeString)		CommsService	task_0	Error		
Microsoft-Windows-MCCS-SyncController	196	0	task_0196(Boolean P1_Boolean)		CommsService	task_0	Warning		
Microsoft-Windows-MCCS-SyncController	201	0	task_0201(UInt32 SyncMode, HexInt32 Prop_Dword_2)		StateTransition	task_0	Informational		
Microsoft-Windows-MCCS-SyncController	401	0	SPERF_TAG_SYNC_INIT_PROVIDERStart()	Start	Performance	SPERF_TAG_SYNC_INIT_PROVIDER	Informational		
Microsoft-Windows-MCCS-SyncController	402	0	SPERF_TAG_SYNC_INIT_PROVIDERStop()	Stop	Performance	SPERF_TAG_SYNC_INIT_PROVIDER	Informational		
Microsoft-Windows-MCCS-SyncController	403	0	SPERF_TAG_SYNC_SERVICE_LOADEDStart()	Start	Performance	SPERF_TAG_SYNC_SERVICE_LOADED	Informational		
Microsoft-Windows-MCCS-SyncController	404	0	SPERF_TAG_SYNC_SERVICE_LOADEDStop()	Stop	Performance	SPERF_TAG_SYNC_SERVICE_LOADED	Informational		
Microsoft-Windows-MCCS-SyncController	405	0	SPERF_TAG_SYNC_SERVICE_UNLOADStart()	Start	Performance	SPERF_TAG_SYNC_SERVICE_UNLOAD	Informational		
