provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-MCCS-SyncUtil	1	0	task_0(Int32 P1_HResult, AnsiString P2_String, UInt32 P3_UInt32)		Error	task_0	Error		
Microsoft-Windows-MCCS-SyncUtil	2	0	task_02(Int32 P1_HResult, AnsiString P2_String, UInt32 P3_UInt32)		Warning	task_0	Warning		
Microsoft-Windows-MCCS-SyncUtil	101	0	task_0101(HexInt32 Prop_Dword, AnsiString Prop_StringA_1, AnsiString Prop_StringA_2)		CommsService	task_0	Informational		
Microsoft-Windows-MCCS-SyncUtil	104	0	task_0104(UnicodeString Prop_String1, UnicodeString Prop_String2, UnicodeString Prop_String3, AnsiString Prop_AnsiString)			task_0	Verbose		
Microsoft-Windows-MCCS-SyncUtil	121	0	SPERF_TAG_LOAD_XMLDOMStart(UnicodeString P1_UnicodeString)	Start	Performance	SPERF_TAG_LOAD_XMLDOM	Informational		
Microsoft-Windows-MCCS-SyncUtil	122	0	SPERF_TAG_LOAD_XMLDOMStop(UnicodeString P1_UnicodeString)	Stop	Performance	SPERF_TAG_LOAD_XMLDOM	Informational		
Microsoft-Windows-MCCS-SyncUtil	202	0	task_0202(HexInt32 P1_HexInt32)		Warning	task_0	Warning		
Microsoft-Windows-MCCS-SyncUtil	203	0	task_0203(UnicodeString P1_UnicodeString)		Warning	task_0	Warning		
Microsoft-Windows-MCCS-SyncUtil	204	0	task_0204(UnicodeString P1_UnicodeString)		Warning	task_0	Warning		
Microsoft-Windows-MCCS-SyncUtil	205	0	task_0205(UnicodeString P1_UnicodeString)		Warning	task_0	Warning		
Microsoft-Windows-MCCS-SyncUtil	206	0	task_0206(Int32 P1_Int32)		Warning	task_0	Warning		
Microsoft-Windows-MCCS-SyncUtil	301	0	task_0301()		Error	task_0	Error		
Microsoft-Windows-MCCS-SyncUtil	600	0	task_0600()			task_0	Informational		
Microsoft-Windows-MCCS-SyncUtil	601	0	task_0601()			task_0	Informational		
Microsoft-Windows-MCCS-SyncUtil	800	0	task_0800(UnicodeString Prop_String1, FILETIME Prop_FileTime1)		Warning	task_0	Informational		
Microsoft-Windows-MCCS-SyncUtil	802	0	task_0802(UnicodeString Prop_String1, FILETIME Prop_FileTime1)		Warning	task_0	Informational		
Microsoft-Windows-MCCS-SyncUtil	803	0	task_0803(Int32 P1_Int32)		Error	task_0	Error		
Microsoft-Windows-MCCS-SyncUtil	804	0	task_0804(HexInt32 Prop_HexInt32, UnicodeString Prop_String)		Error	task_0	Error		
Microsoft-Windows-MCCS-SyncUtil	810	0	task_0810(HexInt32 P1_HexInt32)		StateTransition	task_0	Informational		
