provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-MF-FrameServer	2	0	FrameServerFsProxySetOutputTypeStart(UInt32 PinId, AnsiString MediaType)	Start		FrameServerFsProxySetOutputType	Informational		
Microsoft-Windows-MF-FrameServer	3	0	FrameServerFsProxySetOutputTypeStop(HexInt32 hr)	Stop		FrameServerFsProxySetOutputType	Informational		
Microsoft-Windows-MF-FrameServer	4	0	FrameServerFsProxyD3dManagerStart(UnicodeString D3dDesc, HexInt64 LUID, UInt32 VendorId, UInt32 DeviceId, UInt32 SubSysId)	Start		FrameServerFsProxyD3dManager	Informational		
Microsoft-Windows-MF-FrameServer	5	0	FrameServerFsProxyD3dManagerStop(HexInt32 hr)	Stop		FrameServerFsProxyD3dManager	Informational		
Microsoft-Windows-MF-FrameServer	6	0	string.FrameServerFsProxyInitializationStart(UnicodeString SymbolicLink, UInt32 Devices, UInt32 Streams, UInt32 StreamType, HexInt32 hr)	Start		string.FrameServerFsProxyInitialization	Informational		
Microsoft-Windows-MF-FrameServer	7	0	string.FrameServerFsProxyInitializationStop(UnicodeString SymbolicLink, UInt32 Devices, UInt32 Streams, UInt32 StreamType, HexInt32 hr)	Stop		string.FrameServerFsProxyInitialization	Informational		
Microsoft-Windows-MF-FrameServer	8	0	string.FrameServerFsClientCreateSampleStart(UInt32 StreamId, UInt64 TimeStamp, UInt32 Duration, UInt32 MemoryType)	Start		string.FrameServerFsClientCreateSample	Informational		
Microsoft-Windows-MF-FrameServer	9	0	string.FrameServerFsClientCreateSampleStart9(HexInt32 hr)	Start		string.FrameServerFsClientCreateSample	Informational		
Microsoft-Windows-MF-FrameServer	10	0	FrameServerCaptureStatisticsStart(UInt32 StreamId, UInt32 StatSource, UInt32 Flags, UInt64 Requests, UInt64 Input, UInt64 Output, UInt64 Dropped, Double FrameDelayRMSAccumulator, UInt32 FrameDelayRMSCounter, UInt64 ExpectedFrameDelay, HexInt32 hr, UnicodeString SymbolicLink)	Start		FrameServerCaptureStatistics	Informational		
Microsoft-Windows-MF-FrameServer	11	0	FrameServerWatchdogTimerTaskStart(UInt32 TimerScope, UInt64 TimerScopeId, UInt32 WatchdogOperation, UInt64 DurationToTriggerInHns, UnicodeString SymbolicLink)	Start		FrameServerWatchdogTimerTask	Informational		
Microsoft-Windows-MF-FrameServer	12	0	FrameServerWatchdogTimerTaskStop(UInt32 TimerScope, UInt64 TimerScopeId, UInt32 WatchdogOperation, UInt64 DurationToCompletionInHns)	Stop		FrameServerWatchdogTimerTask	Informational		
Microsoft-Windows-MF-FrameServer	13	0	FrameServerWatchdogTimerTaskStop13(UInt32 TimerScope, UInt64 TimerScopeId, UInt32 WatchdogOperation, HexInt32 hr)	Stop		FrameServerWatchdogTimerTask	Error		
Microsoft-Windows-MF-FrameServer	20	0	FrameServer_FSSourceMediaStream_SetWorkQueueTask(Pointer StreamObject, UInt32 WorkQueueId, Int32 Priority)			FrameServer_FSSourceMediaStream_SetWorkQueueTask	Informational		
Microsoft-Windows-MF-FrameServer	21	1	FrameServer_FSSourceMediaStream_UpdateCountsTask_V1(Pointer StreamObject, Int64 Send, Int64 Cached, Int64 Dropped, Int64 Diff, Int64 FramesFree, Int64 hnsTimestamp, Int64 hnsDuration, Int64 captureTimestamp, Int64 interIimestampDelta, Int64 captureLatency, Int64 processingLatency, Int64 nextPreDeadlineDeltaFromNow_us, Int64 nextDeadlineDeltaFromNow_us, Boolean IsMEP)			FrameServer_FSSourceMediaStream_UpdateCountsTask	Informational		
Microsoft-Windows-MF-FrameServer	22	0	FrameServer_FSSourceMediaSource_SetWorkQueueTask(Pointer StreamObject, UInt32 WorkQueueId, Int32 Priority, UInt32 MediaStreamCount)			FrameServer_FSSourceMediaSource_SetWorkQueueTask	Informational		
Microsoft-Windows-MF-FrameServer	23	0	FrameServer_FSSourceMediaStream_DropFrameTask(Pointer StreamObject, UInt32 StreamId)			FrameServer_FSSourceMediaStream_DropFrameTask	Informational		
Microsoft-Windows-MF-FrameServer	24	0	FrameServer_FSSourceMediaStream_ProcessingOnBehalfTaskStart(Pointer StreamObject, UInt32 WorkQueueId)	Start		FrameServer_FSSourceMediaStream_ProcessingOnBehalfTask	Informational		
Microsoft-Windows-MF-FrameServer	25	0	FrameServer_FSSourceMediaStream_ProcessingOnBehalfTaskStop(Pointer StreamObject, UInt32 WorkQueueId)	Stop		FrameServer_FSSourceMediaStream_ProcessingOnBehalfTask	Informational		
