provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-MPRMSG	20001	0	task_0(UnicodeString param1, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20002	0	task_020002(UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20003	0	task_020003(UnicodeString param1, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20004	0	task_020004(UnicodeString param1, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20005	0	task_020005(UnicodeString param1, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20006	0	task_020006(UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20009	0	task_020009(UnicodeString param1, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20010	0	task_020010(UnicodeString param1, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20011	0	task_020011(UnicodeString param1, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20012	0	task_020012(UnicodeString param1, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20013	0	task_020013(UnicodeString param1, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20016	0	task_020016(UnicodeString param1, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20018	0	task_020018(UnicodeString param1, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20019	0	task_020019(UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20020	0	task_020020(UnicodeString param1, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20021	0	task_020021(UnicodeString param1, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20022	0	task_020022(UnicodeString param1, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20023	0	task_020023(UnicodeString param1, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20024	0	task_020024(UnicodeString param1, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20025	0	task_020025(UnicodeString param1, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20026	0	task_020026(UnicodeString param1, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20027	0	task_020027(UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20028	0	task_020028(UnicodeString param1, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20029	0	task_020029(UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20030	0	task_020030(UnicodeString param1, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20031	0	task_020031(UnicodeString param1, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20032	0	task_020032(UnicodeString param1, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20033	0	task_020033(UnicodeString param1, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20034	0	task_020034(UnicodeString param1, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20035	0	task_020035(UnicodeString param1, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20036	0	task_020036(UnicodeString param1, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20037	0	task_020037(UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20038	0	task_020038(UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20039	0	task_020039(UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20040	0	task_020040(UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20041	0	task_020041(UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20042	0	task_020042(UnicodeString param1, UnicodeString param2, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20043	0	task_020043(UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20044	0	task_020044(UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20045	0	task_020045(UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20046	0	task_020046(UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20047	0	task_020047(UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20051	0	task_020051(UnicodeString param1, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20052	0	task_020052(UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20053	0	task_020053(UnicodeString param1, UnicodeString param2, UnicodeString param3, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20054	0	task_020054(UnicodeString param1, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20055	0	task_020055(UnicodeString param1, UnicodeString param2, UnicodeString param3, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20056	0	task_020056(UnicodeString param1, UnicodeString param2, UnicodeString param3, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20057	0	task_020057(UnicodeString param1, UnicodeString param2, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20058	0	task_020058(UnicodeString param1, UnicodeString param2, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20059	0	task_020059(UnicodeString param1, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20060	0	task_020060(UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20061	0	task_020061(UnicodeString param1, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20062	0	task_020062(UnicodeString param1, UnicodeString param2, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20063	0	task_020063(UnicodeString param1, UnicodeString param2, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20064	0	task_020064(UnicodeString param1, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20065	0	task_020065(UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20066	0	task_020066(UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20067	0	task_020067(UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20068	0	task_020068(UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20069	0	task_020069(UnicodeString param1, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20070	0	task_020070(UnicodeString param1, UnicodeString param2, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20071	0	task_020071(UnicodeString param1, UnicodeString param2, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20072	0	task_020072(UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20079	0	task_020079(UnicodeString param1, UnicodeString param2, UnicodeString param3, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20080	0	task_020080(UnicodeString param1, UnicodeString param2, UnicodeString param3, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20081	0	task_020081(UnicodeString param1, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20082	0	task_020082(UnicodeString param1, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20084	0	task_020084(UnicodeString param1, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20085	0	task_020085(UnicodeString param1, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20086	0	task_020086(UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20087	0	task_020087(UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20088	0	task_020088(UnicodeString param1, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20090	0	task_020090(UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20091	0	task_020091(UnicodeString param1, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20092	0	task_020092(UnicodeString param1, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20093	0	task_020093(UnicodeString param1, UnicodeString param2, UnicodeString param3, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20094	0	task_020094(UnicodeString param1, UnicodeString param2, UnicodeString param3, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20096	0	task_020096(UnicodeString param1, UnicodeString param2, UnicodeString param3, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20098	0	task_020098(UnicodeString param1, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20099	0	task_020099(UnicodeString param1, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20100	0	task_020100(UnicodeString param1, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20101	0	task_020101(UnicodeString param1, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20102	0	task_020102(UnicodeString param1, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20103	0	task_020103(UnicodeString param1, UInt32 __binLength, Binary binary)			task_0	Always		
Microsoft-Windows-MPRMSG	20104	0	task_020104(UInt32 __binLength, Binary binary)			task_0	Always		
