provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-MPS-CLNT	200	0	MPS_CLNT_API_RestoreDefaultsStart()	Start	Client	MPS_CLNT_API_RestoreDefaults	Informational		
Microsoft-Windows-MPS-CLNT	201	0	MPS_CLNT_API_RestoreDefaultsStop()	Stop	Client	MPS_CLNT_API_RestoreDefaults	Informational		
Microsoft-Windows-MPS-CLNT	202	0	MPS_CLNT_API_EnumFirewallRulesStart()	Start	Client	MPS_CLNT_API_EnumFirewallRules	Informational		
Microsoft-Windows-MPS-CLNT	203	0	MPS_CLNT_API_EnumFirewallRulesStop()	Stop	Client	MPS_CLNT_API_EnumFirewallRules	Informational		
Microsoft-Windows-MPS-CLNT	204	0	MPS_CLNT_API_DeleteFirewallRuleStart()	Start	Client	MPS_CLNT_API_DeleteFirewallRule	Informational		
Microsoft-Windows-MPS-CLNT	205	0	MPS_CLNT_API_DeleteFirewallRuleStop()	Stop	Client	MPS_CLNT_API_DeleteFirewallRule	Informational		
Microsoft-Windows-MPS-CLNT	206	0	MPS_CLNT_API_DeleteAllFirewallRulesStart()	Start	Client	MPS_CLNT_API_DeleteAllFirewallRules	Informational		
Microsoft-Windows-MPS-CLNT	207	0	MPS_CLNT_API_DeleteAllFirewallRulesStop()	Stop	Client	MPS_CLNT_API_DeleteAllFirewallRules	Informational		
Microsoft-Windows-MPS-CLNT	208	0	MPS_CLNT_API_AddFirewallRuleStart()	Start	Client	MPS_CLNT_API_AddFirewallRule	Informational		
Microsoft-Windows-MPS-CLNT	209	0	MPS_CLNT_API_AddFirewallRuleStop()	Stop	Client	MPS_CLNT_API_AddFirewallRule	Informational		
Microsoft-Windows-MPS-CLNT	210	0	MPS_CLNT_API_SetFirewallRuleStart()	Start	Client	MPS_CLNT_API_SetFirewallRule	Informational		
Microsoft-Windows-MPS-CLNT	211	0	MPS_CLNT_API_SetFirewallRuleStop()	Stop	Client	MPS_CLNT_API_SetFirewallRule	Informational		
Microsoft-Windows-MPS-CLNT	212	0	MPS_CLNT_API_GetConfigStart()	Start	Client	MPS_CLNT_API_GetConfig	Informational		
Microsoft-Windows-MPS-CLNT	213	0	MPS_CLNT_API_GetConfigStop()	Stop	Client	MPS_CLNT_API_GetConfig	Informational		
Microsoft-Windows-MPS-CLNT	214	0	MPS_CLNT_API_SetConfigStart()	Start	Client	MPS_CLNT_API_SetConfig	Informational		
Microsoft-Windows-MPS-CLNT	215	0	MPS_CLNT_API_SetConfigStop()	Stop	Client	MPS_CLNT_API_SetConfig	Informational		
Microsoft-Windows-MPS-CLNT	216	0	MPS_CLNT_API_GetGlobalConfigStart()	Start	Client	MPS_CLNT_API_GetGlobalConfig	Informational		
Microsoft-Windows-MPS-CLNT	217	0	MPS_CLNT_API_GetGlobalConfigStop()	Stop	Client	MPS_CLNT_API_GetGlobalConfig	Informational		
Microsoft-Windows-MPS-CLNT	218	0	MPS_CLNT_API_SetGlobalConfigStart()	Start	Client	MPS_CLNT_API_SetGlobalConfig	Informational		
Microsoft-Windows-MPS-CLNT	219	0	MPS_CLNT_API_SetGlobalConfigStop()	Stop	Client	MPS_CLNT_API_SetGlobalConfig	Informational		
Microsoft-Windows-MPS-CLNT	220	0	MPS_CLNT_API_OpenPolicyStoreStart()	Start	Client	MPS_CLNT_API_OpenPolicyStore	Informational		
Microsoft-Windows-MPS-CLNT	221	0	MPS_CLNT_API_OpenPolicyStoreStop()	Stop	Client	MPS_CLNT_API_OpenPolicyStore	Informational		
Microsoft-Windows-MPS-CLNT	222	0	MPS_CLNT_API_ClosePolicyStoreStart()	Start	Client	MPS_CLNT_API_ClosePolicyStore	Informational		
Microsoft-Windows-MPS-CLNT	223	0	MPS_CLNT_API_ClosePolicyStoreStop()	Stop	Client	MPS_CLNT_API_ClosePolicyStore	Informational		
Microsoft-Windows-MPS-CLNT	224	0	MPS_CLNT_API_AddConnectionSecurityRuleStart()	Start	Client	MPS_CLNT_API_AddConnectionSecurityRule	Informational		
Microsoft-Windows-MPS-CLNT	225	0	MPS_CLNT_API_AddConnectionSecurityRuleStop()	Stop	Client	MPS_CLNT_API_AddConnectionSecurityRule	Informational		
Microsoft-Windows-MPS-CLNT	226	0	MPS_CLNT_API_SetConnectionSecurityRuleStart()	Start	Client	MPS_CLNT_API_SetConnectionSecurityRule	Informational		
