provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-MPS-SRV	101	0	StartServiceStart()	Start	Service	StartService	Informational		
Microsoft-Windows-MPS-SRV	102	0	StartServiceStop()	Stop	Service	StartService	Informational		
Microsoft-Windows-MPS-SRV	103	0	StopServiceStart()	Start	Service	StopService	Informational		
Microsoft-Windows-MPS-SRV	104	0	StopServiceStop()	Stop	Service	StopService	Informational		
Microsoft-Windows-MPS-SRV	105	0	Audit_InitializeStart()	Start	Service	Audit_Initialize	Informational		
Microsoft-Windows-MPS-SRV	106	0	Audit_InitializeStop()	Stop	Service	Audit_Initialize	Informational		
Microsoft-Windows-MPS-SRV	107	0	Audit_ShutdownStart()	Start	Service	Audit_Shutdown	Informational		
Microsoft-Windows-MPS-SRV	108	0	Audit_ShutdownStop()	Stop	Service	Audit_Shutdown	Informational		
Microsoft-Windows-MPS-SRV	113	0	AuthApps_InitializeStart()	Start	Service	AuthApps_Initialize	Informational		
Microsoft-Windows-MPS-SRV	114	0	AuthApps_InitializeStop()	Stop	Service	AuthApps_Initialize	Informational		
Microsoft-Windows-MPS-SRV	115	0	AuthApps_ShutdownStart()	Start	Service	AuthApps_Shutdown	Informational		
Microsoft-Windows-MPS-SRV	116	0	AuthApps_ShutdownStop()	Stop	Service	AuthApps_Shutdown	Informational		
Microsoft-Windows-MPS-SRV	117	0	Notify_InitializeStart()	Start	Service	Notify_Initialize	Informational		
Microsoft-Windows-MPS-SRV	118	0	Notify_InitializeStop()	Stop	Service	Notify_Initialize	Informational		
Microsoft-Windows-MPS-SRV	119	0	Notify_ShutdownStart()	Start	Service	Notify_Shutdown	Informational		
Microsoft-Windows-MPS-SRV	120	0	Notify_ShutdownStop()	Stop	Service	Notify_Shutdown	Informational		
Microsoft-Windows-MPS-SRV	121	0	DynPorts_InitializeStart()	Start	Service	DynPorts_Initialize	Informational		
Microsoft-Windows-MPS-SRV	122	0	DynPorts_InitializeStop()	Stop	Service	DynPorts_Initialize	Informational		
Microsoft-Windows-MPS-SRV	123	0	DynPorts_ShutdownStart()	Start	Service	DynPorts_Shutdown	Informational		
Microsoft-Windows-MPS-SRV	124	0	DynPorts_ShutdownStop()	Stop	Service	DynPorts_Shutdown	Informational		
Microsoft-Windows-MPS-SRV	125	0	ChangeSource_InitializeStart()	Start	Service	ChangeSource_Initialize	Informational		
Microsoft-Windows-MPS-SRV	126	0	ChangeSource_InitializeStop()	Stop	Service	ChangeSource_Initialize	Informational		
Microsoft-Windows-MPS-SRV	127	0	ChangeSource_ShutdownStart()	Start	Service	ChangeSource_Shutdown	Informational		
Microsoft-Windows-MPS-SRV	128	0	ChangeSource_ShutdownStop()	Stop	Service	ChangeSource_Shutdown	Informational		
Microsoft-Windows-MPS-SRV	129	0	Writer_InitializeStart()	Start	Service	Writer_Initialize	Informational		
Microsoft-Windows-MPS-SRV	130	0	Writer_InitializeStop()	Stop	Service	Writer_Initialize	Informational		
Microsoft-Windows-MPS-SRV	131	0	Writer_ShutdownStart()	Start	Service	Writer_Shutdown	Informational		
Microsoft-Windows-MPS-SRV	132	0	Writer_ShutdownStop()	Stop	Service	Writer_Shutdown	Informational		
Microsoft-Windows-MPS-SRV	133	0	Logger_InitializeStart()	Start	Service	Logger_Initialize	Informational		
Microsoft-Windows-MPS-SRV	134	0	Logger_InitializeStop()	Stop	Service	Logger_Initialize	Informational		
Microsoft-Windows-MPS-SRV	135	0	Logger_ShutdownStart()	Start	Service	Logger_Shutdown	Informational		
Microsoft-Windows-MPS-SRV	136	0	Logger_ShutdownStop()	Stop	Service	Logger_Shutdown	Informational		
Microsoft-Windows-MPS-SRV	137	0	DynDataNLA1stPhase_InitializeStart()	Start	Service	DynDataNLA1stPhase_Initialize	Informational		
Microsoft-Windows-MPS-SRV	138	0	DynDataNLA1stPhase_InitializeStop()	Stop	Service	DynDataNLA1stPhase_Initialize	Informational		
Microsoft-Windows-MPS-SRV	139	0	DynDataNLA1stPhase_ShutdownStart()	Start	Service	DynDataNLA1stPhase_Shutdown	Informational		
Microsoft-Windows-MPS-SRV	140	0	DynDataNLA1stPhase_ShutdownStop()	Stop	Service	DynDataNLA1stPhase_Shutdown	Informational		
Microsoft-Windows-MPS-SRV	141	0	ProfileMgr_InitializeStart()	Start	Service	ProfileMgr_Initialize	Informational		
Microsoft-Windows-MPS-SRV	142	0	ProfileMgr_InitializeStop()	Stop	Service	ProfileMgr_Initialize	Informational		
Microsoft-Windows-MPS-SRV	143	0	ProfileMgr_ShutdownStart()	Start	Service	ProfileMgr_Shutdown	Informational		
Microsoft-Windows-MPS-SRV	144	0	ProfileMgr_ShutdownStop()	Stop	Service	ProfileMgr_Shutdown	Informational		
Microsoft-Windows-MPS-SRV	145	0	Upcall2ndPhase_InitializeStart()	Start	Service	Upcall2ndPhase_Initialize	Informational		
Microsoft-Windows-MPS-SRV	146	0	Upcall2ndPhase_InitializeStop()	Stop	Service	Upcall2ndPhase_Initialize	Informational		
Microsoft-Windows-MPS-SRV	147	0	Upcall2ndPhase_ShutdownStart()	Start	Service	Upcall2ndPhase_Shutdown	Informational		
