provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-MPTF	1	0	CoreConfigurationParseError(UInt16 RowCount, UInt32 ErrorLineLength, UnicodeString ErrorLine)		Critical MPTFCore	CoreConfigurationParseError	Error		
Microsoft-Windows-MPTF	2	0	CoreConfigurationReadError(UInt32 Status)		Critical MPTFCore	CoreConfigurationReadError	Error		
Microsoft-Windows-MPTF	3	0	CoreConfigurationAlgorithmError(UInt32 Row, UInt8 Base, UInt8 Interface, UInt8 Parameters, UInt8 Memory)		Critical MPTFCore	CoreConfigurationAlgorithmError	Error		
Microsoft-Windows-MPTF	4	0	CoreConfigurationInterfaceError(UInt32 Row, UInt8 Base, UInt8 Parameters, UInt8 Memory)		Critical MPTFCore	CoreConfigurationInterfaceError	Error		
Microsoft-Windows-MPTF	5	0	CoreConfigurationDeviceError(UInt8 Interfaces, UInt8 Algorithms)		Critical MPTFCore	CoreConfigurationDeviceError	Error		
Microsoft-Windows-MPTF	6	0	CoreInterfaceEvent(UInt32 EventLogType, UInt32 Input, UInt32 Output, UInt32 ErrorCode)		Critical MPTFCore	CoreInterfaceEvent	Error		
Microsoft-Windows-MPTF	7	0	CoreClientEvent(UInt32 EventLogType, Pointer TargetHandle, UInt32 ErrorCode)		Diagnostic MPTFCore	CoreClientEvent	Informational		
Microsoft-Windows-MPTF	8	0	CoreClientError(UInt32 EventLogType, Pointer TargetHandle, UInt32 ErrorCode)		Critical MPTFCore	CoreClientError	Error		
Microsoft-Windows-MPTF	9	0	CoreDStateEvent(UInt32 EventLogType)		Diagnostic MPTFCore	CoreDStateEvent	Informational		
Microsoft-Windows-MPTF	10	0	CoreTimerEvent(UInt32 EventLogType, Pointer TargetHandle, UInt32 Input, UInt32 Output, UInt32 State)		Diagnostic MPTFCore	CoreTimerEvent	Informational		
Microsoft-Windows-MPTF	11	0	CoreDataEvent(UInt32 EventLogType, UInt32 Type, UInt32 Instance, UInt32 value)		Critical MPTFCore	CoreDataEvent	Error		
Microsoft-Windows-MPTF	12	0	CoreListEvent(UInt32 EventLogType)		Critical MPTFCore	CoreListEvent	Error		
Microsoft-Windows-MPTF	13	0	CoreChannelEvent(UInt32 EventLogType)		Critical MPTFCore	CoreChannelEvent	Error		
Microsoft-Windows-MPTF	14	0	ProcessingConfigurationEvent(UInt16 ModuleIndex, UInt16 InputCount, UInt16 VirtualNodeCount, UInt16 OutputCount)		Diagnostic MPTFCore	ProcessingConfigurationEvent	Informational		
Microsoft-Windows-MPTF	15	0	ProcessingStateEvent(UInt8 Enabled)		Diagnostic MPTFCore	ProcessingStateEvent	Informational		
Microsoft-Windows-MPTF	16	0	ProcessingTimerStateEvent(UInt8 Enabled)		Diagnostic MPTFCore	ProcessingTimerStateEvent	Informational		
Microsoft-Windows-MPTF	17	0	ProcessingRegistrationEvent(UInt16 ModuleIndex, UInt32 Direction, UInt32 ChannelType, UInt32 ChannelInstance)		Diagnostic MPTFCore	ProcessingRegistrationEvent	Informational		
Microsoft-Windows-MPTF	18	0	ProcessingUnregistrationEvent(UInt16 ModuleIndex, UInt32 Direction, UInt32 ChannelType, UInt32 ChannelInstance)		Diagnostic MPTFCore	ProcessingUnregistrationEvent	Informational		
Microsoft-Windows-MPTF	19	0	ProcessingTooSlowEvent(UInt16 ModuleIndex, UInt32 DelayInMs)		Critical MPTFCore	ProcessingTooSlowEvent	Warning		
Microsoft-Windows-MPTF	20	0	ProcessingInputStormEvent(UInt32 DelayInMs)		Critical MPTFCore	ProcessingInputStormEvent	Warning		
Microsoft-Windows-MPTF	21	0	ProcessingTimerResetEvent(UInt32 DelayInMs)		Critical MPTFCore	ProcessingTimerResetEvent	Error		
Microsoft-Windows-MPTF	1000	0	DmfModuleDataEnqueued(UInt32 ClientRefStringLength, UnicodeString ClientRefString, UInt16 DataCount, UInt8 Data)		Verbose MPTFDmfModule	DmfModuleDataEnqueued	Informational		
Microsoft-Windows-MPTF	1001	0	DmfModuleDataUpdated(UInt32 ClientRefStringLength, UnicodeString ClientRefString, UInt16 DataCount, UInt8 Data)		Diagnostic MPTFDmfModule	DmfModuleDataUpdated	Informational		
Microsoft-Windows-MPTF	1002	0	DmfModuleDataRundown(UInt32 ClientRefStringLength, UnicodeString ClientRefString, UInt16 DataCount, UInt8 Data)		Critical MPTFDmfModule	DmfModuleDataRundown	Informational		
Microsoft-Windows-MPTF	1003	0	DmfModuleStatusEnqueued(UInt32 ClientRefStringLength, UnicodeString ClientRefString, UInt16 StatusCount, UInt8 Status)		Verbose MPTFDmfModule	DmfModuleStatusEnqueued	Informational		
Microsoft-Windows-MPTF	1004	0	DmfModuleStatusUpdated(UInt32 ClientRefStringLength, UnicodeString ClientRefString, UInt16 StatusCount, UInt8 Status)		Diagnostic MPTFDmfModule	DmfModuleStatusUpdated	Informational		
Microsoft-Windows-MPTF	1005	0	DmfModuleStatusRundown(UInt32 ClientRefStringLength, UnicodeString ClientRefString, UInt16 StatusCount, UInt8 Status)		Critical MPTFDmfModule	DmfModuleStatusRundown	Informational		
Microsoft-Windows-MPTF	1006	0	DmfModuleCapabilityEnqueued(UInt32 ClientRefStringLength, UnicodeString ClientRefString, UInt16 CapabilityCount, UInt8 Capabilities)		Verbose MPTFDmfModule	DmfModuleCapabilityEnqueued	Informational		
Microsoft-Windows-MPTF	1007	0	DmfModuleCapabilityUpdated(UInt32 ClientRefStringLength, UnicodeString ClientRefString, UInt16 CapabilityCount, UInt8 Capabilities)		Diagnostic MPTFDmfModule	DmfModuleCapabilityUpdated	Informational		
