provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-MSDTC	4097	0	task_0PCODE_64pcode_64(UnicodeString param1, UnicodeString param2, UnicodeString param3, UnicodeString param4, UnicodeString param5, UnicodeString param6, UnicodeString param7, UInt32 __binLength, Binary param_bin1)	opcode_64		task_0	Always		
Microsoft-Windows-MSDTC	4098	0	task_0PCODE_64pcode_644098(UnicodeString param1, UInt32 __binLength, Binary param_bin1)	opcode_64		task_0	Always		
Microsoft-Windows-MSDTC	4098	0	task_0PCODE_192pcode_192(UInt32 __binLength, Binary param1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC	4099	0	task_0PCODE_64pcode_644099(UInt32 __binLength, Binary param1)	opcode_64		task_0	Always		
Microsoft-Windows-MSDTC	4099	0	task_0PCODE_192pcode_1924099(UInt32 __binLength, Binary param1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC	4100	0	task_0PCODE_64pcode_644100(UInt32 __binLength, Binary param1)	opcode_64		task_0	Always		
Microsoft-Windows-MSDTC	4100	0	task_0PCODE_192pcode_1924100(UInt32 __binLength, Binary param1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC	4101	0	task_0PCODE_192pcode_1924101(UnicodeString param1, UInt32 __binLength, Binary param_bin1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC	4102	0	task_0PCODE_192pcode_1924102(UInt32 __binLength, Binary param1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC	4103	0	task_0PCODE_192pcode_1924103(UInt32 __binLength, Binary param1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC	4104	0	task_0PCODE_64pcode_644104(UInt32 __binLength, Binary param1)	opcode_64		task_0	Always		
Microsoft-Windows-MSDTC	4105	0	task_0PCODE_64pcode_644105(UInt32 __binLength, Binary param1)	opcode_64		task_0	Always		
Microsoft-Windows-MSDTC	4106	0	task_0PCODE_192pcode_1924106(UInt32 __binLength, Binary param1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC	4107	0	task_0PCODE_192pcode_1924107(UInt32 __binLength, Binary param1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC	4108	0	task_0PCODE_64pcode_644108(UInt32 __binLength, Binary param1)	opcode_64		task_0	Always		
Microsoft-Windows-MSDTC	4109	0	task_0PCODE_192pcode_1924109(UInt32 __binLength, Binary param1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC	4110	0	task_0PCODE_64pcode_644110(UInt32 __binLength, Binary param1)	opcode_64		task_0	Always		
Microsoft-Windows-MSDTC	4111	0	task_0PCODE_64pcode_644111(UInt32 __binLength, Binary param1)	opcode_64		task_0	Always		
Microsoft-Windows-MSDTC	4112	0	task_0PCODE_192pcode_1924112(UInt32 __binLength, Binary param1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC	4113	0	task_0PCODE_192pcode_1924113(UInt32 __binLength, Binary param_bin1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC	4114	0	task_0PCODE_192pcode_1924114(UInt32 __binLength, Binary param1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC	4115	0	task_0PCODE_192pcode_1924115(UInt32 __binLength, Binary param1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC	4116	0	task_0PCODE_192pcode_1924116(UInt32 __binLength, Binary param1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC	4117	0	task_0PCODE_192pcode_1924117(UInt32 __binLength, Binary param1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC	4118	0	task_0PCODE_192pcode_1924118(UInt32 __binLength, Binary param1)	opcode_192		task_0	Always		
