provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-MSDTC Client	4098	0	task_0PCODE_64pcode_64(UnicodeString param1, UInt32 __binLength, Binary param_bin1)	opcode_64		task_0	Always		
Microsoft-Windows-MSDTC Client	4099	0	task_0PCODE_64pcode_644099(UInt32 __binLength, Binary param1)	opcode_64		task_0	Always		
Microsoft-Windows-MSDTC Client	4101	0	task_0PCODE_192pcode_192(UnicodeString param1, UInt32 __binLength, Binary param_bin1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4113	0	task_0PCODE_192pcode_1924113(UInt32 __binLength, Binary param_bin1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4137	0	task_0PCODE_192pcode_1924137(UInt32 __binLength, Binary param1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4149	0	task_0PCODE_192pcode_1924149(UInt32 __binLength, Binary param1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4150	0	task_0PCODE_192pcode_1924150(UInt32 __binLength, Binary param1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4151	0	task_0PCODE_128pcode_128(UnicodeString param1, UInt32 __binLength, Binary param_bin1)	opcode_128		task_0	Always		
Microsoft-Windows-MSDTC Client	4151	0	task_0PCODE_192pcode_1924151(UInt32 __binLength, Binary param1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4152	0	task_0PCODE_192pcode_1924152(UInt32 __binLength, Binary param1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4153	0	task_0PCODE_192pcode_1924153(UInt32 __binLength, Binary param1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4155	0	task_0PCODE_192pcode_1924155(UInt32 __binLength, Binary param1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4156	0	task_0PCODE_64pcode_644156(UnicodeString param1, UInt32 __binLength, Binary param_bin1)	opcode_64		task_0	Always		
Microsoft-Windows-MSDTC Client	4209	0	task_0PCODE_192pcode_1924209(UnicodeString param1, UInt32 __binLength, Binary param_bin1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4211	0	task_0PCODE_192pcode_1924211(UnicodeString param1, UInt32 __binLength, Binary param_bin1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4212	0	task_0PCODE_192pcode_1924212(UnicodeString param1, UInt32 __binLength, Binary param_bin1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4213	0	task_0PCODE_192pcode_1924213(UnicodeString param1, UInt32 __binLength, Binary param_bin1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4214	0	task_0PCODE_192pcode_1924214(UnicodeString param1, UInt32 __binLength, Binary param_bin1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4215	0	task_0PCODE_192pcode_1924215(UnicodeString param1, UInt32 __binLength, Binary param_bin1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4216	0	task_0PCODE_192pcode_1924216(UnicodeString param1, UInt32 __binLength, Binary param_bin1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4217	0	task_0PCODE_192pcode_1924217(UnicodeString param1, UInt32 __binLength, Binary param_bin1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4224	0	task_0PCODE_192pcode_1924224(UnicodeString param1, UInt32 __binLength, Binary param_bin1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4225	0	task_0PCODE_192pcode_1924225(UnicodeString param1, UInt32 __binLength, Binary param_bin1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4226	0	task_0PCODE_192pcode_1924226(UnicodeString param1, UInt32 __binLength, Binary param_bin1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4227	0	task_0PCODE_192pcode_1924227(UInt32 __binLength, Binary param1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4233	0	task_0PCODE_192pcode_1924233(UnicodeString param1, UInt32 __binLength, Binary param_bin1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4356	0	task_0PCODE_192pcode_1924356(UnicodeString param1, UInt32 __binLength, Binary param_bin1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4357	0	task_0PCODE_192pcode_1924357(UnicodeString param1, UInt32 __binLength, Binary param_bin1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4358	0	task_0PCODE_192pcode_1924358(UnicodeString param1, UInt32 __binLength, Binary param_bin1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4359	0	task_0PCODE_192pcode_1924359(UnicodeString param1, UInt32 __binLength, Binary param_bin1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4399	0	task_0PCODE_192pcode_1924399(UInt32 __binLength, Binary param1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4400	0	task_0PCODE_192pcode_1924400(UInt32 __binLength, Binary param1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4401	0	task_0PCODE_192pcode_1924401(UInt32 __binLength, Binary param1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4402	0	task_0PCODE_192pcode_1924402(UInt32 __binLength, Binary param1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4403	0	task_0PCODE_192pcode_1924403(UInt32 __binLength, Binary param1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4404	0	task_0PCODE_192pcode_1924404(UnicodeString param1, UInt32 __binLength, Binary param_bin1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4405	0	task_0PCODE_192pcode_1924405(UnicodeString param1, UInt32 __binLength, Binary param_bin1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4406	0	task_0PCODE_192pcode_1924406(UnicodeString param1, UInt32 __binLength, Binary param_bin1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4407	0	task_0PCODE_192pcode_1924407(UnicodeString param1, UInt32 __binLength, Binary param_bin1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4408	0	task_0PCODE_192pcode_1924408(UnicodeString param1, UInt32 __binLength, Binary param_bin1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4409	0	task_0PCODE_192pcode_1924409(UnicodeString param1, UInt32 __binLength, Binary param_bin1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4410	0	task_0PCODE_192pcode_1924410(UnicodeString param1, UInt32 __binLength, Binary param_bin1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4411	0	task_0PCODE_192pcode_1924411(UnicodeString param1, UInt32 __binLength, Binary param_bin1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4412	0	task_0PCODE_192pcode_1924412(UInt32 __binLength, Binary param1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4413	0	task_0PCODE_192pcode_1924413(UInt32 __binLength, Binary param1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4414	0	task_0PCODE_192pcode_1924414(UInt32 __binLength, Binary param1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4415	0	task_0PCODE_192pcode_1924415(UInt32 __binLength, Binary param1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4416	0	task_0PCODE_192pcode_1924416(UInt32 __binLength, Binary param1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4417	0	task_0PCODE_192pcode_1924417(UInt32 __binLength, Binary param1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4424	0	task_0PCODE_192pcode_1924424(UnicodeString param1, UInt32 __binLength, Binary param_bin1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4425	0	task_0PCODE_192pcode_1924425(UnicodeString param1, UInt32 __binLength, Binary param_bin1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4426	0	task_0PCODE_192pcode_1924426(UnicodeString param1, UInt32 __binLength, Binary param_bin1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4427	0	task_0PCODE_192pcode_1924427(UnicodeString param1, UInt32 __binLength, Binary param_bin1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4428	0	task_0PCODE_192pcode_1924428(UnicodeString param1, UInt32 __binLength, Binary param_bin1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4429	0	task_0PCODE_192pcode_1924429(UnicodeString param1, UInt32 __binLength, Binary param_bin1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4431	0	task_0PCODE_192pcode_1924431(UnicodeString param1, UInt32 __binLength, Binary param_bin1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4432	0	task_0PCODE_192pcode_1924432(UnicodeString param1, UInt32 __binLength, Binary param_bin1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4441	0	task_0PCODE_192pcode_1924441(UnicodeString param1, UnicodeString param2, UInt32 __binLength, Binary param_bin1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4442	0	task_0PCODE_192pcode_1924442(UnicodeString param1, UInt32 __binLength, Binary param_bin1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4443	0	task_0PCODE_192pcode_1924443(UnicodeString param1, UInt32 __binLength, Binary param_bin1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4454	0	task_0PCODE_192pcode_1924454(UnicodeString param1, UnicodeString param2, UInt32 __binLength, Binary param_bin1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4455	0	task_0PCODE_192pcode_1924455(UnicodeString param1, UInt32 __binLength, Binary param_bin1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4456	0	task_0PCODE_192pcode_1924456(UnicodeString param1, UInt32 __binLength, Binary param_bin1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4457	0	task_0PCODE_192pcode_1924457(UnicodeString param1, UInt32 __binLength, Binary param_bin1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4458	0	task_0PCODE_192pcode_1924458(UnicodeString param1, UInt32 __binLength, Binary param_bin1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	4459	0	task_0PCODE_192pcode_1924459(UnicodeString param1, UInt32 __binLength, Binary param_bin1)	opcode_192		task_0	Always		
Microsoft-Windows-MSDTC Client	53284	0	task_0PCODE_64pcode_6453284(UnicodeString param1, UInt32 __binLength, Binary param_bin1)	opcode_64		task_0	Always		
Microsoft-Windows-MSDTC Client	53320	0	task_0PCODE_128pcode_12853320(UnicodeString param1, UInt32 __binLength, Binary param_bin1)	opcode_128		task_0	Always		
Microsoft-Windows-MSDTC Client	53322	0	task_0PCODE_128pcode_12853322(UnicodeString param1, UInt32 __binLength, Binary param_bin1)	opcode_128		task_0	Always		
