provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-MSMPEG2VDEC	0	0	H264_NotifyDecode(UInt32 IDRCount, Int32 POC, UInt8 PictureType)			H264_NotifyDecode	Informational		
Microsoft-Windows-MSMPEG2VDEC	1	0	H264_NotifySkip(UInt32 IDRCount, Int32 POC, UInt8 PictureType)			H264_NotifySkip	Informational		
Microsoft-Windows-MSMPEG2VDEC	2	0	H264_NotifyOutput(UInt32 IDRCount, Int32 POC)			H264_NotifyOutput	Informational		
Microsoft-Windows-MSMPEG2VDEC	3	0	H264_DecodeTaskStart(UInt8 TaskID, UInt32 IDRCount, Int32 POC)	Start		H264_DecodeTask	Verbose		
Microsoft-Windows-MSMPEG2VDEC	4	0	H264_DecodeTaskStop(UInt8 TaskID, UInt32 IDRCount, Int32 POC)	Stop		H264_DecodeTask	Verbose		
Microsoft-Windows-MSMPEG2VDEC	5	0	H264_EncryptInputStart()	Start		H264_EncryptInput	Verbose		
Microsoft-Windows-MSMPEG2VDEC	6	0	H264_EncryptInputStop()	Stop		H264_EncryptInput	Verbose		
Microsoft-Windows-MSMPEG2VDEC	7	0	H264_NotifyCorruptedInput()			H264_NotifyCorruptedInput	Verbose		
Microsoft-Windows-MSMPEG2VDEC	8	0	H264_SetQualityMode(UInt8 QualityMode)			H264_SetQualityMode	Verbose		
Microsoft-Windows-MSMPEG2VDEC	9	0	H264_FormatChange(UInt32 Width, UInt32 Height, UInt32 SARWidth, UInt32 SARHeight, UInt8 BitDepthLuma, UInt8 BitDepthChroma, UInt8 ChromaFormat)			H264_FormatChange	Informational		
Microsoft-Windows-MSMPEG2VDEC	10	0	MPEG2_NotifyDiscover(UInt8 PictureType)			MPEG2_NotifyDiscover	Informational		
Microsoft-Windows-MSMPEG2VDEC	11	0	MPEG2_NotifySkip(UInt8 PictureType)			MPEG2_NotifySkip	Informational		
Microsoft-Windows-MSMPEG2VDEC	12	0	MPEG2_DecodeTaskStart()	Start		MPEG2_DecodeTask	Verbose		
Microsoft-Windows-MSMPEG2VDEC	14	0	MPEG2_NotifyCorruptedInput()			MPEG2_NotifyCorruptedInput	Verbose		
Microsoft-Windows-MSMPEG2VDEC	15	0	DShow_PlaybackStart()	Start		DShow_Playback	Informational		
Microsoft-Windows-MSMPEG2VDEC	16	0	DShow_PlaybackStop()	Stop		DShow_Playback	Informational		
Microsoft-Windows-MSMPEG2VDEC	17	0	DShow_NotifyCodec(UInt8 CodecID)			DShow_NotifyCodec	Informational		
Microsoft-Windows-MSMPEG2VDEC	18	0	DShow_ReceiveStart()	Start		DShow_Receive	Verbose		
Microsoft-Windows-MSMPEG2VDEC	19	0	DShow_ReceiveStop()	Stop		DShow_Receive	Verbose		
Microsoft-Windows-MSMPEG2VDEC	20	0	DShow_DeliverStart()	Start		DShow_Deliver	Verbose		
Microsoft-Windows-MSMPEG2VDEC	21	0	DShow_DeliverStop()	Stop		DShow_Deliver	Verbose		
Microsoft-Windows-MSMPEG2VDEC	22	0	DShow_SetOutputAttribute(Int64 SampleTime, Int64 SampleDuration)			DShow_SetOutputAttribute	Verbose		
