provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-MUI	2000	0	MUINotifyUILanguageChangetaskInvokecallbackfunction(UInt32 Status)	Invokecallbackfunction		MUINotifyUILanguageChangetask	Error		
Microsoft-Windows-MUI	2001	0	MUINotifyUILanguageChangetaskInvokecallbackfunction2001(UnicodeString FileName)	Invokecallbackfunction		MUINotifyUILanguageChangetask	Error		
Microsoft-Windows-MUI	2002	0	MUINotifyUILanguageChangetaskInvokecallbackfunction2002(UnicodeString FileName, UInt32 Type, AnsiString FunctionName)	Invokecallbackfunction		MUINotifyUILanguageChangetask	Error		
Microsoft-Windows-MUI	2003	0	MUINotifyUILanguageChangetaskInvokecallbackfunction2003(UnicodeString FileName)	Invokecallbackfunction		MUINotifyUILanguageChangetask	Error		
Microsoft-Windows-MUI	2004	0	MUINotifyUILanguageChangetaskInvokecallbackfunction2004(UnicodeString FileName)	Invokecallbackfunction		MUINotifyUILanguageChangetask	Error		
Microsoft-Windows-MUI	2006	0	MUIresourcecachebuilderStart()	Start		MUIresourcecachebuilder	Error		
Microsoft-Windows-MUI	2007	0	MUIresourcecachebuilderStart2007()	Start		MUIresourcecachebuilder	Error		
Microsoft-Windows-MUI	2008	0	MUIresourcecachebuilderDisablelivecache()	Disablelivecache		MUIresourcecachebuilder	Error		
Microsoft-Windows-MUI	2009	0	MUIresourcecachebuilderStart2009()	Start		MUIresourcecachebuilder	Error		
Microsoft-Windows-MUI	2010	0	MUIresourcecachebuilderUpdateresourcecachemanifest()	Updateresourcecachemanifest		MUIresourcecachebuilder	Error		
Microsoft-Windows-MUI	2011	0	MUIresourcecachebuilderUpdateresourcecachemanifest2011()	Updateresourcecachemanifest		MUIresourcecachebuilder	Error		
Microsoft-Windows-MUI	2012	0	MUIresourcecachebuilderBuildresourcecache(UInt32 ErrorCode)	Buildresourcecache		MUIresourcecachebuilder	Error		
Microsoft-Windows-MUI	2013	0	MUIresourcecachebuilderBuildresourcecache2013()	Buildresourcecache		MUIresourcecachebuilder	Error		
Microsoft-Windows-MUI	2014	0	MUIresourcecachebuilderStart2014()	Start		MUIresourcecachebuilder	Error		
Microsoft-Windows-MUI	3000	0	MUINotifyUILanguageChangetaskStart(UInt32 Flags, UnicodeString NewLanguage, UnicodeString PrevLanguage, UInt32 ExtendedFlag)	Start		MUINotifyUILanguageChangetask	Informational		
Microsoft-Windows-MUI	3002	0	MUINotifyUILanguageChangetaskInvokecallbackfunction3002(UnicodeString FileName, AnsiString FunctionName, UInt32 ReturnValue)	Invokecallbackfunction		MUINotifyUILanguageChangetask	Informational		
Microsoft-Windows-MUI	3003	0	MUIresourcecachebuilderStart3003(UnicodeString Parameter)	Start		MUIresourcecachebuilder	Informational		
Microsoft-Windows-MUI	3004	0	MUIresourcecachebuilderUpdateresourcecachemanifest3004(UnicodeString FileName, UnicodeString Affinity, Int32 Sequence, Int32 Priority)	Updateresourcecachemanifest		MUIresourcecachebuilder	Informational		
Microsoft-Windows-MUI	3005	0	MUIresourcecachebuilderBuildresourcecache3005(UnicodeString Name)	Buildresourcecache		MUIresourcecachebuilder	Informational		
Microsoft-Windows-MUI	3006	0	MUIresourcecachebuilderBuildresourcecache3006(UnicodeString Name)	Buildresourcecache		MUIresourcecachebuilder	Informational		
Microsoft-Windows-MUI	3007	0	MUIresourcecachebuilderBuildresourcecache3007(UInt32 NewCacheIndex, UInt32 LiveCacheIndex, UInt32 Config)	Buildresourcecache		MUIresourcecachebuilder	Informational		
Microsoft-Windows-MUI	3008	0	MUIresourcecachebuilderStart_31_35(UnicodeString Name)	Start_31_35		MUIresourcecachebuilder	Informational		
Microsoft-Windows-MUI	3009	0	MUIresourcecachebuilderEnd(UnicodeString Name)	End		MUIresourcecachebuilder	Informational		
Microsoft-Windows-MUI	3010	0	MUIresourcecachebuilderStart_31_353010(UnicodeString Name)	Start_31_35		MUIresourcecachebuilder	Informational		
Microsoft-Windows-MUI	3011	0	MUIresourcecachebuilderEnd3011(UnicodeString Name)	End		MUIresourcecachebuilder	Informational		
Microsoft-Windows-MUI	3012	0	MUIresourcecachebuilderUpdateresourcecachemanifest3012(UnicodeString FileName)	Updateresourcecachemanifest		MUIresourcecachebuilder	Informational		
Microsoft-Windows-MUI	3013	0	MUIresourcecachebuilderStart3013()	Start		MUIresourcecachebuilder	Informational		
Microsoft-Windows-MUI	4000	0	MUIresourcecachebuilderBuildresourcecache4000()	Buildresourcecache		MUIresourcecachebuilder	Warning		
