provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Management-SecureAssessment	100	0	task_0(HexInt32 ErrorCode, AnsiString Function, UInt32 LineNumber)		SecureAssessment	task_0	Error		
Microsoft-Windows-Management-SecureAssessment	200	0	Lockdown(Boolean Enable, Boolean CurrentlyEnabled)		SecureAssessment	Lockdown	Informational		
Microsoft-Windows-Management-SecureAssessment	201	0	Lockdown201(Boolean NewContextCreated)		SecureAssessment	Lockdown	Informational		
Microsoft-Windows-Management-SecureAssessment	202	0	Lockdown202(UnicodeString EnrollmentID)		SecureAssessment	Lockdown	Informational		
Microsoft-Windows-Management-SecureAssessment	203	0	Lockdown203(HexInt32 ErrorCode)		SecureAssessment	Lockdown	Error		
Microsoft-Windows-Management-SecureAssessment	204	0	Lockdown204(UnicodeString EnrollmentID)		SecureAssessment	Lockdown	Informational		
Microsoft-Windows-Management-SecureAssessment	205	0	Lockdown205(UnicodeString EnrollmentID, UnicodeString CallerID)		SecureAssessment	Lockdown	Informational		
Microsoft-Windows-Management-SecureAssessment	206	0	Lockdown206(Boolean Enable)		SecureAssessment	Lockdown	Informational		
Microsoft-Windows-Management-SecureAssessment	207	0	Lockdown207()		SecureAssessment	Lockdown	Informational		
Microsoft-Windows-Management-SecureAssessment	208	0	Lockdown208(UnicodeString EnrollmentID)		SecureAssessment	Lockdown	Informational		
