provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Media-Protection-PlayReady-Performance	1	0	UpdateOutputDataBufferQueue(Pointer CMFTAsyncSimpleBase_ptr, UInt32 NewCount)			UpdateOutputDataBufferQueue	Verbose		
Microsoft-Windows-Media-Protection-PlayReady-Performance	2	0	MFTStateStoppedStart(Pointer CMFTAsyncSimpleBase_ptr)	Start		MFTStateStopped	Verbose		
Microsoft-Windows-Media-Protection-PlayReady-Performance	3	0	MFTStateStoppedStop(Pointer CMFTAsyncSimpleBase_ptr)	Stop		MFTStateStopped	Verbose		
Microsoft-Windows-Media-Protection-PlayReady-Performance	4	0	MFTStateFeedInputStart(Pointer CMFTAsyncSimpleBase_ptr)	Start		MFTStateFeedInput	Verbose		
Microsoft-Windows-Media-Protection-PlayReady-Performance	5	0	MFTStateFeedInputStop(Pointer CMFTAsyncSimpleBase_ptr)	Stop		MFTStateFeedInput	Verbose		
Microsoft-Windows-Media-Protection-PlayReady-Performance	6	0	MFTStateGetOutputStart(Pointer CMFTAsyncSimpleBase_ptr)	Start		MFTStateGetOutput	Verbose		
Microsoft-Windows-Media-Protection-PlayReady-Performance	7	0	MFTStateGetOutputStop(Pointer CMFTAsyncSimpleBase_ptr)	Stop		MFTStateGetOutput	Verbose		
Microsoft-Windows-Media-Protection-PlayReady-Performance	8	0	MFTStateShutdownStart(Pointer CMFTAsyncSimpleBase_ptr)	Start		MFTStateShutdown	Verbose		
Microsoft-Windows-Media-Protection-PlayReady-Performance	9	0	MFTStateShutdownStop(Pointer CMFTAsyncSimpleBase_ptr)	Stop		MFTStateShutdown	Verbose		
Microsoft-Windows-Media-Protection-PlayReady-Performance	10	0	MFTStateWaitingForStateChangeStart(Pointer CMFTAsyncSimpleBase_ptr)	Start		MFTStateWaitingForStateChange	Verbose		
Microsoft-Windows-Media-Protection-PlayReady-Performance	11	0	MFTStateWaitingForStateChangeStop(Pointer CMFTAsyncSimpleBase_ptr)	Stop		MFTStateWaitingForStateChange	Verbose		
