provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Mobile-Broadband-Experience-Api-Internal	1000	0	task_0(UnicodeString interfaceId, UInt32 error, Int32 hresult)			task_0	Error		
Microsoft-Windows-Mobile-Broadband-Experience-Api-Internal	1001	0	task_01001(UnicodeString propName, UnicodeString interfaceId, UInt32 error, Int32 hresult)			task_0	Error		
Microsoft-Windows-Mobile-Broadband-Experience-Api-Internal	1002	0	task_01002(UnicodeString interfaceId, UInt32 error, Int32 hresult)			task_0	Error		
Microsoft-Windows-Mobile-Broadband-Experience-Api-Internal	1003	0	task_01003(UnicodeString interfaceId, UnicodeString appUserModelId)			task_0	Informational		
Microsoft-Windows-Mobile-Broadband-Experience-Api-Internal	1004	0	task_01004(UnicodeString interfaceId, UnicodeString appPackageFamilyName)			task_0	Informational		
Microsoft-Windows-Mobile-Broadband-Experience-Api-Internal	1005	0	task_01005(UnicodeString appPackageFamilyName, UInt32 error, Int32 hresult)			task_0	Error		
Microsoft-Windows-Mobile-Broadband-Experience-Api-Internal	1006	0	task_01006(UInt32 error, Int32 hresult)			task_0	Error		
Microsoft-Windows-Mobile-Broadband-Experience-Api-Internal	1007	0	task_01007(UInt32 error, Int32 hresult)			task_0	Error		
Microsoft-Windows-Mobile-Broadband-Experience-Api-Internal	1008	0	task_01008(UnicodeString appUserModelId)			task_0	Informational		
Microsoft-Windows-Mobile-Broadband-Experience-Api-Internal	1009	0	task_01009(UnicodeString appUserModelId)			task_0	Informational		
Microsoft-Windows-Mobile-Broadband-Experience-Api-Internal	1010	0	task_01010()			task_0	Informational		
Microsoft-Windows-Mobile-Broadband-Experience-Api-Internal	9000	0	task_0Start()	Start		task_0	Informational		
Microsoft-Windows-Mobile-Broadband-Experience-Api-Internal	9001	0	task_0Stop()	Stop		task_0	Informational		
Microsoft-Windows-Mobile-Broadband-Experience-Api-Internal	9002	0	task_0Start9002()	Start		task_0	Informational		
Microsoft-Windows-Mobile-Broadband-Experience-Api-Internal	9003	0	task_0Stop9003()	Stop		task_0	Informational		
