provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Mobile-Broadband-Experience-SmsRouter	1	0	task_0()			task_0	Informational		
Microsoft-Windows-Mobile-Broadband-Experience-SmsRouter	2	0	task_02()			task_0	Informational		
Microsoft-Windows-Mobile-Broadband-Experience-SmsRouter	3	0	task_03()			task_0	Informational		
Microsoft-Windows-Mobile-Broadband-Experience-SmsRouter	4	0	task_04()			task_0	Informational		
Microsoft-Windows-Mobile-Broadband-Experience-SmsRouter	5	0	task_05()			task_0	Informational		
Microsoft-Windows-Mobile-Broadband-Experience-SmsRouter	6	0	task_06()			task_0	Informational		
Microsoft-Windows-Mobile-Broadband-Experience-SmsRouter	1020	0	ProcessNotificationStart()	Start		ProcessNotification	Informational		
Microsoft-Windows-Mobile-Broadband-Experience-SmsRouter	1021	0	ProcessNotificationStop()	Stop		ProcessNotification	Informational		
Microsoft-Windows-Mobile-Broadband-Experience-SmsRouter	1022	0	task_01022(UInt32 error, Int32 hresult)			task_0	Error		
Microsoft-Windows-Mobile-Broadband-Experience-SmsRouter	1023	0	task_01023(UInt32 error, Int32 hresult)			task_0	Error		
Microsoft-Windows-Mobile-Broadband-Experience-SmsRouter	1024	0	task_01024(UInt32 error, Int32 hresult)			task_0	Error		
Microsoft-Windows-Mobile-Broadband-Experience-SmsRouter	1025	0	task_01025(UInt32 error, Int32 hresult)			task_0	Error		
