provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-MosHost	1	0	MosHost(UnicodeString String1)		API	MosHost	Informational		
Microsoft-Windows-MosHost	2	0	MosHost2(UnicodeString String1, UnicodeString String2)		API	MosHost	Informational		
Microsoft-Windows-MosHost	3	0	MosHost3(UnicodeString Message, UInt32 ErrorCode)		API	MosHost	Error		
Microsoft-Windows-MosHost	10	0	MosHost10(UInt32 HRESULT, UInt32 State)		API	MosHost	Informational		
Microsoft-Windows-MosHost	20	0	MosHost20()		API	MosHost	Informational		
Microsoft-Windows-MosHost	21	0	MosHost21()		API	MosHost	Informational		
Microsoft-Windows-MosHost	30	0	MosHost30()		API	MosHost	Informational		
Microsoft-Windows-MosHost	31	0	MosHost31()		API	MosHost	Informational		
Microsoft-Windows-MosHost	50	0	MosHost50()		API	MosHost	Informational		
Microsoft-Windows-MosHost	70	0	MosHost70()		API	MosHost	Informational		
Microsoft-Windows-MosHost	80	0	MosHost80()		API	MosHost	Informational		
Microsoft-Windows-MosHost	90	0	MosHost90()		API	MosHost	Informational		
Microsoft-Windows-MosHost	100	0	MosHost100()		API	MosHost	Informational		
Microsoft-Windows-MosHost	101	0	MosHost101(UInt32 Dword1, UInt32 Dword2)		API	MosHost	Informational		
Microsoft-Windows-MosHost	110	0	MosHost110()		API	MosHost	Informational		
Microsoft-Windows-MosHost	111	0	MosHost111(UInt32 Dword1, UInt32 Dword2)		API	MosHost	Informational		
Microsoft-Windows-MosHost	120	0	MosHost120()		API	MosHost	Informational		
Microsoft-Windows-MosHost	121	0	MosHost121(UInt32 Dword1, UInt32 Dword2)		API	MosHost	Informational		
Microsoft-Windows-MosHost	130	0	MosHost130()		API	MosHost	Informational		
Microsoft-Windows-MosHost	131	0	MosHost131(UnicodeString String1, UnicodeString String2)		API	MosHost	Informational		
Microsoft-Windows-MosHost	150	0	MosHost150()		API	MosHost	Informational		
Microsoft-Windows-MosHost	151	0	MosHost151()		API	MosHost	Informational		
Microsoft-Windows-MosHost	152	0	MosHost152(UInt32 Dword1)		API	MosHost	Informational		
Microsoft-Windows-MosHost	153	0	MosHost153(UInt32 Dword1)		API	MosHost	Informational		
Microsoft-Windows-MosHost	1000	0	Odml()		API	Odml	Informational		
Microsoft-Windows-MosHost	1001	0	Odml1001()		API	Odml	Informational		
Microsoft-Windows-MosHost	1010	0	OdmlStart()	Start	API Performance	Odml	Informational		
Microsoft-Windows-MosHost	1011	0	OdmlStop()	Stop	API Performance	Odml	Informational		
