provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Mprddm	0	0	None(UnicodeString debugString)			None	Informational		
Microsoft-Windows-Mprddm	1	0	None1(Pointer connectionID, UnicodeString userName, UnicodeString remoteIPv4Address, UnicodeString remoteIPv6Address, UnicodeString ispAddress, UInt32 deviceType, UnicodeString tunnelType, UnicodeString portName, UInt32 authenticationProtocol, UInt32 authenticationData, UInt32 eapTypeId, UInt32 embeddedEapTypeId, UInt32 quarantineState, FILETIME connectionStartTime, UInt32 isS2SConnection, GUID routingDomainId)			None	Always		
Microsoft-Windows-Mprddm	2	0	None2(Pointer connectionID, UnicodeString userName, UnicodeString remoteIPv4Address, UnicodeString remoteIPv6Address, UnicodeString ispAddress, UnicodeString portName, UInt64 bytesIn, UInt64 bytesOut, FILETIME disconnectTime, UInt32 isS2SConnection)			None	Always		
Microsoft-Windows-Mprddm	1001	0	None1001()			None	Informational		
Microsoft-Windows-Mprddm	1002	0	None1002()			None	Informational		
Microsoft-Windows-Mprddm	1003	0	None1003()			None	Informational		
Microsoft-Windows-Mprddm	1004	0	None1004()			None	Informational		
Microsoft-Windows-Mprddm	1005	0	None1005()			None	Informational		
Microsoft-Windows-Mprddm	1006	0	None1006()			None	Informational		
Microsoft-Windows-Mprddm	1007	0	None1007()			None	Informational		
Microsoft-Windows-Mprddm	1008	0	None1008()			None	Informational		
Microsoft-Windows-Mprddm	1009	0	None1009()			None	Informational		
Microsoft-Windows-Mprddm	1010	0	None1010()			None	Informational		
