provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-NDF-HelperClassDiscovery	1001	0	LoadHelperClass(UnicodeString HelperClassName, UnicodeString ComponentName)			LoadHelperClass	Error		
Microsoft-Windows-NDF-HelperClassDiscovery	1002	0	LoadHelperClass1002(UnicodeString HelperClassName, UnicodeString ComponentName)			LoadHelperClass	Error		
Microsoft-Windows-NDF-HelperClassDiscovery	1003	0	LoadHelperClass1003(UnicodeString HelperClassName)			LoadHelperClass	Error		
Microsoft-Windows-NDF-HelperClassDiscovery	1004	0	LoadHelperClass1004(UnicodeString HelperClassName)			LoadHelperClass	Error		
Microsoft-Windows-NDF-HelperClassDiscovery	1005	0	LoadHelperClass1005(UnicodeString HelperClassName)			LoadHelperClass	Error		
Microsoft-Windows-NDF-HelperClassDiscovery	1006	0	LoadHelperClass1006(UnicodeString HelperClassName)			LoadHelperClass	Warning		
Microsoft-Windows-NDF-HelperClassDiscovery	1007	0	LoadHelperClass1007(UnicodeString HelperClassName)			LoadHelperClass	Warning		
Microsoft-Windows-NDF-HelperClassDiscovery	1008	0	LoadHelperClass1008(UnicodeString HelperClassName, UnicodeString ComponentName)			LoadHelperClass	Warning		
Microsoft-Windows-NDF-HelperClassDiscovery	1009	0	LoadHelperClass1009(UInt32 ErrorCode, UInt32 Location, UnicodeString Name)			LoadHelperClass	Error		
Microsoft-Windows-NDF-HelperClassDiscovery	1010	0	LoadHelperClass1010(UInt32 ErrorCode, UInt32 Location, UnicodeString Name)			LoadHelperClass	Error		
Microsoft-Windows-NDF-HelperClassDiscovery	1011	0	LoadHelperClass1011(UInt32 ErrorCode, UInt32 Location, UnicodeString Name)			LoadHelperClass	Error		
Microsoft-Windows-NDF-HelperClassDiscovery	1012	0	LoadHelperClass1012(UInt32 ErrorCode, UInt32 Location, UnicodeString Name)			LoadHelperClass	Error		
Microsoft-Windows-NDF-HelperClassDiscovery	1100	0	Registry(UInt32 ErrorCode, UInt32 Location, UnicodeString Name, UnicodeString KeyOrValue)			Registry	Error		
Microsoft-Windows-NDF-HelperClassDiscovery	1101	0	Registry1101(UInt32 ErrorCode, UInt32 Location, UnicodeString Name, UnicodeString KeyOrValue)			Registry	Warning		
