provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Narrator	1	0	LaunchAppStart()	Start	PerfInstrumentation	LaunchApp	Informational		
Microsoft-Windows-Narrator	2	0	LaunchAppStop()	Stop	PerfInstrumentation	LaunchApp	Informational		
Microsoft-Windows-Narrator	3	0	ScrapeWindowStart()	Start	PerfInstrumentation	ScrapeWindow	Informational		
Microsoft-Windows-Narrator	4	0	ScrapeWindowStop()	Stop	PerfInstrumentation	ScrapeWindow	Informational		
Microsoft-Windows-Narrator	5	0	InitiateSpeakingStart(Int32 Channel, UnicodeString SpokenText)	Start	PerfInstrumentation	InitiateSpeaking	Informational		
Microsoft-Windows-Narrator	6	0	InitiateSpeakingStop(Int32 Channel, UnicodeString SpokenText)	Stop	PerfInstrumentation	InitiateSpeaking	Informational		
Microsoft-Windows-Narrator	7	0	CancelSpeaking(UnicodeString CancelledMessage)		PerfInstrumentation	CancelSpeaking	Informational		
Microsoft-Windows-Narrator	9	0	ModeChange(Int32 NewMode)		PerfInstrumentation	ModeChange	Informational		
Microsoft-Windows-Narrator	11	0	NarratorCommandGeneratedStart(Int32 Command)	Start	PerfInstrumentation	NarratorCommandGenerated	Informational		
Microsoft-Windows-Narrator	12	0	NarratorCommandGeneratedStop(Int32 Command)	Stop	PerfInstrumentation	NarratorCommandGenerated	Informational		
Microsoft-Windows-Narrator	15	0	NarratorCursorUpdated(UnicodeString AutomationContext)		PerfInstrumentation	NarratorCursorUpdated	Informational		
Microsoft-Windows-Narrator	17	0	InvestigationCursorUpdated(UnicodeString AutomationContext)		PerfInstrumentation	InvestigationCursorUpdated	Informational		
Microsoft-Windows-Narrator	19	0	NarratorCheckSAPIVoicesStart()	Start	PerfInstrumentation	NarratorCheckSAPIVoices	Informational		
Microsoft-Windows-Narrator	20	0	NarratorCheckSAPIVoicesStop()	Stop	PerfInstrumentation	NarratorCheckSAPIVoices	Informational		
Microsoft-Windows-Narrator	21	0	KeyEchoGenerateEvent(UnicodeString SpokenText)		PerfInstrumentation	KeyEchoGenerateEvent	Informational		
Microsoft-Windows-Narrator	23	0	LaunchSearchAndSelectStart()	Start	PerfInstrumentation	LaunchSearchAndSelect	Informational		
Microsoft-Windows-Narrator	24	0	LaunchSearchAndSelectStop()	Stop	PerfInstrumentation	LaunchSearchAndSelect	Informational		
Microsoft-Windows-Narrator	25	0	QueueAppEvent(Int32 Priority, UnicodeString EventClass, Int32 Parameter)		PerfInstrumentation	QueueAppEvent	Informational		
Microsoft-Windows-Narrator	27	0	AppClose()		PerfInstrumentation	AppClose	Informational		
Microsoft-Windows-Narrator	29	0	SetProgressBarHandlerStart()	Start	PerfInstrumentation	SetProgressBarHandler	Informational		
Microsoft-Windows-Narrator	30	0	SetProgressBarHandlerStop()	Stop	PerfInstrumentation	SetProgressBarHandler	Informational		
Microsoft-Windows-Narrator	31	0	TouchModeSwitch(Int32 IsWindowActive)		PerfInstrumentation	TouchModeSwitch	Informational		
Microsoft-Windows-Narrator	33	0	ConsoleUpdated()		PerfInstrumentation	ConsoleUpdated	Informational		
Microsoft-Windows-Narrator	35	0	OSKToggled(Int32 CurrentOSKState)		PerfInstrumentation	OSKToggled	Informational		
Microsoft-Windows-Narrator	37	0	ScreenRotated(Int32 CurrentOrientation)		PerfInstrumentation	ScreenRotated	Informational		
Microsoft-Windows-Narrator	39	0	TaskbarIsFlashing()		PerfInstrumentation	TaskbarIsFlashing	Informational		
Microsoft-Windows-Narrator	41	0	ExplorerStateChange(Int32 CurrentState)		PerfInstrumentation	ExplorerStateChange	Informational		
Microsoft-Windows-Narrator	43	0	ProcessFocusChangeStart()	Start	PerfInstrumentation	ProcessFocusChange	Informational		
Microsoft-Windows-Narrator	44	0	ProcessFocusChangeStop(Int32 EventCancelled, Int32 EventId)	Stop	PerfInstrumentation	ProcessFocusChange	Informational		
Microsoft-Windows-Narrator	45	0	ToggleSelectionMode(Int32 SeletionModeEnabled)		PerfInstrumentation	ToggleSelectionMode	Informational		
Microsoft-Windows-Narrator	47	0	ProcessNarratorCommandStart(Int32 Command)	Start	PerfInstrumentation	ProcessNarratorCommand	Informational		
Microsoft-Windows-Narrator	48	0	ProcessNarratorCommandStop(Int32 Command)	Stop	PerfInstrumentation	ProcessNarratorCommand	Informational		
Microsoft-Windows-Narrator	49	0	SAPISpeechComplete()		PerfInstrumentation	SAPISpeechComplete	Informational		
Microsoft-Windows-Narrator	50	0	NarratorPlaySound(Int32 SoundResourceId)		PerfInstrumentation	NarratorPlaySound	Informational		
Microsoft-Windows-Narrator	51	0	EventQueued(UnicodeString EventType, Int32 EventId, Int32 Priority)		PerfInstrumentation	EventQueued	Informational		
