provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-NdisImPlatformEventProvider	1	0	task_0(UInt32 NetPnpEvent, UnicodeString Member)			task_0	Informational		
Microsoft-Windows-NdisImPlatformEventProvider	2	0	task_02(UnicodeString Adapter, UInt32 PowerState)			task_0	Informational		
Microsoft-Windows-NdisImPlatformEventProvider	3	0	task_03(UnicodeString Adapter, UInt32 StatusBufferLength, Binary StatusBuffer)			task_0	Informational		
Microsoft-Windows-NdisImPlatformEventProvider	4	0	task_04(UnicodeString Adapter, UInt32 StatusBufferLength, Binary StatusBuffer)			task_0	Informational		
Microsoft-Windows-NdisImPlatformEventProvider	5	0	task_05(UInt32 Oid, UnicodeString Adapter, UInt32 OidBufferLen, Binary OidBuffer, Int32 Status)			task_0	Warning		
Microsoft-Windows-NdisImPlatformEventProvider	6	0	task_06(UInt32 Oid, UnicodeString TeamNic, UnicodeString Member, Int32 Status)			task_0	Warning		
Microsoft-Windows-NdisImPlatformEventProvider	7	0	task_07(UInt32 Oid, UnicodeString Adapter, UInt32 OidBufferLen, Binary OidBuffer, Int32 Status)			task_0	Warning		
Microsoft-Windows-NdisImPlatformEventProvider	8	0	task_08(UnicodeString Adapter, Int32 Status)			task_0	Error		
Microsoft-Windows-NdisImPlatformEventProvider	9	0	task_09(UnicodeString Adapter, Int32 Status)			task_0	Error		
Microsoft-Windows-NdisImPlatformEventProvider	10	0	task_010(UnicodeString TeamNic, UInt32 PacketFilter)			task_0	Informational		
Microsoft-Windows-NdisImPlatformEventProvider	11	0	task_011(UnicodeString TeamNic, UnicodeString Member, UInt32 PacketFilter)			task_0	Informational		
Microsoft-Windows-NdisImPlatformEventProvider	12	0	task_012(UnicodeString Adapter, Int32 Status)			task_0	Error		
Microsoft-Windows-NdisImPlatformEventProvider	13	0	task_013(UnicodeString Member, UnicodeString TeamNic, Int32 Status)			task_0	Error		
Microsoft-Windows-NdisImPlatformEventProvider	14	0	task_014(UnicodeString Member, UnicodeString TeamNic, Int32 Status)			task_0	Error		
Microsoft-Windows-NdisImPlatformEventProvider	15	0	task_015(UInt32 Oid, UnicodeString Adapter, UInt32 OidBufferLen, Binary OidBuffer, Int32 Status)			task_0	Error		
Microsoft-Windows-NdisImPlatformEventProvider	16	0	task_016(UnicodeString Adapter, Int32 Status)			task_0	Error		
Microsoft-Windows-NdisImPlatformEventProvider	17	0	task_017(UnicodeString Adapter)		keyword_10000000000 keyword_40000000000	task_0	Warning		
Microsoft-Windows-NdisImPlatformEventProvider	18	0	task_018()		keyword_10000000000 keyword_40000000000	task_0	Warning		
Microsoft-Windows-NdisImPlatformEventProvider	19	0	task_019(UnicodeString Adapter)		keyword_10000000000 keyword_40000000000	task_0	Warning		
Microsoft-Windows-NdisImPlatformEventProvider	20	0	task_020(UnicodeString Adapter)		keyword_10000000000 keyword_40000000000	task_0	Warning		
Microsoft-Windows-NdisImPlatformEventProvider	21	0	task_021(UnicodeString Adapter)		keyword_10000000000 keyword_40000000000	task_0	Warning		
Microsoft-Windows-NdisImPlatformEventProvider	22	0	task_022(UnicodeString Adapter)		keyword_10000000000 keyword_40000000000	task_0	Warning		
Microsoft-Windows-NdisImPlatformEventProvider	23	0	task_023(UnicodeString TeamNic, UnicodeString Member)		keyword_10000000000 keyword_40000000000	task_0	Warning		
Microsoft-Windows-NdisImPlatformEventProvider	24	0	task_024(UnicodeString Adapter)			task_0	Informational		
Microsoft-Windows-NdisImPlatformEventProvider	25	0	task_025(UnicodeString Adapter)			task_0	Informational		
Microsoft-Windows-NdisImPlatformEventProvider	26	0	task_026(UnicodeString Adapter, Int32 Status)			task_0	Error		
Microsoft-Windows-NdisImPlatformEventProvider	27	0	task_027(UnicodeString TeamNic, UnicodeString Member)			task_0	Informational		
Microsoft-Windows-NdisImPlatformEventProvider	28	0	task_028(UnicodeString TeamNic, UnicodeString Member, Int32 Status)			task_0	Error		
Microsoft-Windows-NdisImPlatformEventProvider	29	0	task_029(UnicodeString TeamNic, UnicodeString Member)			task_0	Informational		
Microsoft-Windows-NdisImPlatformEventProvider	30	0	task_030(UnicodeString TeamNic, UnicodeString Member, Int32 Status)			task_0	Error		
Microsoft-Windows-NdisImPlatformEventProvider	31	0	task_031(UnicodeString Team, Int32 Status)			task_0	Informational		
Microsoft-Windows-NdisImPlatformEventProvider	32	0	task_032(UnicodeString Team, Int32 Status)			task_0	Error		
Microsoft-Windows-NdisImPlatformEventProvider	33	0	task_033(UnicodeString Team, Int32 Status)			task_0	Informational		
Microsoft-Windows-NdisImPlatformEventProvider	34	0	task_034(UnicodeString Team, UnicodeString Member, Int32 Status)			task_0	Informational		
Microsoft-Windows-NdisImPlatformEventProvider	35	0	task_035(UnicodeString Team, UnicodeString Member, Int32 Status)			task_0	Informational		
Microsoft-Windows-NdisImPlatformEventProvider	36	0	task_036(UnicodeString Team, UnicodeString TeamNic, Int32 Status)			task_0	Informational		
Microsoft-Windows-NdisImPlatformEventProvider	37	0	task_037(UnicodeString Team, UnicodeString TeamNic, Int32 Status)			task_0	Informational		
Microsoft-Windows-NdisImPlatformEventProvider	38	0	task_038(UnicodeString Team, UnicodeString TeamNic, Int32 Status)			task_0	Informational		
Microsoft-Windows-NdisImPlatformEventProvider	39	0	task_039(UnicodeString Team, UnicodeString TeamNic, Int32 Status)			task_0	Error		
Microsoft-Windows-NdisImPlatformEventProvider	40	0	task_040(UnicodeString Adapter)			task_0	Informational		
Microsoft-Windows-NdisImPlatformEventProvider	41	0	task_041(UnicodeString TeamNic, UInt32 BufferLen, Binary Buffer)			task_0	Informational		
Microsoft-Windows-NdisImPlatformEventProvider	42	0	task_042(UnicodeString TeamNic, UInt32 BufferLen, Binary Buffer)			task_0	Informational		
Microsoft-Windows-NdisImPlatformEventProvider	43	0	task_043(UnicodeString Adapter, UInt32 StatusBufferLength, Binary StatusBuffer)			task_0	Informational		
Microsoft-Windows-NdisImPlatformEventProvider	44	0	task_044(UnicodeString TeamNic, UInt32 OldValue, UInt32 NewValue)			task_0	Informational		
Microsoft-Windows-NdisImPlatformEventProvider	45	0	task_045(UnicodeString TeamNic, UInt32 OldValue, UInt32 NewValue)			task_0	Informational		
Microsoft-Windows-NdisImPlatformEventProvider	46	0	task_046(UnicodeString Adapter)			task_0	Informational		
Microsoft-Windows-NdisImPlatformEventProvider	47	0	task_047(UnicodeString Adapter, Int32 Status)			task_0	Error		
Microsoft-Windows-NdisImPlatformEventProvider	48	0	task_048(UnicodeString Adapter)			task_0	Informational		
