provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Network-Connection-Broker	1001	0	task_0(UnicodeString StatusDescription, UInt32 Status)			task_0	Informational		
Microsoft-Windows-Network-Connection-Broker	1002	0	task_01002(UnicodeString StatusDescription, UInt32 RefCount, AnsiString FileName, UInt32 LineNumber)			task_0	Verbose		
Microsoft-Windows-Network-Connection-Broker	1003	0	task_01003(UnicodeString StatusDescription, UInt32 RefCount, AnsiString FileName, UInt32 LineNumber)			task_0	Verbose		
Microsoft-Windows-Network-Connection-Broker	1101	0	task_01101(Pointer Object, UInt32 Status)			task_0	Informational		
Microsoft-Windows-Network-Connection-Broker	1102	0	task_01102(Pointer Object, UInt32 Status)			task_0	Informational		
Microsoft-Windows-Network-Connection-Broker	1103	0	task_01103(Pointer Object, UInt32 Status)			task_0	Informational		
Microsoft-Windows-Network-Connection-Broker	1104	0	task_01104(Pointer ContextHandle, Pointer Provider, UInt64 ServiceNlmEpoch, Pointer ServiceNlmSignature, UInt64 ClientNlmEpoch, UInt32 Value, Int32 ValueType, Boolean ScheduleUpdate, UInt32 Status)			task_0	Informational		
Microsoft-Windows-Network-Connection-Broker	1105	0	task_01105(UInt64 NlmEpochBefore, Pointer NlmSignatureBefore, Boolean NlmSignatureStableBefore, UInt64 NlmEpochAfter, Pointer NlmSignatureAfter, Boolean NlmSignatureStableAfter, UInt32 Value, Int32 ValueType, Boolean ScheduleUpdate)			task_0	Informational		
Microsoft-Windows-Network-Connection-Broker	1106	0	task_01106(Pointer Provider, Pointer RequestHolder)			task_0	Informational		
Microsoft-Windows-Network-Connection-Broker	1107	0	task_01107(Pointer ContextHandle, Pointer Provider, Pointer RequestHolder, Boolean UpdateRequested, Boolean CompleteCall, UInt32 Status)			task_0	Informational		
Microsoft-Windows-Network-Connection-Broker	1108	0	task_01108(Pointer Provider, Pointer RequestHolder, UInt32 Value, Int32 ValueType, UInt64 NlmEpoch, UInt32 Status)			task_0	Informational		
Microsoft-Windows-Network-Connection-Broker	1109	0	task_01109(Pointer Provider, UInt32 RefCount, AnsiString FileName, UInt32 LineNumber)			task_0	Informational		
Microsoft-Windows-Network-Connection-Broker	1110	0	task_01110(Pointer Provider, UInt32 RefCount, AnsiString FileName, UInt32 LineNumber)			task_0	Informational		
Microsoft-Windows-Network-Connection-Broker	1111	0	task_01111(Pointer Provider, UInt32 RefCount, AnsiString FileName, UInt32 LineNumber)			task_0	Informational		
Microsoft-Windows-Network-Connection-Broker	1112	0	task_01112(Pointer Provider, UInt32 RefCount, AnsiString FileName, UInt32 LineNumber)			task_0	Informational		
Microsoft-Windows-Network-Connection-Broker	1113	0	task_01113(UnicodeString Description, UInt32 Appprovidedtime, UInt32 Currentkeepalivetime, UInt32 Loweredkeepalivetime, UInt32 WNStestinputtime)		Aoac	task_0	Informational		
Microsoft-Windows-Network-Connection-Broker	1114	0	task_01114(UnicodeString LogMessage)			task_0	Informational		
Microsoft-Windows-Network-Connection-Broker	1115	0	task_01115(UnicodeString StatusDescription, UInt32 RefCount, AnsiString FileName, UInt32 LineNumber)			task_0	Verbose		
Microsoft-Windows-Network-Connection-Broker	1116	0	task_01116(UnicodeString StatusDescription, UInt32 RefCount, AnsiString FileName, UInt32 LineNumber)			task_0	Verbose		
Microsoft-Windows-Network-Connection-Broker	1117	0	task_01117(UnicodeString PackageName, Boolean Fired)			task_0	Informational		
Microsoft-Windows-Network-Connection-Broker	2001	0	task_02001(GUID EventId, UnicodeString AppName)			task_0	Informational		
Microsoft-Windows-Network-Connection-Broker	2002	0	task_02002(GUID EventId, UnicodeString AppName)			task_0	Informational		
Microsoft-Windows-Network-Connection-Broker	2003	0	task_02003(GUID EventId, UnicodeString SocketId, UnicodeString AppName, Int32 AddressFamily, Int32 SocketType, Int32 Protocol, Boolean IsTcpListener)			task_0	Informational		
Microsoft-Windows-Network-Connection-Broker	2004	0	task_02004(GUID EventId, UnicodeString SocketId, UnicodeString AppName)			task_0	Informational		
Microsoft-Windows-Network-Connection-Broker	2005	0	task_02005(GUID BrokerEventId, UnicodeString AppName)			task_0	Informational		
Microsoft-Windows-Network-Connection-Broker	2006	0	task_02006(GUID BrokerEventId, UnicodeString AppName, Int32 CallReason)			task_0	Informational		
Microsoft-Windows-Network-Connection-Broker	2007	0	task_02007(GUID BrokerEventId, UnicodeString AppName, Int32 CallReason)			task_0	Informational		
Microsoft-Windows-Network-Connection-Broker	2008	0	task_02008(GUID BrokerEventId, UnicodeString AppName, Int32 CallReason)			task_0	Informational		
Microsoft-Windows-Network-Connection-Broker	2009	0	task_02009(GUID BrokerEventId, UnicodeString SocketId, Int32 SocketType, Int32 TriggerReason, Int32 Status)			task_0	Informational		
Microsoft-Windows-Network-Connection-Broker	2010	0	task_02010(GUID BrokerEventId, Int32 Status)			task_0	Informational		
Microsoft-Windows-Network-Connection-Broker	2011	0	task_02011(GUID BrokerEventId, UnicodeString SocketId, Int32 Status)			task_0	Informational		
Microsoft-Windows-Network-Connection-Broker	2012	0	task_02012(UnicodeString AppName, Int32 Status, Int32 NumSockets)			task_0	Informational		
