provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-NlaSvc	4001	0	WaitforIdentificationStart(GUID InterfaceGuid, UInt8 CurrentOrNextState)	Start	Identification keyword_200000000000	WaitforIdentification	Informational		
Microsoft-Windows-NlaSvc	4002	0	WaitforIdentificationStop(GUID InterfaceGuid, UInt8 CurrentOrNextState)	Stop	Identification keyword_200000000000	WaitforIdentification	Informational		
Microsoft-Windows-NlaSvc	4101	0	TriggerMediaConnect(GUID InterfaceGuid, UnicodeString AdapterName)	MediaConnect	Trigger LwtDiagnostic	Trigger	Informational		
Microsoft-Windows-NlaSvc	4102	0	TriggerMediaDisconnect(GUID InterfaceGuid, UnicodeString AdapterName)	MediaDisconnect	Trigger LwtDiagnostic	Trigger	Informational		
Microsoft-Windows-NlaSvc	4103	0	TriggerRouteChange(GUID InterfaceGuid, UInt32 MibNotificationType)	RouteChange	Trigger	Trigger	Informational		
Microsoft-Windows-NlaSvc	4104	0	TriggerAddressChange(GUID InterfaceGuid, UInt32 MibNotificationType)	AddressChange	Trigger	Trigger	Informational		
Microsoft-Windows-NlaSvc	4105	0	TriggerQuarantineStateChange()	QuarantineStateChange	Trigger	Trigger	Informational		
Microsoft-Windows-NlaSvc	4106	0	TriggerDhcpNotification()	DhcpNotification	Trigger	Trigger	Informational		
Microsoft-Windows-NlaSvc	4201	0	GatewayResolutionStart()	Start	Resolver	GatewayResolution	Informational		
Microsoft-Windows-NlaSvc	4202	0	GatewayResolutionStop()	Stop	Resolver	GatewayResolution	Informational		
Microsoft-Windows-NlaSvc	4203	0	GatewayResolutionStart4203(GUID InterfaceGuid, UnicodeString GatewayIpAddress)	Start	Resolver	GatewayResolution	Informational		
Microsoft-Windows-NlaSvc	4204	0	GatewayResolutionStop4204(GUID InterfaceGuid, UnicodeString GatewayIpAddress, UInt32 ErrorCode, UInt32 NlnsState, UInt16 MacAddrLen, Binary MacAddr)	Stop	Resolver	GatewayResolution	Informational		
Microsoft-Windows-NlaSvc	4205	0	GatewayResolutionFailed(GUID InterfaceGuid, UnicodeString GatewayIpAddress, UInt32 ErrorCode)	Failed	Resolver LwtDiagnostic	GatewayResolution	Error		
Microsoft-Windows-NlaSvc	4251	0	PluginDataIndication(UnicodeString PluginName, UnicodeString EntityName, UInt16 IndicatedRowCount, UInt16 RowsWithInterfacesIndicatedCount, GUID RowInterfaceGuid)	DataIndication	Plugin	Plugin	Informational		
Microsoft-Windows-NlaSvc	4261	0	DhcpStabilized(GUID InterfaceGuid, UInt32 NlaState)	Stabilized	Trigger LwtDiagnostic	Dhcp	Informational		
Microsoft-Windows-NlaSvc	4301	0	IntranetResolutionStart()	Start	Resolver Intranet	IntranetResolution	Informational		
Microsoft-Windows-NlaSvc	4302	0	IntranetResolutionStop()	Stop	Resolver Intranet	IntranetResolution	Informational		
Microsoft-Windows-NlaSvc	4311	0	DsGetDcName(DnsSuffix)Start(UnicodeString DnsSuffix, UInt32 Flags, UInt32 ErrorCode, UnicodeString RetrievedDomain, UnicodeString RetrievedForest)	Start	Resolver Intranet	DsGetDcName(DnsSuffix)	Informational		
Microsoft-Windows-NlaSvc	4312	0	DsGetDcName(DnsSuffix)Stop(UnicodeString DnsSuffix, UInt32 Flags, UInt32 ErrorCode, UnicodeString RetrievedDomain, UnicodeString RetrievedForest)	Stop	Resolver Intranet	DsGetDcName(DnsSuffix)	Informational		
Microsoft-Windows-NlaSvc	4313	0	DsGetDcName(DnsSuffix)Failed(UnicodeString DnsSuffix, UInt32 Flags, UInt32 ErrorCode, UnicodeString RetrievedDomain, UnicodeString RetrievedForest)	Failed	Resolver Intranet LwtDiagnostic	DsGetDcName(DnsSuffix)	Warning		
Microsoft-Windows-NlaSvc	4321	0	DsGetDcName(Ds)Start(UnicodeString DnsSuffix, UInt32 Flags, UInt32 ErrorCode, UnicodeString RetrievedDomain, UnicodeString RetrievedForest)	Start	Resolver Intranet	DsGetDcName(Ds)	Informational		
Microsoft-Windows-NlaSvc	4322	0	DsGetDcName(Ds)Stop(UnicodeString DnsSuffix, UInt32 Flags, UInt32 ErrorCode, UnicodeString RetrievedDomain, UnicodeString RetrievedForest)	Stop	Resolver Intranet	DsGetDcName(Ds)	Informational		
Microsoft-Windows-NlaSvc	4323	0	DsGetDcName(Ds)Failed(UnicodeString DnsSuffix, UInt32 Flags, UInt32 ErrorCode, UnicodeString RetrievedDomain, UnicodeString RetrievedForest)	Failed	Resolver Intranet LwtDiagnostic	DsGetDcName(Ds)	Warning		
Microsoft-Windows-NlaSvc	4331	0	DsGetDcName(RootDomainGuid)Start(UnicodeString DnsSuffix, UInt32 Flags, UInt32 ErrorCode, UnicodeString RetrievedDomain, UnicodeString RetrievedForest)	Start	Resolver Intranet	DsGetDcName(RootDomainGuid)	Informational		
