provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Ntfs	1	0	RundownStart()	Start	Rundown	Rundown	Informational		
Microsoft-Windows-Ntfs	2	0	RundownStop()	Stop	Rundown	Rundown	Informational		
Microsoft-Windows-Ntfs	3	0	Rundown(Pointer Vcb, UInt16 DeviceNameLength, UnicodeString DeviceName)		Rundown	Rundown	Informational		
Microsoft-Windows-Ntfs	4	0	VolumeMount(Pointer Vcb, UInt16 DeviceNameLength, UnicodeString DeviceName, GUID VolumeGuid, UInt16 VolumeNameLength, UnicodeString VolumeName, UInt16 VolumeLabelLength, UnicodeString VolumeLabel)		VolumeMountDismount	VolumeMount	Informational		
Microsoft-Windows-Ntfs	98	0	task_0(UnicodeString DriveName, UnicodeString DeviceName, UInt32 CorruptionActionState)		VolumeCorruptionActionStateChange	task_0	Informational		
Microsoft-Windows-Ntfs	100	0	task_0100(UInt32 hc_stateid)		GlobalCorruptionActionStateChange	task_0	Informational		
Microsoft-Windows-Ntfs	139	0	task_0139(UnicodeString DriveName, UnicodeString DeviceName, UInt16 FragmentationLevel)		SdsCompaction	task_0	Warning		
Microsoft-Windows-Ntfs	140	0	task_0140(UnicodeString VolumeId, UnicodeString DeviceName, HexInt32 Error)		LogFlushFailed	task_0	Informational		
Microsoft-Windows-Ntfs	141	0	task_0141(GUID VolumeGuid, UInt32 VolumeNameLength, UnicodeString VolumeName, UInt32 ProcessNameLength, UnicodeString ProcessName, Boolean IsBootVolume, UInt64 FreeSpaceInBytes, UInt64 TotalReservedSpaceInBytes, UInt64 TotalAbortReservationSpaceInBytes, UInt64 RequestedSpaceInBytes, UInt64 PageFileSize)		Statistics	task_0	Warning		
Microsoft-Windows-Ntfs	142	0	task_0142(GUID VolumeGuid, UInt32 VolumeNameLength, UnicodeString VolumeName, UInt64 LowestFreeSpaceInBytes, UInt64 HighestFreeSpaceInBytes, Boolean IsBootVolume)		Statistics	task_0	Informational		
Microsoft-Windows-Ntfs	143	0	task_0143(Pointer Vcb, UInt16 DeviceNameLength, UnicodeString DeviceName, GUID VolumeGuid, UInt16 VolumeNameLength, UnicodeString VolumeName, UInt16 VolumeLabelLength, UnicodeString VolumeLabel)		VolumeMountDismount	task_0	Warning		
Microsoft-Windows-Ntfs	144	0	task_0144(Pointer Vcb, UInt16 DeviceNameLength, UnicodeString DeviceName, GUID VolumeGuid, UInt16 VolumeNameLength, UnicodeString VolumeName)		VolumeMountDismount	task_0	Warning		
Microsoft-Windows-Ntfs	145	2	task_0145_V2(GUID VolumeCorrelationId, UInt32 VolumeNameLength, UnicodeString VolumeName, Boolean IsBootVolume, UInt64 MaxLatencyMs, Int64 ReadWriteLatencyBucket1, Int64 ReadWriteLatencyBucket2, Int64 ReadWriteLatencyBucket3, Int64 ReadWriteLatencyBucket4, Int64 ReadWriteLatencyBucket5, Int64 ReadWriteLatencyBucket6, Int64 ReadWriteLatencyBucket7, Int64 TrimLatencyBucket1, Int64 TrimLatencyBucket2, Int64 TrimLatencyBucket3, Int64 TrimLatencyBucket4, Int64 TrimLatencyBucket5, Int64 TrimLatencyBucket6, Int64 TrimLatencyBucket7, Int64 FlushLatencyBucket1, Int64 FlushLatencyBucket2, Int64 FlushLatencyBucket3, Int64 FlushLatencyBucket4, Int64 FlushLatencyBucket5, Int64 FlushLatencyBucket6, Int64 FlushLatencyBucket7)		Statistics	task_0	Informational		
