provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-NvmeDisk	200	1	Class_V1(GUID DeviceGUID, UInt32 DeviceNumber, AnsiString Model, AnsiString FirmwareVersion, AnsiString SerialNumber, UInt64 RequestDuration_100ns, Pointer Irp, UnicodeString CommandType, UInt32 CommandTag, HexInt32 NTStatus, HexInt32 Command, HexInt32 CDW10, HexInt32 CDW11, HexInt32 CDW12, HexInt32 CDW13, HexInt32 CDW14, HexInt32 CDW15)		IO_Performance	Class	Informational		
Microsoft-Windows-NvmeDisk	201	1	ClassDispatchingofrequest._V1(GUID DeviceGUID, UInt32 DeviceNumber, AnsiString Model, AnsiString FirmwareVersion, AnsiString SerialNumber, Pointer Irp, UInt8 Command, UInt64 LengthOfTransfer, HexInt64 LBA)	Dispatchingofrequest.	Read	Class	Informational		
Microsoft-Windows-NvmeDisk	202	1	ClassDispatchingofrequest.202_V1(GUID DeviceGUID, UInt32 DeviceNumber, AnsiString Model, AnsiString FirmwareVersion, AnsiString SerialNumber, Pointer Irp, UInt8 Command, UInt64 LengthOfTransfer, HexInt64 LBA)	Dispatchingofrequest.	Write	Class	Informational		
Microsoft-Windows-NvmeDisk	203	1	ClassDispatchingofrequest.203_V1(GUID DeviceGUID, UInt32 DeviceNumber, AnsiString Model, AnsiString FirmwareVersion, AnsiString SerialNumber, Pointer Irp, UInt8 Command, UInt64 LengthOfTransfer, HexInt64 LBA)	Dispatchingofrequest.	Read PagingRead	Class	Informational		
Microsoft-Windows-NvmeDisk	204	1	ClassDispatchingofrequest.204_V1(GUID DeviceGUID, UInt32 DeviceNumber, AnsiString Model, AnsiString FirmwareVersion, AnsiString SerialNumber, Pointer Irp, UInt8 Command, UInt64 LengthOfTransfer, HexInt64 LBA)	Dispatchingofrequest.	Write PagingWrite	Class	Informational		
Microsoft-Windows-NvmeDisk	205	1	ClassCompletionofrequest._V1(GUID DeviceGUID, UInt32 DeviceNumber, AnsiString Model, AnsiString FirmwareVersion, AnsiString SerialNumber, Pointer Irp, HexInt32 NTStatus, UInt32 CommandTag, HexInt32 OPC, UInt32 CID, UInt32 SQID, UInt32 DW0, HexInt32 SCT, HexInt32 SC, UInt8 DNR)	Completionofrequest.	Read Write PagingRead PagingWrite	Class	Informational		
Microsoft-Windows-NvmeDisk	206	1	ClassRetryhandling._V1(GUID DeviceGUID, UInt32 DeviceNumber, AnsiString Model, AnsiString FirmwareVersion, AnsiString SerialNumber, Pointer Irp, UInt32 CurrentRetryCount, UInt8 SCT, UInt8 SC)	Retryhandling.	Read Write PagingRead PagingWrite	Class	Informational		
Microsoft-Windows-NvmeDisk	207	1	ClassDispatchingofrequest.207_V1(GUID DeviceGUID, UInt32 DeviceNumber, AnsiString Model, AnsiString FirmwareVersion, AnsiString SerialNumber, Pointer Irp, HexInt32 MajorFunction, HexInt32 MinorFunction, HexInt32 Parameter)	Dispatchingofrequest.	IOCTL	Class	Informational		
Microsoft-Windows-NvmeDisk	208	1	ClassCompletionofrequest.208_V1(GUID DeviceGUID, UInt32 DeviceNumber, AnsiString Model, AnsiString FirmwareVersion, AnsiString SerialNumber, Pointer Irp, HexInt32 Status)	Completionofrequest.	IOCTL	Class	Informational		
Microsoft-Windows-NvmeDisk	209	1	ClassDispatchingofrequest.209_V1(GUID DeviceGUID, UInt32 DeviceNumber, AnsiString Model, AnsiString FirmwareVersion, AnsiString SerialNumber, Pointer Irp, HexInt32 MinorFunction, HexInt32 Type, Pointer DeviceObject)	Dispatchingofrequest.	PnP	Class	Informational		
Microsoft-Windows-NvmeDisk	210	1	ClassCompletionofrequest.210_V1(GUID DeviceGUID, UInt32 DeviceNumber, AnsiString Model, AnsiString FirmwareVersion, AnsiString SerialNumber, Pointer Irp, HexInt32 Status)	Completionofrequest.	PnP	Class	Informational		
Microsoft-Windows-NvmeDisk	211	1	ClassCompletionofrequest.211_V1(GUID DeviceGUID, UInt32 DeviceNumber, AnsiString Model, AnsiString FirmwareVersion, AnsiString SerialNumber, Pointer Irp, UInt32 NumberOfChildren, HexInt32 Status)	Completionofrequest.	PnP Enum	Class	Informational		
Microsoft-Windows-NvmeDisk	212	1	ClassDispatchingofrequest.212_V1(GUID DeviceGUID, UInt32 DeviceNumber, AnsiString Model, AnsiString FirmwareVersion, AnsiString SerialNumber, Pointer Irp, HexInt32 MajorFunction, HexInt32 MinorFunction, HexInt32 Parameter)	Dispatchingofrequest.	PassThrough IOCTL	Class	Informational		
Microsoft-Windows-NvmeDisk	213	1	ClassDispatchingofrequest.213_V1(GUID DeviceGUID, UInt32 DeviceNumber, AnsiString Model, AnsiString FirmwareVersion, AnsiString SerialNumber, Pointer Irp, UInt32 CommandTag, HexInt32 OPC, UInt32 CID, UInt32 NSID, HexInt64 PRP1, HexInt64 PRP2, HexInt32 CDW10, HexInt32 CDW11, HexInt32 CDW12, HexInt32 CDW13, HexInt32 CDW14, HexInt32 CDW15)	Dispatchingofrequest.	NVMCommand	Class	Informational		
Microsoft-Windows-NvmeDisk	214	1	ClassCompletionofrequest.214_V1(GUID DeviceGUID, UInt32 DeviceNumber, AnsiString Model, AnsiString FirmwareVersion, AnsiString SerialNumber, Pointer Irp, HexInt32 NTStatus, UInt32 CommandTag, HexInt32 OPC, UInt32 CID, UInt32 SQID, UInt32 DW0, HexInt32 SCT, HexInt32 SC, UInt8 DNR)	Completionofrequest.	NVMCommand	Class	Informational		
Microsoft-Windows-NvmeDisk	500	1	ClassCompletionofrequest.500_V1(GUID DeviceGUID, UInt32 DeviceNumber, AnsiString Model, AnsiString FirmwareVersion, AnsiString SerialNumber, Pointer Irp, HexInt32 NTStatus, UInt32 CommandTag, HexInt32 OPC, UInt32 CID, UInt32 SQID, UInt32 DW0, HexInt32 SCT, HexInt32 SC, UInt8 DNR)	Completionofrequest.	NVMCommand	Class	Error		
