provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-OOBE-FirstLogonAnim	5004	0	StartResult()		FirstLogonAnim	StartResult	Informational		
Microsoft-Windows-OOBE-FirstLogonAnim	5005	0	EndAnimationRequest(Boolean fZDP)		FirstLogonAnim	EndAnimationRequest	Informational		
Microsoft-Windows-OOBE-FirstLogonAnim	5041	0	AnimationStart(Boolean fOOBE, Boolean fExistingUser, Boolean fZDP, Boolean fExplorer)	Start	FirstLogonAnim keyword_200000000000	Animation	Informational		
Microsoft-Windows-OOBE-FirstLogonAnim	5042	0	AnimationStop()	Stop	FirstLogonAnim keyword_200000000000	Animation	Informational		
Microsoft-Windows-OOBE-FirstLogonAnim	5043	0	NavigationStart()	Start	FirstLogonAnim	Navigation	Informational		
Microsoft-Windows-OOBE-FirstLogonAnim	5044	0	NavigationStop()	Stop	FirstLogonAnim	Navigation	Informational		
Microsoft-Windows-OOBE-FirstLogonAnim	5045	0	WebPlatformCreateStart()	Start	FirstLogonAnim	WebPlatformCreate	Informational		
Microsoft-Windows-OOBE-FirstLogonAnim	5046	0	WebPlatformCreateStop()	Stop	FirstLogonAnim	WebPlatformCreate	Informational		
Microsoft-Windows-OOBE-FirstLogonAnim	5047	0	IntroAnimationRequest(Boolean fExistingUser, Boolean fPostZDP)		FirstLogonAnim	IntroAnimationRequest	Informational		
Microsoft-Windows-OOBE-FirstLogonAnim	5048	0	ShowAnimationRequest(Boolean fExistingUserOrPostZDP, Boolean fZDP, Boolean fTouchDevice, Boolean fMouseDevice)		FirstLogonAnim	ShowAnimationRequest	Informational		
