provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-OOBE-Machine-DUI	5100	0	OOBE_DisplayUIStart()	Start	msoobe	OOBE_DisplayUI	Informational		
Microsoft-Windows-OOBE-Machine-DUI	5105	0	OOBE_DisplayUIStop()	Stop	msoobe	OOBE_DisplayUI	Informational		
Microsoft-Windows-OOBE-Machine-DUI	5106	0	WizardPage_OnSetActive(UnicodeString PluginName)		msoobe	WizardPage_OnSetActive	Informational		
Microsoft-Windows-OOBE-Machine-DUI	5107	0	WizardPage_OnKillActive(UnicodeString PluginName)		msoobe	WizardPage_OnKillActive	Informational		
Microsoft-Windows-OOBE-Machine-DUI	5108	0	WizardPage_OnNext(UnicodeString PluginName)		msoobe	WizardPage_OnNext	Informational		
Microsoft-Windows-OOBE-Machine-DUI	5112	0	WirelessPageVisibilityResult(UInt32 DWORD)		msoobe	WirelessPageVisibilityResult	Informational		
Microsoft-Windows-OOBE-Machine-DUI	5113	0	CComputerNameWizardPage_AccentColorSelection(UInt32 DWORD)		msoobe	CComputerNameWizardPage_AccentColorSelection	Informational		
Microsoft-Windows-OOBE-Machine-DUI	5114	0	CLocalizationWizardPage_LanguageSelection(UInt32 DWORD)		msoobe	CLocalizationWizardPage_LanguageSelection	Informational		
Microsoft-Windows-OOBE-Machine-DUI	5115	0	CConnectedUserWizardPage_InternetInitialize()		msoobe	CConnectedUserWizardPage_InternetInitialize	Informational		
Microsoft-Windows-OOBE-Machine-DUI	5116	0	CConnectedUserWizardPage_InternetInitialize5116(Boolean val)		msoobe	CConnectedUserWizardPage_InternetInitialize	Informational		
Microsoft-Windows-OOBE-Machine-DUI	5117	0	WebWizardHost_PopupCommandPressed(UInt32 DWORD)		msoobe	WebWizardHost_PopupCommandPressed	Informational		
Microsoft-Windows-OOBE-Machine-DUI	5118	0	WebWizardHost_FinalBack()		msoobe	WebWizardHost_FinalBack	Informational		
Microsoft-Windows-OOBE-Machine-DUI	5119	0	WebWizardHost_FinalNext()		msoobe	WebWizardHost_FinalNext	Informational		
Microsoft-Windows-OOBE-Machine-DUI	5120	0	SettingWizardPage_UpdatesOptionSelected(UInt32 DWORD)		msoobe	SettingWizardPage_UpdatesOptionSelected	Informational		
Microsoft-Windows-OOBE-Machine-DUI	5121	0	SettingWizardPage_BooleanSettingOptionSelected(UInt32 DWORD, Boolean Bool)		msoobe	SettingWizardPage_BooleanSettingOptionSelected	Informational		
Microsoft-Windows-OOBE-Machine-DUI	5122	0	WirelessWizardPage_SectionReady(UnicodeString Text)		msoobe	WirelessWizardPage_SectionReady	Informational		
Microsoft-Windows-OOBE-Machine-DUI	5123	0	WizardPage_OnPageShown(UnicodeString Text)		msoobe	WizardPage_OnPageShown	Informational		
Microsoft-Windows-OOBE-Machine-DUI	5124	0	WizardPage_OnBack(UnicodeString PluginName)		msoobe	WizardPage_OnBack	Informational		
Microsoft-Windows-OOBE-Machine-DUI	5125	0	WizardPage_OnSkip(UnicodeString PluginName)		msoobe	WizardPage_OnSkip	Informational		
Microsoft-Windows-OOBE-Machine-DUI	5126	0	EULAWizardPage_LoadEulas()		msoobe	EULAWizardPage_LoadEulas	Informational		
Microsoft-Windows-OOBE-Machine-DUI	5127	0	EULAWizardPage_LoadEulas5127()		msoobe	EULAWizardPage_LoadEulas	Informational		
Microsoft-Windows-OOBE-Machine-DUI	5128	0	RtfReader_LoadFile(UnicodeString Text)		msoobe	RtfReader_LoadFile	Informational		
Microsoft-Windows-OOBE-Machine-DUI	5129	0	RtfReader_LoadFile5129(UnicodeString Text)		msoobe	RtfReader_LoadFile	Informational		
Microsoft-Windows-OOBE-Machine-DUI	5130	0	RtfReader_ChangeColor()		msoobe	RtfReader_ChangeColor	Informational		
Microsoft-Windows-OOBE-Machine-DUI	5131	0	RtfReader_ChangeColor5131()		msoobe	RtfReader_ChangeColor	Informational		
Microsoft-Windows-OOBE-Machine-DUI	5132	0	TimezoneModule_PopulateTimezonesStart()	Start	msoobe	TimezoneModule_PopulateTimezones	Informational		
Microsoft-Windows-OOBE-Machine-DUI	5133	0	TimezoneModule_PopulateTimezonesStop()	Stop	msoobe	TimezoneModule_PopulateTimezones	Informational		
Microsoft-Windows-OOBE-Machine-DUI	5134	0	RegionModule_ActivateStart()	Start	msoobe	RegionModule_Activate	Informational		
Microsoft-Windows-OOBE-Machine-DUI	5135	0	RegionModule_ActivateStop()	Stop	msoobe	RegionModule_Activate	Informational		
Microsoft-Windows-OOBE-Machine-DUI	5136	0	CLocalizationWizardPage_LanguageSelectionStart()	Start	msoobe	CLocalizationWizardPage_LanguageSelection	Informational		
Microsoft-Windows-OOBE-Machine-DUI	5137	0	CLocalizationWizardPage_LanguageSelectionStop()	Stop	msoobe	CLocalizationWizardPage_LanguageSelection	Informational		
Microsoft-Windows-OOBE-Machine-DUI	5138	0	RtfReader_SetFontSizeStart()	Start	msoobe	RtfReader_SetFontSize	Informational		
Microsoft-Windows-OOBE-Machine-DUI	5139	0	RtfReader_SetFontSizeStop()	Stop	msoobe	RtfReader_SetFontSize	Informational		
Microsoft-Windows-OOBE-Machine-DUI	5500	0	EULAWizardPage_OEMEulaShown()		msoobe	EULAWizardPage_OEMEulaShown	Informational		
