provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-PCI	1	0	Log(HexInt64 Category, HexInt32 Rid, UInt8 Secondary, UInt64 PreciseTime, UInt64 Qpc, UnicodeString Message)		PciDiag	Log	Informational		
Microsoft-Windows-PCI	2	0	Log2(HexInt64 Category, HexInt32 Rid, UInt8 Secondary, UInt64 PreciseTime, UInt64 Qpc, UnicodeString Message)		PciDiag	Log	Warning		
Microsoft-Windows-PCI	3	0	Log3(HexInt64 Category, HexInt32 Rid, UInt8 Secondary, UInt64 PreciseTime, UInt64 Qpc, UnicodeString Message)		PciDiag	Log	Error		
Microsoft-Windows-PCI	4	0	Log4(HexInt64 Category, HexInt32 Rid, UInt64 PreciseTime, UInt64 Qpc, HexInt32 MessageType, UnicodeString Message, UInt16 PrevLinkSpeed, UInt16 CurLinkSpeed, UInt16 PrevLinkWidth, UInt16 CurLinkWidth)		PciDiag	Log	Informational		
Microsoft-Windows-PCI	5	0	Log5(HexInt64 Category, HexInt32 Rid, UInt64 PreciseTime, UInt64 Qpc, HexInt32 MessageType, UnicodeString Message, UInt16 PrevLinkSpeed, UInt16 CurLinkSpeed, UInt16 PrevLinkWidth, UInt16 CurLinkWidth)		PciDiag	Log	Informational		
Microsoft-Windows-PCI	10	0	AspmErrataRundown()		PciDiag	AspmErrataRundown	Informational		
Microsoft-Windows-PCI	11	0	Log11(UInt32 Segment, UInt8 Bus, UInt8 Device, UInt8 Function, UInt8 SecondaryBus, UInt32 Slot, UInt16 VendorId, UInt16 DeviceId, UInt8 RevId, UInt16 SubVendorId, UInt16 SubDeviceId, UInt32 ExtensionType, UnicodeString ExtensionTypeStr, UInt64 PreciseTime, UInt64 Qpc, HexInt32 Category, UnicodeString Message)		PciDiag	Log	Informational		
Microsoft-Windows-PCI	12	0	Log12(UInt32 Segment, UInt8 Bus, UInt8 Device, UInt8 Function, UInt8 SecondaryBus, UInt32 Slot, UInt16 VendorId, UInt16 DeviceId, UInt8 RevId, UInt16 SubVendorId, UInt16 SubDeviceId, UInt32 ExtensionType, UnicodeString ExtensionTypeStr, UInt64 PreciseTime, UInt64 Qpc, HexInt32 Category, UnicodeString Message)		PciDiag	Log	Warning		
Microsoft-Windows-PCI	13	0	Log13(UInt32 Segment, UInt8 Bus, UInt8 Device, UInt8 Function, UInt8 SecondaryBus, UInt32 Slot, UInt16 VendorId, UInt16 DeviceId, UInt8 RevId, UInt16 SubVendorId, UInt16 SubDeviceId, UInt32 ExtensionType, UnicodeString ExtensionTypeStr, UInt64 PreciseTime, UInt64 Qpc, HexInt32 Category, UnicodeString Message)		PciDiag	Log	Error		
Microsoft-Windows-PCI	14	0	Log14(UInt32 Segment, UInt8 Bus, UInt8 Device, UInt8 Function, UInt8 SecondaryBus, UInt32 Slot, UInt16 VendorId, UInt16 DeviceId, UInt8 RevId, UInt16 SubVendorId, UInt16 SubDeviceId, UInt32 ExtensionType, UnicodeString ExtensionTypeStr, UInt64 PreciseTime, UInt64 Qpc, HexInt32 Category, UnicodeString Message)		PciDiag	Log	Informational		
Microsoft-Windows-PCI	15	0	Log15(UInt32 Segment, UInt8 Bus, UInt8 Device, UInt8 Function, UInt8 SecondaryBus, UInt32 Slot, UInt16 VendorId, UInt16 DeviceId, UInt8 RevId, UInt16 SubVendorId, UInt16 SubDeviceId, UInt32 ExtensionType, UnicodeString ExtensionTypeStr, UInt64 PreciseTime, UInt64 Qpc, HexInt32 Category, UnicodeString Message)		PciDiag	Log	Warning		
Microsoft-Windows-PCI	16	0	Log16(UInt32 Segment, UInt8 Bus, UInt8 Device, UInt8 Function, UInt8 SecondaryBus, UInt32 Slot, UInt16 VendorId, UInt16 DeviceId, UInt8 RevId, UInt16 SubVendorId, UInt16 SubDeviceId, UInt32 ExtensionType, UnicodeString ExtensionTypeStr, UInt64 PreciseTime, UInt64 Qpc, HexInt32 Category, UnicodeString Message)		PciDiag	Log	Error		
Microsoft-Windows-PCI	17	0	Log17(UInt32 Segment, UInt8 Bus, UInt8 Device, UInt8 Function, UInt8 SecondaryBus, UInt32 Slot, UInt16 VendorId, UInt16 DeviceId, UInt8 RevId, UInt16 SubVendorId, UInt16 SubDeviceId, UInt32 ExtensionType, UnicodeString ExtensionTypeStr, UInt64 PreciseTime, UInt64 Qpc, HexInt32 Category, UnicodeString Message)		PciDiag	Log	Informational		
Microsoft-Windows-PCI	18	0	Log18(UInt32 Segment, UInt8 Bus, UInt8 Device, UInt8 Function, UInt8 SecondaryBus, UInt32 Slot, UInt16 VendorId, UInt16 DeviceId, UInt8 RevId, UInt16 SubVendorId, UInt16 SubDeviceId, UInt32 ExtensionType, UnicodeString ExtensionTypeStr, UInt64 PreciseTime, UInt64 Qpc, HexInt32 Category, UnicodeString Message)		PciDiag	Log	Warning		
Microsoft-Windows-PCI	19	0	Log19(UInt32 Segment, UInt8 Bus, UInt8 Device, UInt8 Function, UInt8 SecondaryBus, UInt32 Slot, UInt16 VendorId, UInt16 DeviceId, UInt8 RevId, UInt16 SubVendorId, UInt16 SubDeviceId, UInt32 ExtensionType, UnicodeString ExtensionTypeStr, UInt64 PreciseTime, UInt64 Qpc, HexInt32 Category, UnicodeString Message)		PciDiag	Log	Error		
Microsoft-Windows-PCI	20	0	Log20(UInt64 PreciseTime, UInt64 Qpc, HexInt32 Category, UnicodeString Message)		PciDiag	Log	Informational		
Microsoft-Windows-PCI	21	0	Log21(UInt64 PreciseTime, UInt64 Qpc, HexInt32 Category, UnicodeString Message)		PciDiag	Log	Warning		
Microsoft-Windows-PCI	22	0	Log22(UInt64 PreciseTime, UInt64 Qpc, HexInt32 Category, UnicodeString Message)		PciDiag	Log	Error		
Microsoft-Windows-PCI	23	0	Log23(UInt32 Segment, UInt8 Bus, UInt8 Device, UInt8 Function, UInt8 SecondaryBus, UInt32 Slot, UInt16 VendorId, UInt16 DeviceId, UInt8 RevId, UInt16 SubVendorId, UInt16 SubDeviceId, UInt32 ExtensionType, UnicodeString ExtensionTypeStr, UInt64 PreciseTime, UInt64 Qpc, HexInt32 Category, UnicodeString Message)		PciDiag	Log	Error		
Microsoft-Windows-PCI	24	0	Log24(UInt32 Segment, UInt8 Bus, UInt8 Device, UInt8 Function, UInt8 SecondaryBus, UInt32 Slot, UInt16 VendorId, UInt16 DeviceId, UInt8 RevId, UInt16 SubVendorId, UInt16 SubDeviceId, UInt32 ExtensionType, UnicodeString ExtensionTypeStr, UInt64 PreciseTime, UInt64 Qpc, HexInt32 Category, UnicodeString Message)		PciDiag	Log	Error		
Microsoft-Windows-PCI	25	0	Log25(UInt32 Segment, UInt8 Bus, UInt8 Device, UInt8 Function, UInt8 SecondaryBus, UInt32 Slot, UInt16 VendorId, UInt16 DeviceId, UInt8 RevId, UInt16 SubVendorId, UInt16 SubDeviceId, UInt32 ExtensionType, UnicodeString ExtensionTypeStr, UInt64 PreciseTime, UInt64 Qpc, HexInt32 Category, UnicodeString Message)		PciDiag	Log	Error		
Microsoft-Windows-PCI	26	0	Log26(UInt64 PreciseTime, UInt64 Qpc, HexInt32 Category, UnicodeString Message)		PciDiag	Log	Error		
Microsoft-Windows-PCI	30	0	Log30(UInt32 Segment, UInt8 Bus, UInt8 Device, UInt8 Function, UInt8 SecondaryBus, UInt32 Slot, UInt16 VendorId, UInt16 DeviceId, UInt8 RevId, UInt16 SubVendorId, UInt16 SubDeviceId, UInt32 ExtensionType, UnicodeString ExtensionTypeStr, UInt64 PreciseTime, UInt64 Qpc, HexInt32 Category, HexInt32 MessageType, UnicodeString Message, UInt16 PrevLinkSpeed, UInt16 CurLinkSpeed, UInt16 PrevLinkWidth, UInt16 CurLinkWidth)		PciDiag	Log	Informational		
