provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-PCRPF	257	0	task_0(UnicodeString TransformName, UInt32 TransformTimeline)			task_0	Informational		
Microsoft-Windows-PCRPF	258	0	task_0258(UnicodeString TransformName, UInt32 TransformTimeline)			task_0	Informational		
Microsoft-Windows-PCRPF	259	0	task_0259(UnicodeString TransformName, UInt32 TransformTimeline, Int32 ErrorCode)			task_0	Error		
Microsoft-Windows-PCRPF	260	0	task_0260(UnicodeString TransformName)			task_0	Informational		
Microsoft-Windows-PCRPF	261	0	task_0261(UnicodeString TransformName, UInt32 TransformTimeline)			task_0	Informational		
Microsoft-Windows-PCRPF	262	0	task_0262(UnicodeString TransformName, UInt32 TransformTimeline, Int32 ErrorCode)			task_0	Error		
Microsoft-Windows-PCRPF	263	0	task_0263(UnicodeString SubscriberName, UInt32 SubscriberNotificationScenario)			task_0	Informational		
Microsoft-Windows-PCRPF	264	0	task_0264(UnicodeString SubscriberName, UInt32 SubscriberNotificationScenario, Int32 ErrorCode)			task_0	Error		
Microsoft-Windows-PCRPF	265	0	task_0265(UInt32 NumberOfPredictions, UnicodeString TransformList, UInt32 PcrBitmap, UInt64 USN, UInt32 CurrentBootMatchingPcrsBitmap)			task_0	Informational		
Microsoft-Windows-PCRPF	266	0	task_0266(UnicodeString DeviceDesc, UnicodeString DeviceInstanceId, UnicodeString FirmwareResourceId, UnicodeString MeasurementsFilename)			task_0	Informational		
Microsoft-Windows-PCRPF	267	0	task_0267(UInt32 FirmwarePcrChangeMask, UnicodeString DeviceDesc, UnicodeString DeviceInstanceId, UnicodeString FirmwareResourceId)			task_0	Informational		
Microsoft-Windows-PCRPF	268	0	task_0268()			task_0	Informational		
Microsoft-Windows-PCRPF	269	0	task_0269(UnicodeString ActivityName, Int32 ErrorCode)			task_0	Error		
Microsoft-Windows-PCRPF	270	0	task_0270(Int32 ErrorCode)			task_0	Error		
Microsoft-Windows-PCRPF	271	0	task_0271(UnicodeString TransformName, UInt32 TransformTimeline)			task_0	Informational		
Microsoft-Windows-PCRPF	272	0	task_0272(UInt64 USN)			task_0	Informational		
Microsoft-Windows-PCRPF	273	0	task_0273(UInt64 USN)			task_0	Informational		
