provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-PDH	0	0	task_0()			task_0	Always		
Microsoft-Windows-PDH	1	0	task_01()			task_0	Always		
Microsoft-Windows-PDH	2000	0	task_0PCODE_128pcode_128()	opcode_128		task_0	Always		
Microsoft-Windows-PDH	2001	0	task_0PCODE_128pcode_1282001()	opcode_128		task_0	Always		
Microsoft-Windows-PDH	2002	0	task_0PCODE_128pcode_1282002()	opcode_128		task_0	Always		
Microsoft-Windows-PDH	2003	0	task_0PCODE_128pcode_1282003()	opcode_128		task_0	Always		
Microsoft-Windows-PDH	2004	0	task_0PCODE_128pcode_1282004()	opcode_128		task_0	Always		
Microsoft-Windows-PDH	2005	0	task_0PCODE_128pcode_1282005()	opcode_128		task_0	Always		
Microsoft-Windows-PDH	2006	0	task_0PCODE_128pcode_1282006()	opcode_128		task_0	Always		
Microsoft-Windows-PDH	2007	0	task_0PCODE_128pcode_1282007()	opcode_128		task_0	Always		
Microsoft-Windows-PDH	2008	0	task_0PCODE_128pcode_1282008()	opcode_128		task_0	Always		
Microsoft-Windows-PDH	2009	0	task_0PCODE_128pcode_1282009()	opcode_128		task_0	Always		
Microsoft-Windows-PDH	2010	0	task_0PCODE_128pcode_1282010()	opcode_128		task_0	Always		
Microsoft-Windows-PDH	2011	0	task_0PCODE_128pcode_1282011()	opcode_128		task_0	Always		
Microsoft-Windows-PDH	2012	0	task_0PCODE_128pcode_1282012()	opcode_128		task_0	Always		
Microsoft-Windows-PDH	3000	0	task_0PCODE_192pcode_192()	opcode_192		task_0	Always		
Microsoft-Windows-PDH	3001	0	task_0PCODE_192pcode_1923001()	opcode_192		task_0	Always		
Microsoft-Windows-PDH	3002	0	task_0PCODE_192pcode_1923002()	opcode_192		task_0	Always		
Microsoft-Windows-PDH	3003	0	task_0PCODE_192pcode_1923003()	opcode_192		task_0	Always		
Microsoft-Windows-PDH	3004	0	task_0PCODE_192pcode_1923004()	opcode_192		task_0	Always		
Microsoft-Windows-PDH	3005	0	task_0PCODE_192pcode_1923005()	opcode_192		task_0	Always		
Microsoft-Windows-PDH	3006	0	task_0PCODE_192pcode_1923006()	opcode_192		task_0	Always		
Microsoft-Windows-PDH	3007	0	task_0PCODE_192pcode_1923007()	opcode_192		task_0	Always		
Microsoft-Windows-PDH	3008	0	task_0PCODE_192pcode_1923008()	opcode_192		task_0	Always		
Microsoft-Windows-PDH	3009	0	task_0PCODE_192pcode_1923009()	opcode_192		task_0	Always		
Microsoft-Windows-PDH	3010	0	task_0PCODE_192pcode_1923010()	opcode_192		task_0	Always		
Microsoft-Windows-PDH	3011	0	task_0PCODE_192pcode_1923011()	opcode_192		task_0	Always		
Microsoft-Windows-PDH	3012	0	task_0PCODE_192pcode_1923012()	opcode_192		task_0	Always		
Microsoft-Windows-PDH	3013	0	task_0PCODE_192pcode_1923013()	opcode_192		task_0	Always		
Microsoft-Windows-PDH	3014	0	task_0PCODE_192pcode_1923014()	opcode_192		task_0	Always		
Microsoft-Windows-PDH	3015	0	task_0PCODE_192pcode_1923015()	opcode_192		task_0	Always		
Microsoft-Windows-PDH	3016	0	task_0PCODE_192pcode_1923016()	opcode_192		task_0	Always		
Microsoft-Windows-PDH	3017	0	task_0PCODE_192pcode_1923017()	opcode_192		task_0	Always		
Microsoft-Windows-PDH	3018	0	task_0PCODE_192pcode_1923018()	opcode_192		task_0	Always		
Microsoft-Windows-PDH	3019	0	task_0PCODE_192pcode_1923019()	opcode_192		task_0	Always		
Microsoft-Windows-PDH	3020	0	task_0PCODE_192pcode_1923020()	opcode_192		task_0	Always		
Microsoft-Windows-PDH	3021	0	task_0PCODE_192pcode_1923021()	opcode_192		task_0	Always		
Microsoft-Windows-PDH	3022	0	task_0PCODE_192pcode_1923022()	opcode_192		task_0	Always		
Microsoft-Windows-PDH	3023	0	task_0PCODE_192pcode_1923023()	opcode_192		task_0	Always		
Microsoft-Windows-PDH	3024	0	task_0PCODE_192pcode_1923024()	opcode_192		task_0	Always		
Microsoft-Windows-PDH	3025	0	task_0PCODE_192pcode_1923025()	opcode_192		task_0	Always		
Microsoft-Windows-PDH	3026	0	task_0PCODE_192pcode_1923026()	opcode_192		task_0	Always		
Microsoft-Windows-PDH	3027	0	task_0PCODE_192pcode_1923027()	opcode_192		task_0	Always		
Microsoft-Windows-PDH	3028	0	task_0PCODE_192pcode_1923028()	opcode_192		task_0	Always		
Microsoft-Windows-PDH	3029	0	task_0PCODE_128pcode_1283029()	opcode_128		task_0	Always		
Microsoft-Windows-PDH	3030	0	task_0PCODE_192pcode_1923030()	opcode_192		task_0	Always		
Microsoft-Windows-PDH	3031	0	task_0PCODE_192pcode_1923031()	opcode_192		task_0	Always		
Microsoft-Windows-PDH	3032	0	task_0PCODE_192pcode_1923032()	opcode_192		task_0	Always		
Microsoft-Windows-PDH	3033	0	task_0PCODE_192pcode_1923033()	opcode_192		task_0	Always		
