provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Perflib	1000	0	task_0PCODE_192pcode_192(UnicodeString param1, UnicodeString param2)	opcode_192		task_0	Always		
Microsoft-Windows-Perflib	1001	0	task_0PCODE_192pcode_1921001(UnicodeString param1, UnicodeString param2, UInt32 __binLength, Binary binary)	opcode_192		task_0	Always		
Microsoft-Windows-Perflib	1002	0	task_0PCODE_192pcode_1921002(UnicodeString param1, UnicodeString param2)	opcode_192		task_0	Always		
Microsoft-Windows-Perflib	1003	0	task_0PCODE_192pcode_1921003(UnicodeString param1, UnicodeString param2, UInt32 __binLength, Binary binary)	opcode_192		task_0	Always		
Microsoft-Windows-Perflib	1004	0	task_0PCODE_192pcode_1921004(UnicodeString param1, UnicodeString param2, UInt32 __binLength, Binary binary)	opcode_192		task_0	Always		
Microsoft-Windows-Perflib	1005	0	task_0PCODE_192pcode_1921005(UnicodeString param1, UnicodeString param2, UnicodeString param3, UInt32 __binLength, Binary binary)	opcode_192		task_0	Always		
Microsoft-Windows-Perflib	1006	0	task_0PCODE_192pcode_1921006(UnicodeString param1, UnicodeString param2, UnicodeString param3, UInt32 __binLength, Binary binary)	opcode_192		task_0	Always		
Microsoft-Windows-Perflib	1007	0	task_0PCODE_192pcode_1921007(UnicodeString param1, UnicodeString param2, UnicodeString param3, UInt32 __binLength, Binary binary)	opcode_192		task_0	Always		
Microsoft-Windows-Perflib	1008	0	task_0PCODE_192pcode_1921008(UnicodeString param1, UnicodeString param2, UInt32 __binLength, Binary binary)	opcode_192		task_0	Always		
Microsoft-Windows-Perflib	1009	0	task_0PCODE_192pcode_1921009(UnicodeString param1, UnicodeString param2, UInt32 __binLength, Binary binary)	opcode_192		task_0	Always		
Microsoft-Windows-Perflib	1010	0	task_0PCODE_192pcode_1921010(UnicodeString param1, UnicodeString param2, UInt32 __binLength, Binary binary)	opcode_192		task_0	Always		
Microsoft-Windows-Perflib	1013	0	task_0PCODE_192pcode_1921013(UnicodeString param1, UnicodeString param2, UInt32 __binLength, Binary binary)	opcode_192		task_0	Always		
Microsoft-Windows-Perflib	1015	0	task_0PCODE_192pcode_1921015(UnicodeString param1, UnicodeString param2, UInt32 __binLength, Binary binary)	opcode_192		task_0	Always		
Microsoft-Windows-Perflib	1016	0	task_0PCODE_128pcode_128(UnicodeString param1, UnicodeString param2, UInt32 __binLength, Binary binary)	opcode_128		task_0	Always		
Microsoft-Windows-Perflib	1017	0	task_0PCODE_192pcode_1921017(UnicodeString param1)	opcode_192		task_0	Always		
Microsoft-Windows-Perflib	1018	0	task_0PCODE_192pcode_1921018(UnicodeString param1)	opcode_192		task_0	Always		
Microsoft-Windows-Perflib	1019	0	task_0PCODE_192pcode_1921019(UnicodeString param1, UnicodeString param2, UInt32 __binLength, Binary binary)	opcode_192		task_0	Always		
Microsoft-Windows-Perflib	1020	0	task_0PCODE_192pcode_1921020(UnicodeString param1, UnicodeString param2, UInt32 __binLength, Binary binary)	opcode_192		task_0	Always		
Microsoft-Windows-Perflib	1021	0	task_0PCODE_192pcode_1921021(UnicodeString param1, UInt32 __binLength, Binary binary)	opcode_192		task_0	Always		
Microsoft-Windows-Perflib	1022	0	task_0PCODE_192pcode_1921022(UnicodeString param1, UInt32 __binLength, Binary binary)	opcode_192		task_0	Always		
Microsoft-Windows-Perflib	1023	0	task_0PCODE_192pcode_1921023(UnicodeString param1, UInt32 __binLength, Binary binary)	opcode_192		task_0	Always		
Microsoft-Windows-Perflib	2000	0	task_0PCODE_128pcode_1282000(UnicodeString param1, UnicodeString param2, UInt32 __binLength, Binary binary)	opcode_128		task_0	Always		
Microsoft-Windows-Perflib	2001	0	task_0PCODE_128pcode_1282001(UnicodeString param1, UInt32 __binLength, Binary binary)	opcode_128		task_0	Always		
Microsoft-Windows-Perflib	2002	0	task_0PCODE_128pcode_1282002(UnicodeString param1, UnicodeString param2)	opcode_128		task_0	Always		
Microsoft-Windows-Perflib	2003	0	task_0PCODE_128pcode_1282003(UnicodeString param1, UnicodeString param2)	opcode_128		task_0	Always		
Microsoft-Windows-Perflib	3002	0	task_0PCODE_192pcode_1923002()	opcode_192		task_0	Always		
Microsoft-Windows-Perflib	3003	0	task_0PCODE_192pcode_1923003(UnicodeString param1, UnicodeString param2)	opcode_192		task_0	Always		
Microsoft-Windows-Perflib	3004	0	task_0PCODE_192pcode_1923004(UnicodeString param1, UnicodeString param2)	opcode_192		task_0	Always		
