provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-PersistentMemory-Nvdimm	201	0	task_0(GUID DeviceGuid, UInt32 NfitHandle, UInt32 Reason, UInt32 Status)			task_0	Critical		
Microsoft-Windows-PersistentMemory-Nvdimm	202	0	task_0202(GUID DeviceGuid, UInt32 NfitHandle)			task_0	Informational		
Microsoft-Windows-PersistentMemory-Nvdimm	203	0	task_0203(GUID DeviceGuid, UInt32 NfitHandle, UInt32 UnsafeShutdownCount, UInt32 BaselineUnsafeShutdownCount)			task_0	Error		
Microsoft-Windows-PersistentMemory-Nvdimm	205	0	task_0205(GUID DeviceGuid, UInt32 SlotNumber, AnsiString VendorId, AnsiString ProductId, AnsiString SerialNumber, UnicodeString Location, UInt32 NtStatus)			task_0	Critical		
Microsoft-Windows-PersistentMemory-Nvdimm	206	0	task_0206(GUID DeviceGuid, UInt32 SlotNumber, AnsiString VendorId, AnsiString ProductId, AnsiString SerialNumber, UnicodeString Location, Boolean SaveFailed, Boolean RestoreFailed, Boolean PlatformFlushFailed)			task_0	Error		
Microsoft-Windows-PersistentMemory-Nvdimm	300	0	task_0300(GUID DeviceGuid, UInt32 SlotNumber, AnsiString VendorId, AnsiString ProductId, AnsiString SerialNumber, UnicodeString Location, Boolean LostPersistence, Boolean WarningThresholdExceeded, Boolean PersistenceRestored, Boolean BelowWarningThreshold, Boolean ModuleHealth_VoltageRegulatorFailed, Boolean ModuleHealth_VddLost, Boolean ModuleHealth_VppLost, Boolean ModuleHealth_VttLost, Boolean ModuleHealth_DramNotInSelfRefresh, Boolean ModuleHealth_ControllerHardwareError, Boolean ModuleHealth_NvmControllerError, Boolean ModuleHealth_NvmLifetimeError, Boolean ModuleHealth_NotEnoughEnergyForSave, Boolean ModuleHealth_InvalidFirmwareError, Boolean ModuleHealth_ConfigDataError, Boolean ModuleHealth_NoEnergySourcePresent, Boolean ModuleHealth_EnergySourcePolicyNotSet, Boolean ModuleHealth_EnergySourceHardwareError, Boolean ModuleHealth_EnergySourceHealthAssessmentError, UInt32 EncodedModuleTemperature, Boolean ErrorThreshold_NvmLifetimeError, Boolean ErrorThreshold_EnergySourceLifetimeError, Boolean ErrorThreshold_EnergySourceTemperatureError, Boolean WarningThreshold_NvmLifetimeWarning, Boolean WarningThreshold_EnergySourceLifetimeWarning, Boolean WarningThreshold_EnergySourceTemperatureWarning, UInt32 NvmLifetimePercentage, UInt32 UncorrectableMemoryErrorCount, UInt32 CorrectableMemoryErrorAboveThresholdEventCount)			task_0	Critical		
Microsoft-Windows-PersistentMemory-Nvdimm	301	0	task_0301(GUID DeviceGuid, UInt32 SlotNumber, AnsiString VendorId, AnsiString ProductId, AnsiString SerialNumber, UnicodeString Location, Boolean LostPersistence, Boolean WarningThresholdExceeded, Boolean PersistenceRestored, Boolean BelowWarningThreshold, Boolean ModuleHealth_VoltageRegulatorFailed, Boolean ModuleHealth_VddLost, Boolean ModuleHealth_VppLost, Boolean ModuleHealth_VttLost, Boolean ModuleHealth_DramNotInSelfRefresh, Boolean ModuleHealth_ControllerHardwareError, Boolean ModuleHealth_NvmControllerError, Boolean ModuleHealth_NvmLifetimeError, Boolean ModuleHealth_NotEnoughEnergyForSave, Boolean ModuleHealth_InvalidFirmwareError, Boolean ModuleHealth_ConfigDataError, Boolean ModuleHealth_NoEnergySourcePresent, Boolean ModuleHealth_EnergySourcePolicyNotSet, Boolean ModuleHealth_EnergySourceHardwareError, Boolean ModuleHealth_EnergySourceHealthAssessmentError, UInt32 EncodedModuleTemperature, Boolean ErrorThreshold_NvmLifetimeError, Boolean ErrorThreshold_EnergySourceLifetimeError, Boolean ErrorThreshold_EnergySourceTemperatureError, Boolean WarningThreshold_NvmLifetimeWarning, Boolean WarningThreshold_EnergySourceLifetimeWarning, Boolean WarningThreshold_EnergySourceTemperatureWarning, UInt32 NvmLifetimePercentage, UInt32 UncorrectableMemoryErrorCount, UInt32 CorrectableMemoryErrorAboveThresholdEventCount)			task_0	Informational		
Microsoft-Windows-PersistentMemory-Nvdimm	302	0	task_0302(GUID DeviceGuid, UInt32 SlotNumber, AnsiString VendorId, AnsiString ProductId, AnsiString SerialNumber, UnicodeString Location, Boolean LostPersistence, Boolean WarningThresholdExceeded, Boolean PersistenceRestored, Boolean BelowWarningThreshold, Boolean ModuleHealth_VoltageRegulatorFailed, Boolean ModuleHealth_VddLost, Boolean ModuleHealth_VppLost, Boolean ModuleHealth_VttLost, Boolean ModuleHealth_DramNotInSelfRefresh, Boolean ModuleHealth_ControllerHardwareError, Boolean ModuleHealth_NvmControllerError, Boolean ModuleHealth_NvmLifetimeError, Boolean ModuleHealth_NotEnoughEnergyForSave, Boolean ModuleHealth_InvalidFirmwareError, Boolean ModuleHealth_ConfigDataError, Boolean ModuleHealth_NoEnergySourcePresent, Boolean ModuleHealth_EnergySourcePolicyNotSet, Boolean ModuleHealth_EnergySourceHardwareError, Boolean ModuleHealth_EnergySourceHealthAssessmentError, UInt32 EncodedModuleTemperature, Boolean ErrorThreshold_NvmLifetimeError, Boolean ErrorThreshold_EnergySourceLifetimeError, Boolean ErrorThreshold_EnergySourceTemperatureError, Boolean WarningThreshold_NvmLifetimeWarning, Boolean WarningThreshold_EnergySourceLifetimeWarning, Boolean WarningThreshold_EnergySourceTemperatureWarning, UInt32 NvmLifetimePercentage, UInt32 UncorrectableMemoryErrorCount, UInt32 CorrectableMemoryErrorAboveThresholdEventCount)			task_0	Warning		
Microsoft-Windows-PersistentMemory-Nvdimm	303	0	task_0303(GUID DeviceGuid, UInt32 SlotNumber, AnsiString VendorId, AnsiString ProductId, AnsiString SerialNumber, UnicodeString Location, UInt32 MemoryEventCount)			task_0	Error		
Microsoft-Windows-PersistentMemory-Nvdimm	304	0	task_0304(GUID DeviceGuid, UInt32 SlotNumber, AnsiString VendorId, AnsiString ProductId, AnsiString SerialNumber, UnicodeString Location, UInt32 MemoryEventCount)			task_0	Warning		
