provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-PortableDeviceStatusProvider	500	0	DLLLifetimeStart()	Start		DLLLifetime	Informational		
Microsoft-Windows-PortableDeviceStatusProvider	501	0	DLLLifetimeStop()	Stop		DLLLifetime	Informational		
Microsoft-Windows-PortableDeviceStatusProvider	502	0	AllSourcesCreationStart()	Start		AllSourcesCreation	Informational		
Microsoft-Windows-PortableDeviceStatusProvider	503	0	AllSourcesCreationStop()	Stop		AllSourcesCreation	Informational		
Microsoft-Windows-PortableDeviceStatusProvider	504	0	WPDSourcesCreationStart()	Start		WPDSourcesCreation	Informational		
Microsoft-Windows-PortableDeviceStatusProvider	505	0	WPDSourcesCreationStop()	Stop		WPDSourcesCreation	Informational		
Microsoft-Windows-PortableDeviceStatusProvider	506	0	SyncSourcesCreationStart()	Start		SyncSourcesCreation	Informational		
Microsoft-Windows-PortableDeviceStatusProvider	507	0	SyncSourcesCreationStop()	Stop		SyncSourcesCreation	Informational		
Microsoft-Windows-PortableDeviceStatusProvider	510	0	GetDeviceStatusServiceStart()	Start		GetDeviceStatusService	Informational		
Microsoft-Windows-PortableDeviceStatusProvider	511	0	GetDeviceStatusServiceStop()	Stop		GetDeviceStatusService	Informational		
Microsoft-Windows-PortableDeviceStatusProvider	514	0	GetBatteryStart()	Start		GetBattery	Informational		
Microsoft-Windows-PortableDeviceStatusProvider	515	0	GetBatteryStop()	Stop		GetBattery	Informational		
Microsoft-Windows-PortableDeviceStatusProvider	516	0	GetStorageStart()	Start		GetStorage	Informational		
Microsoft-Windows-PortableDeviceStatusProvider	517	0	GetStorageStop()	Stop		GetStorage	Informational		
Microsoft-Windows-PortableDeviceStatusProvider	518	0	GetStatusServicePropertiesStart()	Start		GetStatusServiceProperties	Informational		
Microsoft-Windows-PortableDeviceStatusProvider	519	0	GetStatusServicePropertiesStop()	Stop		GetStatusServiceProperties	Informational		
Microsoft-Windows-PortableDeviceStatusProvider	520	0	UpdateSyncPropertiesStart()	Start		UpdateSyncProperties	Informational		
Microsoft-Windows-PortableDeviceStatusProvider	521	0	UpdateSyncPropertiesStop()	Stop		UpdateSyncProperties	Informational		
Microsoft-Windows-PortableDeviceStatusProvider	522	0	SyncSourcesCreationStart522()	Start		SyncSourcesCreation	Informational		
Microsoft-Windows-PortableDeviceStatusProvider	523	0	SyncSourcesCreationStop523()	Stop		SyncSourcesCreation	Informational		
