provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-PowerCpl	101	0	PowerCpl_InitializePageStart()	Start	PowerCpl	PowerCpl_InitializePage	Informational		
Microsoft-Windows-PowerCpl	102	0	PowerCpl_InitializePageStop()	Stop	PowerCpl	PowerCpl_InitializePage	Informational		
Microsoft-Windows-PowerCpl	103	0	PowerCpl_InitializeStart()	Start	PowerCpl	PowerCpl_Initialize	Informational		
Microsoft-Windows-PowerCpl	104	0	PowerCpl_InitializeStop()	Stop	PowerCpl	PowerCpl_Initialize	Informational		
Microsoft-Windows-PowerCpl	105	0	PowerCpl_InitializePageStart105()	Start	PowerCpl	PowerCpl_InitializePage	Informational		
Microsoft-Windows-PowerCpl	106	0	PowerCpl_InitializePageStop106()	Stop	PowerCpl	PowerCpl_InitializePage	Informational		
Microsoft-Windows-PowerCpl	107	0	PowerCpl_InitializePageStart107()	Start	PowerCpl	PowerCpl_InitializePage	Informational		
Microsoft-Windows-PowerCpl	108	0	PowerCpl_InitializePageStop108()	Stop	PowerCpl	PowerCpl_InitializePage	Informational		
Microsoft-Windows-PowerCpl	109	0	PowerCpl_InitializePageStart109()	Start	PowerCpl	PowerCpl_InitializePage	Informational		
Microsoft-Windows-PowerCpl	110	0	PowerCpl_InitializePageStop110()	Stop	PowerCpl	PowerCpl_InitializePage	Informational		
Microsoft-Windows-PowerCpl	111	0	PowerCpl_InitializePageStart111()	Start	PowerCpl	PowerCpl_InitializePage	Informational		
Microsoft-Windows-PowerCpl	112	0	PowerCpl_InitializePageStop112()	Stop	PowerCpl	PowerCpl_InitializePage	Informational		
Microsoft-Windows-PowerCpl	113	0	PowerCpl_InitPlanListStart()	Start	PowerCpl	PowerCpl_InitPlanList	Informational		
Microsoft-Windows-PowerCpl	114	0	PowerCpl_InitPlanListStop()	Stop	PowerCpl	PowerCpl_InitPlanList	Informational		
Microsoft-Windows-PowerCpl	115	0	PowerCpl_InitBrightnessStart()	Start	PowerCpl	PowerCpl_InitBrightness	Informational		
Microsoft-Windows-PowerCpl	116	0	PowerCpl_InitBrightnessStop()	Stop	PowerCpl	PowerCpl_InitBrightness	Informational		
Microsoft-Windows-PowerCpl	117	0	PowerCpl_UpdatePageStart()	Start	PowerCpl	PowerCpl_UpdatePage	Informational		
Microsoft-Windows-PowerCpl	118	0	PowerCpl_UpdatePageStop()	Stop	PowerCpl	PowerCpl_UpdatePage	Informational		
Microsoft-Windows-PowerCpl	119	0	PowerCpl_LaunchStop()	Stop	PowerCpl	PowerCpl_Launch	Informational		
Microsoft-Windows-PowerCpl	120	0	PowerCpl_InitializeCreateNewPlanPageStart()	Start	PowerCpl	PowerCpl_InitializeCreateNewPlanPage	Informational		
Microsoft-Windows-PowerCpl	121	0	PowerCpl_InitializeCreateNewPlanPageStop()	Stop	PowerCpl	PowerCpl_InitializeCreateNewPlanPage	Informational		
Microsoft-Windows-PowerCpl	122	0	PowerCpl_InitializeGlobalSettingsPageStart()	Start	PowerCpl	PowerCpl_InitializeGlobalSettingsPage	Informational		
Microsoft-Windows-PowerCpl	123	0	PowerCpl_InitializeGlobalSettingsPageStop()	Stop	PowerCpl	PowerCpl_InitializeGlobalSettingsPage	Informational		
Microsoft-Windows-PowerCpl	124	0	PowerCpl_InitializePlanSettingsPageStart()	Start	PowerCpl	PowerCpl_InitializePlanSettingsPage	Informational		
Microsoft-Windows-PowerCpl	125	0	PowerCpl_InitializePlanSettingsPageStop()	Stop	PowerCpl	PowerCpl_InitializePlanSettingsPage	Informational		
Microsoft-Windows-PowerCpl	126	0	PowerCpl_InitializePowerPlansPageStart()	Start	PowerCpl	PowerCpl_InitializePowerPlansPage	Informational		
Microsoft-Windows-PowerCpl	127	0	PowerCpl_InitializePowerPlansPageStop()	Stop	PowerCpl	PowerCpl_InitializePowerPlansPage	Informational		
