provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-PowerShell-DesiredStateConfiguration-FileDownloadManager	4097	1	ValidaterequestinFileDownloadManager_V1(UnicodeString ExceptionSeen)			ValidaterequestinFileDownloadManager	Informational		
Microsoft-Windows-PowerShell-DesiredStateConfiguration-FileDownloadManager	4098	1	DownloadrequestinFileDownloadManager_V1(UnicodeString ExceptionSeen)			DownloadrequestinFileDownloadManager	Informational		
Microsoft-Windows-PowerShell-DesiredStateConfiguration-FileDownloadManager	4099	1	DownloadrequestinFileDownloadManager4099_V1(UnicodeString FileName)			DownloadrequestinFileDownloadManager	Error		
Microsoft-Windows-PowerShell-DesiredStateConfiguration-FileDownloadManager	4100	1	ValidaterequestinFileDownloadManager4100_V1(UnicodeString FileName)			ValidaterequestinFileDownloadManager	Error		
Microsoft-Windows-PowerShell-DesiredStateConfiguration-FileDownloadManager	4101	1	DownloadrequestinFileDownloadManager4101_V1(UnicodeString FileName)			DownloadrequestinFileDownloadManager	Error		
Microsoft-Windows-PowerShell-DesiredStateConfiguration-FileDownloadManager	4102	1	DownloadrequestinFileDownloadManager4102_V1(UnicodeString FileName)			DownloadrequestinFileDownloadManager	Error		
Microsoft-Windows-PowerShell-DesiredStateConfiguration-FileDownloadManager	4103	1	ValidaterequestinFileDownloadManager4103_V1(UnicodeString FileName)			ValidaterequestinFileDownloadManager	Error		
Microsoft-Windows-PowerShell-DesiredStateConfiguration-FileDownloadManager	4104	1	ValidaterequestinFileDownloadManager4104_V1(UnicodeString Checksum, UnicodeString FileName)			ValidaterequestinFileDownloadManager	Informational		
Microsoft-Windows-PowerShell-DesiredStateConfiguration-FileDownloadManager	4106	1	ValidaterequestinFileDownloadManager4106_V1(UnicodeString FileName)			ValidaterequestinFileDownloadManager	Error		
Microsoft-Windows-PowerShell-DesiredStateConfiguration-FileDownloadManager	4107	1	ValidaterequestinFileDownloadManager4107_V1(UnicodeString GeneratedChecksum, UnicodeString ExpectedChecksum, UnicodeString FileName)			ValidaterequestinFileDownloadManager	Error		
Microsoft-Windows-PowerShell-DesiredStateConfiguration-FileDownloadManager	4108	1	ValidaterequestinFileDownloadManager4108_V1(UnicodeString FileName)			ValidaterequestinFileDownloadManager	Informational		
Microsoft-Windows-PowerShell-DesiredStateConfiguration-FileDownloadManager	4109	1	ValidaterequestinFileDownloadManager4109_V1(UnicodeString FileName)			ValidaterequestinFileDownloadManager	Error		
Microsoft-Windows-PowerShell-DesiredStateConfiguration-FileDownloadManager	4110	1	ValidaterequestinFileDownloadManager4110_V1(UnicodeString FileName)			ValidaterequestinFileDownloadManager	Informational		
Microsoft-Windows-PowerShell-DesiredStateConfiguration-FileDownloadManager	4111	1	DownloadrequestinFileDownloadManager4111_V1(UnicodeString SourceFile, UnicodeString DestFile)			DownloadrequestinFileDownloadManager	Informational		
Microsoft-Windows-PowerShell-DesiredStateConfiguration-FileDownloadManager	4112	1	DownloadrequestinFileDownloadManager4112_V1(UnicodeString FileName)			DownloadrequestinFileDownloadManager	Error		
Microsoft-Windows-PowerShell-DesiredStateConfiguration-FileDownloadManager	4113	1	DownloadrequestinFileDownloadManager4113_V1(UnicodeString FileName)			DownloadrequestinFileDownloadManager	Informational		
Microsoft-Windows-PowerShell-DesiredStateConfiguration-FileDownloadManager	4114	1	DownloadrequestinFileDownloadManager4114_V1(UnicodeString FileName)			DownloadrequestinFileDownloadManager	Informational		
Microsoft-Windows-PowerShell-DesiredStateConfiguration-FileDownloadManager	4115	1	DownloadrequestinFileDownloadManager4115_V1(UnicodeString FileName)			DownloadrequestinFileDownloadManager	Informational		
Microsoft-Windows-PowerShell-DesiredStateConfiguration-FileDownloadManager	4116	1	DownloadrequestinFileDownloadManager4116_V1(UnicodeString FileName)			DownloadrequestinFileDownloadManager	Informational		
Microsoft-Windows-PowerShell-DesiredStateConfiguration-FileDownloadManager	4117	1	DownloadrequestinFileDownloadManager4117_V1(UnicodeString FileName)			DownloadrequestinFileDownloadManager	Error		
Microsoft-Windows-PowerShell-DesiredStateConfiguration-FileDownloadManager	4118	1	ValidaterequestinFileDownloadManager4118_V1(UnicodeString ExceptionSeen)			ValidaterequestinFileDownloadManager	Error		
Microsoft-Windows-PowerShell-DesiredStateConfiguration-FileDownloadManager	4119	1	DownloadrequestinFileDownloadManager4119_V1(UnicodeString ExceptionSeen)			DownloadrequestinFileDownloadManager	Error		
Microsoft-Windows-PowerShell-DesiredStateConfiguration-FileDownloadManager	4120	1	DownloadrequestinFileDownloadManager4120_V1(UnicodeString FileName)			DownloadrequestinFileDownloadManager	Error		
