provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-PowerShell	4097	1	ConnectTobeusedwhenoperationisjustexecutingamethod_V1()	Tobeusedwhenoperationisjustexecutingamethod	Cmdlets	Connect	Verbose		
Microsoft-Windows-PowerShell	4098	1	ConnectTobeusedwhenoperationisjustexecutingamethod4098_V1()	Tobeusedwhenoperationisjustexecutingamethod	Cmdlets	Connect	Verbose		
Microsoft-Windows-PowerShell	4099	1	ConnectTobeusedwhenoperationisjustexecutingamethod4099_V1()	Tobeusedwhenoperationisjustexecutingamethod	Cmdlets	Connect	Verbose		
Microsoft-Windows-PowerShell	4100	1	NoneTobeusedwhenanexceptionisraised_V1(UnicodeString ContextInfo, UnicodeString UserData, UnicodeString Payload)	Tobeusedwhenanexceptionisraised	Cmdlets	None	Informational		
Microsoft-Windows-PowerShell	4101	1	NoneTobeusedwhenanexceptionisraised4101_V1(UnicodeString ContextInfo, UnicodeString UserData, UnicodeString Payload)	Tobeusedwhenanexceptionisraised	Cmdlets	None	Informational		
Microsoft-Windows-PowerShell	4102	1	NoneTobeusedwhenanexceptionisraised4102_V1(UnicodeString ContextInfo, UnicodeString UserData, UnicodeString Payload)	Tobeusedwhenanexceptionisraised	Cmdlets	None	Informational		
Microsoft-Windows-PowerShell	4103	1	NoneTobeusedwhenanexceptionisraised4103_V1(UnicodeString ContextInfo, UnicodeString UserData, UnicodeString Payload)	Tobeusedwhenanexceptionisraised	Cmdlets	None	Informational		
Microsoft-Windows-PowerShell	4104	1	StartingCommandOncreatecalls_V1(Int32 MessageNumber, Int32 MessageTotal, UnicodeString ScriptBlockText, UnicodeString ScriptBlockId, UnicodeString Path)	Oncreatecalls	Runspace	StartingCommand	Verbose		
Microsoft-Windows-PowerShell	4105	1	StartingCommandOpen(async)_V1(UnicodeString ScriptBlockId, UnicodeString RunspaceId)	Open(async)	Runspace	StartingCommand	Verbose		
Microsoft-Windows-PowerShell	4106	1	StoppingCommandClose(Async)_V1(UnicodeString ScriptBlockId, UnicodeString RunspaceId)	Close(Async)	Runspace	StoppingCommand	Verbose		
Microsoft-Windows-PowerShell	7937	1	NoneTobeusedwhenoperationisjustexecutingamethod_V1(UnicodeString ContextInfo, UnicodeString UserData, UnicodeString Payload)	Tobeusedwhenoperationisjustexecutingamethod	Cmdlets	None	Informational		
Microsoft-Windows-PowerShell	7938	1	NoneTobeusedwhenoperationisjustexecutingamethod7938_V1(UnicodeString ContextInfo, UnicodeString UserData, UnicodeString Payload)	Tobeusedwhenoperationisjustexecutingamethod	Cmdlets	None	Informational		
Microsoft-Windows-PowerShell	7939	1	NoneTobeusedwhenoperationisjustexecutingamethod7939_V1(UnicodeString ContextInfo, UnicodeString UserData, UnicodeString Payload)	Tobeusedwhenoperationisjustexecutingamethod	Cmdlets	None	Informational		
Microsoft-Windows-PowerShell	7940	1	NoneTobeusedwhenoperationisjustexecutingamethod7940_V1(UnicodeString ContextInfo, UnicodeString UserData, UnicodeString Payload)	Tobeusedwhenoperationisjustexecutingamethod	Cmdlets	None	Informational		
Microsoft-Windows-PowerShell	7941	1	task_0Tobeusedwhenoperationisjustexecutingamethod_V1(GUID currentActivityId, GUID parentActivityId)	Tobeusedwhenoperationisjustexecutingamethod		task_0	Verbose		
