provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-PrintDialogs3D	1	0	PrintDialogs3D_DllStart()	Start		PrintDialogs3D_Dll	Informational		
Microsoft-Windows-PrintDialogs3D	2	0	PrintDialogs3D_DllStop()	Stop		PrintDialogs3D_Dll	Informational		
Microsoft-Windows-PrintDialogs3D	3	0	PrintDialogs3D_FactoryStart()	Start		PrintDialogs3D_Factory	Informational		
Microsoft-Windows-PrintDialogs3D	4	0	PrintDialogs3D_FactoryStop(UInt32 HResult)	Stop		PrintDialogs3D_Factory	Informational		
Microsoft-Windows-PrintDialogs3D	5	0	PrintDialogs3D_ShowPrintPreferencesDlgStart()	Start		PrintDialogs3D_ShowPrintPreferencesDlg	Informational		
Microsoft-Windows-PrintDialogs3D	6	0	PrintDialogs3D_ShowPrintPreferencesDlgStop(UInt32 HResult)	Stop		PrintDialogs3D_ShowPrintPreferencesDlg	Informational		
Microsoft-Windows-PrintDialogs3D	7	0	PrintDialogs3D_CreateXPSPrintPreviewHandlerFromFileStart()	Start		PrintDialogs3D_CreateXPSPrintPreviewHandlerFromFile	Informational		
Microsoft-Windows-PrintDialogs3D	8	0	PrintDialogs3D_CreateXPSPrintPreviewHandlerFromFileStop(UInt32 HResult)	Stop		PrintDialogs3D_CreateXPSPrintPreviewHandlerFromFile	Informational		
Microsoft-Windows-PrintDialogs3D	9	0	PrintDialogs3D_CreateXPSPrintPreviewHandlerFromOMStart()	Start		PrintDialogs3D_CreateXPSPrintPreviewHandlerFromOM	Informational		
Microsoft-Windows-PrintDialogs3D	10	0	PrintDialogs3D_CreateXPSPrintPreviewHandlerFromOMStop(UInt32 HResult)	Stop		PrintDialogs3D_CreateXPSPrintPreviewHandlerFromOM	Informational		
Microsoft-Windows-PrintDialogs3D	11	0	PrintDialogs3D_PrintStart()	Start		PrintDialogs3D_Print	Informational		
Microsoft-Windows-PrintDialogs3D	12	0	PrintDialogs3D_PrintStop(UInt32 HResult)	Stop		PrintDialogs3D_Print	Informational		
Microsoft-Windows-PrintDialogs3D	13	0	PrintDialogs3D_MoreOptionsStart()	Start		PrintDialogs3D_MoreOptions	Informational		
Microsoft-Windows-PrintDialogs3D	14	0	PrintDialogs3D_MoreOptionsStop(UInt32 HResult)	Stop		PrintDialogs3D_MoreOptions	Informational		
Microsoft-Windows-PrintDialogs3D	15	0	PrintDialogs3D_PreviewRenderStart()	Start		PrintDialogs3D_PreviewRender	Informational		
Microsoft-Windows-PrintDialogs3D	16	0	PrintDialogs3D_PreviewRenderStop()	Stop		PrintDialogs3D_PreviewRender	Informational		
Microsoft-Windows-PrintDialogs3D	17	0	PrintDialogs3D_PreviewCreateDeviceResourceStart()	Start		PrintDialogs3D_PreviewCreateDeviceResource	Informational		
Microsoft-Windows-PrintDialogs3D	18	0	PrintDialogs3D_PreviewCreateDeviceResourceStop(UInt32 HResult)	Stop		PrintDialogs3D_PreviewCreateDeviceResource	Informational		
Microsoft-Windows-PrintDialogs3D	19	0	PrintDialogs3D_StartPreviewStart()	Start		PrintDialogs3D_StartPreview	Informational		
Microsoft-Windows-PrintDialogs3D	20	0	PrintDialogs3D_StartPreviewStop(UInt32 HResult)	Stop		PrintDialogs3D_StartPreview	Informational		
Microsoft-Windows-PrintDialogs3D	21	0	PrintDialogs3D_PreviewManagerCreateStart()	Start		PrintDialogs3D_PreviewManagerCreate	Informational		
Microsoft-Windows-PrintDialogs3D	22	0	PrintDialogs3D_PreviewManagerCreateStop(UInt32 HResult)	Stop		PrintDialogs3D_PreviewManagerCreate	Informational		
Microsoft-Windows-PrintDialogs3D	23	0	PrintDialogs3D_PreviewManagerEndPageStart()	Start		PrintDialogs3D_PreviewManagerEndPage	Informational		
Microsoft-Windows-PrintDialogs3D	24	0	PrintDialogs3D_PreviewManagerEndPageStop(UInt32 HResult)	Stop		PrintDialogs3D_PreviewManagerEndPage	Informational		
