provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Privacy-Auditing-CPSS	1000	0	ValueChanged(UnicodeString ProcessUserSid, UnicodeString ProcessName, UnicodeString ProcessAppPackageFullName, UnicodeString OldSettingValue, UnicodeString NewSettingValue, UnicodeString TargetUserSid, HexInt32 HResult, UnicodeString Component, UnicodeString Area, UnicodeString SubArea, UnicodeString ID, UnicodeString Justification, Boolean TestCode)		SystemSetting	ValueChanged	Informational		
Microsoft-Windows-Privacy-Auditing-CPSS	1001	0	ValueChanged1001(UnicodeString ProcessUserSid, UnicodeString ProcessName, UnicodeString ProcessAppPackageFullName, UnicodeString OldSettingValue, UnicodeString NewSettingValue, UnicodeString TargetUserSid, HexInt32 HResult, UnicodeString Component, UnicodeString Area, UnicodeString SubArea, UnicodeString ID, UnicodeString Justification, Boolean TestCode)		SystemSetting Failure	ValueChanged	Error		
Microsoft-Windows-Privacy-Auditing-CPSS	1002	0	ValueChanged1002(UnicodeString ProcessUserSid, UnicodeString ProcessName, UnicodeString ProcessAppPackageFullName, UnicodeString OldSettingValue, UnicodeString NewSettingValue, UnicodeString TargetUserSid, HexInt32 HResult, UnicodeString Component, UnicodeString Area, UnicodeString SubArea, UnicodeString ID, UnicodeString Justification, Boolean TestCode)		UserSetting	ValueChanged	Informational		
Microsoft-Windows-Privacy-Auditing-CPSS	1003	0	ValueChanged1003(UnicodeString ProcessUserSid, UnicodeString ProcessName, UnicodeString ProcessAppPackageFullName, UnicodeString OldSettingValue, UnicodeString NewSettingValue, UnicodeString TargetUserSid, HexInt32 HResult, UnicodeString Component, UnicodeString Area, UnicodeString SubArea, UnicodeString ID, UnicodeString Justification, Boolean TestCode)		UserSetting Failure	ValueChanged	Error		
Microsoft-Windows-Privacy-Auditing-CPSS	1004	0	DefaultSettingCreated(UnicodeString ProcessUserSid, UnicodeString ProcessName, UnicodeString ProcessAppPackageFullName, UnicodeString NewSettingValue, UnicodeString TargetUserSid, HexInt32 HResult, UnicodeString Component, UnicodeString Area, UnicodeString SubArea, UnicodeString ID, UnicodeString Source)		SystemSetting	DefaultSettingCreated	Informational		
Microsoft-Windows-Privacy-Auditing-CPSS	1005	0	DefaultSettingCreated1005(UnicodeString ProcessUserSid, UnicodeString ProcessName, UnicodeString ProcessAppPackageFullName, UnicodeString NewSettingValue, UnicodeString TargetUserSid, HexInt32 HResult, UnicodeString Component, UnicodeString Area, UnicodeString SubArea, UnicodeString ID, UnicodeString Source)		SystemSetting Failure	DefaultSettingCreated	Error		
Microsoft-Windows-Privacy-Auditing-CPSS	1006	0	DefaultSettingCreated1006(UnicodeString ProcessUserSid, UnicodeString ProcessName, UnicodeString ProcessAppPackageFullName, UnicodeString NewSettingValue, UnicodeString TargetUserSid, HexInt32 HResult, UnicodeString Component, UnicodeString Area, UnicodeString SubArea, UnicodeString ID, UnicodeString Source)		UserSetting	DefaultSettingCreated	Informational		
Microsoft-Windows-Privacy-Auditing-CPSS	1007	0	DefaultSettingCreated1007(UnicodeString ProcessUserSid, UnicodeString ProcessName, UnicodeString ProcessAppPackageFullName, UnicodeString NewSettingValue, UnicodeString TargetUserSid, HexInt32 HResult, UnicodeString Component, UnicodeString Area, UnicodeString SubArea, UnicodeString ID, UnicodeString Source)		UserSetting Failure	DefaultSettingCreated	Error		
Microsoft-Windows-Privacy-Auditing-CPSS	1008	0	ValueRemoved(UnicodeString ProcessUserSid, UnicodeString ProcessName, UnicodeString ProcessAppPackageFullName, UnicodeString TargetUserSid, HexInt32 HResult, UnicodeString Component, UnicodeString Area, UnicodeString SubArea, UnicodeString ID, UnicodeString Justification, Boolean TestCode)		UserSetting	ValueRemoved	Informational		
Microsoft-Windows-Privacy-Auditing-CPSS	1009	0	ValueRemoved1009(UnicodeString ProcessUserSid, UnicodeString ProcessName, UnicodeString ProcessAppPackageFullName, UnicodeString TargetUserSid, HexInt32 HResult, UnicodeString Component, UnicodeString Area, UnicodeString SubArea, UnicodeString ID, UnicodeString Justification, Boolean TestCode)		UserSetting Failure	ValueRemoved	Error		
Microsoft-Windows-Privacy-Auditing-CPSS	1010	0	ValueRemoved1010(UnicodeString ProcessUserSid, UnicodeString ProcessName, UnicodeString ProcessAppPackageFullName, UnicodeString TargetUserSid, HexInt32 HResult, UnicodeString Component, UnicodeString Area, UnicodeString SubArea, UnicodeString ID, UnicodeString Justification, Boolean TestCode)		SystemSetting	ValueRemoved	Informational		
Microsoft-Windows-Privacy-Auditing-CPSS	1011	0	ValueRemoved1011(UnicodeString ProcessUserSid, UnicodeString ProcessName, UnicodeString ProcessAppPackageFullName, UnicodeString TargetUserSid, HexInt32 HResult, UnicodeString Component, UnicodeString Area, UnicodeString SubArea, UnicodeString ID, UnicodeString Justification, Boolean TestCode)		SystemSetting Failure	ValueRemoved	Error		
