provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-PushNotifications-Developer	1	0	task_0(UnicodeString FileName, UnicodeString FunctionName, Int32 LineNumber, UInt32 ErrorCode)			task_0	Error		
Microsoft-Windows-PushNotifications-Developer	2	0	task_02()			task_0	Informational		
Microsoft-Windows-PushNotifications-Developer	3	0	task_03()			task_0	Informational		
Microsoft-Windows-PushNotifications-Developer	1000	0	task_01000(UnicodeString AppID)			task_0	Informational		
Microsoft-Windows-PushNotifications-Developer	1001	0	task_01001(UnicodeString AppID, UnicodeString Channel)			task_0	Informational		
Microsoft-Windows-PushNotifications-Developer	1002	0	task_01002(UnicodeString Channel)			task_0	Informational		
Microsoft-Windows-PushNotifications-Developer	1100	0	CloudNotificationDeliveryStart(UInt32 NotificationType)	Start		CloudNotificationDelivery	Informational		
Microsoft-Windows-PushNotifications-Developer	1101	0	CloudNotificationDeliveryStop(UInt32 NotificationType)	Stop		CloudNotificationDelivery	Informational		
Microsoft-Windows-PushNotifications-Developer	1102	0	task_01102(UInt32 NotificationType)			task_0	Informational		
Microsoft-Windows-PushNotifications-Developer	1103	0	task_01103(UInt32 NotificationType)			task_0	Informational		
Microsoft-Windows-PushNotifications-Developer	1104	0	task_01104(UnicodeString AppID, UInt32 NotificationType)			task_0	Informational		
Microsoft-Windows-PushNotifications-Developer	1105	0	task_01105(UnicodeString AppID)			task_0	Informational		
Microsoft-Windows-PushNotifications-Developer	1106	0	task_01106(UnicodeString AppID)			task_0	Informational		
Microsoft-Windows-PushNotifications-Developer	1107	0	task_01107(UnicodeString AppID)			task_0	Informational		
Microsoft-Windows-PushNotifications-Developer	1108	0	ToastDismissedStart()	Start		ToastDismissed	Informational		
Microsoft-Windows-PushNotifications-Developer	1109	0	ToastDismissedStop()	Stop		ToastDismissed	Informational		
Microsoft-Windows-PushNotifications-Developer	1110	0	ToastCanceledStart()	Start		ToastCanceled	Informational		
Microsoft-Windows-PushNotifications-Developer	1111	0	ToastCanceledStop()	Stop		ToastCanceled	Informational		
Microsoft-Windows-PushNotifications-Developer	1112	0	ToastTimedOutStart()	Start		ToastTimedOut	Informational		
Microsoft-Windows-PushNotifications-Developer	1113	0	ToastTimedOutStop()	Stop		ToastTimedOut	Informational		
Microsoft-Windows-PushNotifications-Developer	1114	0	ToastActivatedStart()	Start		ToastActivated	Informational		
Microsoft-Windows-PushNotifications-Developer	1115	0	ToastActivatedStop()	Stop		ToastActivated	Informational		
Microsoft-Windows-PushNotifications-Developer	1116	0	ToastErrorStart()	Start		ToastError	Informational		
Microsoft-Windows-PushNotifications-Developer	1117	0	ToastErrorStop()	Stop		ToastError	Informational		
Microsoft-Windows-PushNotifications-Developer	1118	0	task_01118(UnicodeString AppID)			task_0	Informational		
Microsoft-Windows-PushNotifications-Developer	1119	0	task_01119(UnicodeString AppID)			task_0	Informational		
Microsoft-Windows-PushNotifications-Developer	1120	0	task_01120(UnicodeString AppID)			task_0	Informational		
Microsoft-Windows-PushNotifications-Developer	1121	0	task_01121(UnicodeString AppID)			task_0	Informational		
Microsoft-Windows-PushNotifications-Developer	1122	0	ConnectionStatusDeliveryStart(UnicodeString AppID, Boolean IsConnected)	Start		ConnectionStatusDelivery	Informational		
Microsoft-Windows-PushNotifications-Developer	1123	0	ConnectionStatusDeliveryStop(UnicodeString AppID, Boolean IsConnected)	Stop		ConnectionStatusDelivery	Informational		
Microsoft-Windows-PushNotifications-Developer	1124	0	task_01124(UnicodeString AppID)			task_0	Informational		
