provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-QoS-qWAVE	1	0	task_0(UInt32 FlowId, UInt32 SetFlowType, UInt32 BufferLen, Binary Buffer, UInt32 Flags, UInt32 FailureActivity, UInt32 FailureErrorCodeType, UInt32 FailureErrorCode)			task_0	Error		
Microsoft-Windows-QoS-qWAVE	2	0	task_02(UInt32 FlowId, UInt32 SetFlowType, UInt32 BufferLen, Binary Buffer, UInt32 Flags, Boolean LLTDSupported)			task_0	Informational		
Microsoft-Windows-QoS-qWAVE	3	0	task_03(UInt32 FlowId, UInt32 QueryFlowType, UInt32 BufferLen, Binary Buffer, UInt32 Flags, UInt32 FailureActivity, UInt32 FailureErrorCodeType, UInt32 FailureErrorCode)			task_0	Error		
Microsoft-Windows-QoS-qWAVE	4	0	task_04(UInt32 FlowId, UInt32 NotifyFlowType, UInt32 BufferLen, Binary Buffer, UInt32 Flags, UInt32 FailureActivity, UInt32 FailureErrorCodeType, UInt32 FailureErrorCode)			task_0	Error		
Microsoft-Windows-QoS-qWAVE	5	0	task_05(UInt32 AddressLen, Binary Address, UInt32 TrafficType, UInt32 Flags, UInt32 FailureActivity, UInt32 FailureErrorCodeType, UInt32 FailureErrorCode)			task_0	Error		
Microsoft-Windows-QoS-qWAVE	6	0	task_06(UInt32 BufferLen, Binary Buffer, UInt32 FailureActivity, UInt32 FailureErrorCodeType, UInt32 FailureErrorCode)			task_0	Error		
Microsoft-Windows-QoS-qWAVE	7	0	task_07(UInt32 AddressLen, Binary Address, UInt32 Flags, UInt32 FailureActivity, UInt32 FailureErrorCodeType, UInt32 FailureErrorCode)			task_0	Error		
Microsoft-Windows-QoS-qWAVE	8	0	task_08(UInt32 AddressLen, Binary Address, UInt32 Flags, UInt32 FailureActivity, UInt32 FailureErrorCodeType, UInt32 FailureErrorCode)			task_0	Error		
Microsoft-Windows-QoS-qWAVE	9	0	task_09(UInt32 SourceAddressLen, Binary SourceAddress, UInt32 DestAddressLen, Binary DestAddress, Double BottleneckBandwidth, Boolean Is8021pSupported)			task_0	Informational		
Microsoft-Windows-QoS-qWAVE	10	0	task_010(UInt32 SourceAddressLen, Binary SourceAddress, UInt32 DestAddressLen, Binary DestAddress, Double BottleneckBandwidth, Double AvailableBandwidth, Boolean Is8021pSupported)			task_0	Informational		
Microsoft-Windows-QoS-qWAVE	11	0	task_011(UInt32 SourceAddressLen, Binary SourceAddress, UInt32 DestAddressLen, Binary DestAddress, Double BottleneckBandwidth, Double AvailableBandwidth, Boolean Is8021pSupported)			task_0	Informational		
Microsoft-Windows-QoS-qWAVE	12	0	task_012(UInt32 ProcessID, UInt32 ThreadID, Pointer QoSHandle, UInt32 FailureActivity, UInt32 FailureErrorCodeType, UInt32 FailureErrorCode)			task_0	Informational		
Microsoft-Windows-QoS-qWAVE	13	0	task_013(UInt32 LocalCollectionError, UInt32 RemoteCollectionError, UInt32 CrossTrafficCollectionError, UInt32 PathAnalysisResult, UInt32 RemoteAnalysisResult, UInt32 LocalAnalysisResult)			task_0	Informational		
Microsoft-Windows-QoS-qWAVE	14	0	task_014(UInt32 AddressLen, Binary Address, UInt32 Flags, UInt32 FailureActivity, UInt32 FailureErrorCodeType, UInt32 FailureErrorCode)			task_0	Error		
Microsoft-Windows-QoS-qWAVE	15	0	task_015(UInt32 AddressLength, Binary SourceAddress, Binary DestinationAddress, Double BottleneckBandwidth, Double AvailableBandwidth)			task_0	Informational		
Microsoft-Windows-QoS-qWAVE	16	0	task_016(UInt32 AddressLength, Binary SourceAddress, Binary DestinationAddress, Boolean Quiescent)			task_0	Informational		
Microsoft-Windows-QoS-qWAVE	17	0	task_017(UInt32 AddressLen, Binary Address, UInt32 TrafficType, UInt32 Flags, Boolean Offlink)			task_0	Informational		
Microsoft-Windows-QoS-qWAVE	18	0	task_018(UInt32 AddressLength, Binary NonLLTDEnabledMachine)			task_0	Informational		
Microsoft-Windows-QoS-qWAVE	19	0	task_019(UInt32 AddressLength, Binary LLTDEnabledMachine)			task_0	Informational		
Microsoft-Windows-QoS-qWAVE	20	0	task_020(UInt32 CurrentTime, UInt32 SystemTime, Double RequestedBandwidth, UInt32 NumBursts, UInt32 BurstSize)			task_0	Informational		
Microsoft-Windows-QoS-qWAVE	21	0	task_021()			task_0	Informational		
Microsoft-Windows-QoS-qWAVE	22	0	task_022()			task_0	Informational		
