provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Ras-AgileVpn	2100	0	task_0(AnsiString DebugString)		AGILEVPN_ADMIN	task_0	Error		
Microsoft-Windows-Ras-AgileVpn	2101	0	task_02101(AnsiString DebugString)		AGILEVPN_ADMIN	task_0	Informational		
Microsoft-Windows-Ras-AgileVpn	2102	0	task_02102(AnsiString DebugString, GUID RoutingDomainID, AnsiString RRASUserName, AnsiString PortNo)		AGILEVPN_ADMIN	task_0	Error		
Microsoft-Windows-Ras-AgileVpn	2103	0	task_02103(AnsiString DebugString, GUID RoutingDomainID, AnsiString RRASUserName, AnsiString PortNo)		AGILEVPN_ADMIN	task_0	Informational		
Microsoft-Windows-Ras-AgileVpn	3100	0	task_03100(AnsiString DebugString)		AGILEVPN	task_0	Error		
Microsoft-Windows-Ras-AgileVpn	3101	0	task_03101(AnsiString DebugString)		AGILEVPN	task_0	Informational		
Microsoft-Windows-Ras-AgileVpn	3102	0	task_03102(AnsiString DebugString, GUID RoutingDomainID, AnsiString RRASUserName, AnsiString PortNo)		AGILEVPN	task_0	Error		
Microsoft-Windows-Ras-AgileVpn	3103	0	task_03103(AnsiString DebugString, GUID RoutingDomainID, AnsiString RRASUserName, AnsiString PortNo)		AGILEVPN	task_0	Informational		
Microsoft-Windows-Ras-AgileVpn	3104	0	task_03104(AnsiString DebugString, UInt64 DebugParam)		AGILEVPN	task_0	Error		
Microsoft-Windows-Ras-AgileVpn	3105	0	task_03105(AnsiString DebugString, UInt64 DebugParam)		AGILEVPN	task_0	Informational		
Microsoft-Windows-Ras-AgileVpn	3106	0	task_03106(AnsiString FunctionName, UnicodeString IpAddress)		AGILEVPN	task_0	Informational		
Microsoft-Windows-Ras-AgileVpn	3201	0	task_03201(UInt32 NumberOfPackets, AnsiString SrcAddress, AnsiString DestAddress, UInt32 SrcPort, UInt32 DestPort, UInt32 NextProtocol)		AGILEVPN	task_0	Informational		
Microsoft-Windows-Ras-AgileVpn	3202	0	task_03202(AnsiString DropReason, UInt32 NumberOfPackets, AnsiString SrcAddress, AnsiString DestAddress, UInt32 SrcPort, UInt32 DestPort, UInt32 NextProtocol)		AGILEVPN	task_0	Error		
Microsoft-Windows-Ras-AgileVpn	3203	0	task_03203(UInt32 AddressFamily, UInt32 StartPort, UInt32 EndPort, UInt32 ProtocolID, AnsiString StartAddress, AnsiString EndAddress)		AGILEVPN	task_0	Informational		
Microsoft-Windows-Ras-AgileVpn	3204	0	task_03204(UInt64 TSID, UInt32 fDelete)		AGILEVPN	task_0	Informational		
Microsoft-Windows-Ras-AgileVpn	3205	0	task_03205(UInt64 TunnelID, UInt32 Status)		AGILEVPN	task_0	Informational		
