provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-ReFS	4	1	task_04_V1(Pointer Vcb, GUID VolumeGuid, UInt16 DeviceNameLength, UnicodeString DeviceName, UInt16 VolumeNameLength, UnicodeString VolumeName, UInt32 ClusterSizeBytes, UInt64 VolumeSizeBytes, UInt64 FreeSpaceBytes, UInt64 RedoLogLcnCount, UInt32 LogicalSectorSizeBytes, UInt32 PhysicalSectorSizeBytes, UInt32 ActualPhysicalSectorSizeBytes, UInt8 MajorVersion, UInt8 MinorVersion, UInt32 NumberOfPhysicalCopies, UInt32 NumberOfLogicalCopies, GUID VolumeIdForHeat, UInt16 RootIntegrityStream, HexInt32 VolumeState, UInt64 UsnSize, UInt64 SecurityDescStreamSize, UInt64 DurationMicroSec, Boolean DebugVersion, Boolean DebuggerEnabled, UInt64 SsdTierSize, UInt64 ReadCacheSize, UInt32 ReadCacheLineSize, Boolean ContainerRotationEnabled, Boolean DeleteNotificationDisabled, HexInt32 VcbState, HexInt32 VcbState2, UInt64 CheckpointVirtualClock, FILETIME LastWriteTime, HexInt32 BootSectorFlags, HexInt32 RefsDataFlags, Boolean LastShutdownWasDirty, Boolean StreamsSupported, UInt32 UserStreamsAvailable, UInt64 SizeOfRandomlyWriteableTier, UInt64 SizeOfSmrTier, UInt64 LogRestartStartLsn, UInt64 LogRestartLastLsn, UInt64 LogRestartDurationMicroSec)		VolumeMount	task_0	Informational		
Microsoft-Windows-ReFS	5	0	task_0(Pointer Context, HexInt32 Status, GUID VolumeGuid, UInt16 DeviceNameLength, UnicodeString DeviceName, UInt16 VolumeNameLength, UnicodeString VolumeName, UInt32 StackCount, Pointer Stack, UInt32 SourceLine)		VolumeMount	task_0	Error		
Microsoft-Windows-ReFS	6	0	task_06(Pointer Context, UInt32 Progress, UInt32 StackCount, Pointer Stack)		VolumeMount	task_0	Verbose		
Microsoft-Windows-ReFS	7	0	task_07(Pointer Context, UInt8 MajorVersionExpected, UInt8 MinorVersionExpected, UInt8 MajorVersionOnDisk, UInt8 MinorVersionOnDisk)		VolumeMount	task_0	Error		
Microsoft-Windows-ReFS	8	0	task_08(Pointer Context, UInt32 FillRatio, GUID VolumeGuid, UInt16 DeviceNameLength, UnicodeString DeviceName, UInt16 VolumeNameLength, UnicodeString VolumeName)		VolumeFillRatio	task_0	Informational		
Microsoft-Windows-ReFS	130	0	task_0130(UInt16 VolumeIdLength, UnicodeString VolumeId, UnicodeString RepairDetail, UInt16 RepairDataLength, Binary RepairData)			task_0	Warning		
Microsoft-Windows-ReFS	131	0	task_0131(UInt16 VolumeIdLength, UnicodeString VolumeId, HexInt32 FailureReason, HexInt32 SourceFile, UInt16 SourceLine, UInt32 SourceTag, GUID SpaceId)			task_0	Error		
Microsoft-Windows-ReFS	132	0	task_0132(UInt16 ObjectNameLength, UnicodeString ObjectName, HexInt32 FailureReason, UInt16 VolumeIdLength, UnicodeString VolumeId, GUID SpaceId)			task_0	Warning		
Microsoft-Windows-ReFS	133	0	task_0133(UInt16 ObjectNameLength, UnicodeString ObjectName, HexInt32 FailureReason, UInt16 VolumeIdLength, UnicodeString VolumeId, GUID SpaceId)			task_0	Error		
Microsoft-Windows-ReFS	134	0	task_0134(UInt16 VolumeIdLength, UnicodeString VolumeId, HexInt32 FailureReason, HexInt32 SourceFile, UInt16 SourceLine, UInt32 SourceTag, GUID SpaceId)			task_0	Error		
Microsoft-Windows-ReFS	135	0	task_0135(UInt16 VolumeIdLength, UnicodeString VolumeId, HexInt32 FailureReason, GUID SpaceId)			task_0	Error		
Microsoft-Windows-ReFS	136	0	task_0136(UInt16 VolumeIdLength, UnicodeString VolumeId, HexInt32 FailureReason, GUID SpaceId)			task_0	Warning		
Microsoft-Windows-ReFS	137	0	task_0137(UInt16 VolumeIdLength, UnicodeString VolumeId, HexInt32 FailureReason, GUID SpaceId)			task_0	Error		
Microsoft-Windows-ReFS	138	0	task_0138(UInt16 VolumeIdLength, UnicodeString VolumeId, HexInt32 FailureReason, GUID SpaceId)			task_0	Error		
Microsoft-Windows-ReFS	139	0	task_0139(UInt16 VolumeIdLength, UnicodeString VolumeId, HexInt32 FailureReason, HexInt32 SourceFile, UInt16 SourceLine, UInt32 SourceTag, GUID SpaceId)			task_0	Warning		
Microsoft-Windows-ReFS	140	0	task_0140(UInt16 VolumeIdLength, UnicodeString VolumeId, HexInt32 FailureReason, HexInt32 SourceFile, UInt16 SourceLine, UInt32 SourceTag, GUID SpaceId)			task_0	Error		
Microsoft-Windows-ReFS	141	0	task_0141(UInt16 VolumeIdLength, UnicodeString VolumeId, HexInt32 FailureReason, GUID SpaceId)			task_0	Warning		
Microsoft-Windows-ReFS	142	0	task_0142(GUID VolumeCorrelationId, UInt16 VolumeNameLength, UnicodeString VolumeName, UInt16 DeviceNameLength, UnicodeString DeviceName, GUID SpaceId, UInt64 ElapsedSeconds, Int64 AvailableClusters, AnsiString AvailabeSpaceStr, Int64 ReservedClusters, AnsiString ReservedSizeStr, Int64 MetadataTotalClusters, AnsiString MetadataSizeStr, Int64 UsedClusters, AnsiString UsedSizeStr, Int64 VolumeSizeInBytes, AnsiString VolumeSizeStr, UInt32 ClusterSize)		Statistics	task_0	Informational		
Microsoft-Windows-ReFS	142	1	task_0142_V1(GUID VolumeCorrelationId, UInt16 VolumeNameLength, UnicodeString VolumeName, UInt16 DeviceNameLength, UnicodeString DeviceName, GUID SpaceId, UInt64 ElapsedSeconds, Int64 AvailableClusters, AnsiString AvailabeSpaceStr, Int64 ReservedClusters, AnsiString ReservedSizeStr, Int64 MetadataTotalClusters, AnsiString MetadataSizeStr, Int64 UsedClusters, AnsiString UsedSizeStr, Int64 VolumeSizeInBytes, AnsiString VolumeSizeStr, UInt32 ClusterSize, Int64 MappedClusters, AnsiString MappedSpaceStr, Int64 AvailableMappedClusters, AnsiString AvailableMappedSpaceStr, UInt64 SlabSizeInBytes, AnsiString SlabSizeStr, UInt64 SlabOffsetDeltaInBytes, UInt32 SlabsMapped, Int32 SlabsMappedDelta, UInt32 TotalSlabsCount, Int32 MapCountSinceMount, Int32 IntervalMapCount, Int32 MapFailureCountSinceMount, Int32 IntervalMapFailureCount, Int64 MappedBytesSinceMount, AnsiString MappedBytesSinceMountStr, Int64 IntervalMappedBytes, AnsiString IntervalMappedBytesStr, Int32 UnmapCountSinceMount, Int32 IntervalUnmapCount, Int32 UnmapFailureCountSinceMount, Int32 IntervalUnmapFailureCount, Int64 UnmappedBytesSinceMount, AnsiString UnmappedBytesSinceMountStr, Int64 IntervalUnmappedBytes, AnsiString IntervalUnmappedBytesStr)		Statistics	task_0	Informational		
Microsoft-Windows-ReFS	145	2	task_0145_V2(GUID VolumeCorrelationId, UInt32 VolumeNameLength, UnicodeString VolumeName, Boolean IsBootVolume, UInt32 TierIndex, UInt64 MaxLatencyMs, Int64 ReadWriteLatencyBucket1, Int64 ReadWriteLatencyBucket2, Int64 ReadWriteLatencyBucket3, Int64 ReadWriteLatencyBucket4, Int64 ReadWriteLatencyBucket5, Int64 ReadWriteLatencyBucket6, Int64 ReadWriteLatencyBucket7, Int64 TrimLatencyBucket1, Int64 TrimLatencyBucket2, Int64 TrimLatencyBucket3, Int64 TrimLatencyBucket4, Int64 TrimLatencyBucket5, Int64 TrimLatencyBucket6, Int64 TrimLatencyBucket7, Int64 FlushLatencyBucket1, Int64 FlushLatencyBucket2, Int64 FlushLatencyBucket3, Int64 FlushLatencyBucket4, Int64 FlushLatencyBucket5, Int64 FlushLatencyBucket6, Int64 FlushLatencyBucket7)		Statistics	task_0	Informational		
Microsoft-Windows-ReFS	146	2	task_0146_V2(UInt32 Version, GUID VolumeCorrelationId, UInt32 VolumeNameLength, UnicodeString VolumeName, Boolean IsBootVolume, UInt32 TierIndex, UInt64 MaxLatencyMs, Int64 ReadWriteLatencyBucket1, Int64 ReadWriteLatencyBucket2, Int64 ReadWriteLatencyBucket3, Int64 ReadWriteLatencyBucket4, Int64 ReadWriteLatencyBucket5, Int64 ReadWriteLatencyBucket6, Int64 ReadWriteLatencyBucket7, Int64 TrimLatencyBucket1, Int64 TrimLatencyBucket2, Int64 TrimLatencyBucket3, Int64 TrimLatencyBucket4, Int64 TrimLatencyBucket5, Int64 TrimLatencyBucket6, Int64 TrimLatencyBucket7, Int64 FlushLatencyBucket1, Int64 FlushLatencyBucket2, Int64 FlushLatencyBucket3, Int64 FlushLatencyBucket4, Int64 FlushLatencyBucket5, Int64 FlushLatencyBucket6, Int64 FlushLatencyBucket7, UInt32 HighIoLatencyCount, Int64 IntervalDurationUs, UInt64 NCReadIOCount, UInt64 NCReadTotalBytes, UInt64 NCReadAvgLatencyNs, UInt64 NCWriteIOCount, UInt64 NCWriteTotalBytes, UInt64 NCWriteAvgLatencyNs, UInt64 FileFlushCount, UInt64 FileFlushAvgLatencyNs, UInt64 DirectoryFlushCount, UInt64 DirectoryFlushAvgLatencyNs, UInt64 VolumeFlushCount, UInt64 VolumeFlushAvgLatencyNs, UInt64 FileLevelTrimCount, UInt64 FileLevelTrimTotalBytes, UInt64 FileLevelTrimExtentsCount, UInt64 FileLevelTrimAvgLatencyNs, UInt64 VolumeTrimCount, UInt64 VolumeTrimTotalBytes, UInt64 VolumeTrimExtentsCount, UInt64 VolumeTrimAvgLatencyNs, UInt8 IoBucketsCount, UInt8 TotalBytesBucketsCount, UInt8 ExtentsBucketsCount, UInt64 IoCount, UInt64 TotalLatencyUs, UInt64 TotalBytes, UInt64 TrimExtentsCount, UInt16 IoTypeIndex)		Statistics	task_0	Informational		
Microsoft-Windows-ReFS	147	1	task_0147_V1(GUID VolumeCorrelationId, UInt32 VolumeNameLength, UnicodeString VolumeName, Boolean IsBootVolume, UInt32 TierIndex, UInt64 MaxLatencyMs, UInt32 ProcessId, AnsiString ProcessName, UInt32 FileNameLength, UnicodeString FileName, UInt32 IoType, UInt32 IoSize, UInt64 FileOffset, UInt64 LatencyMs, UInt64 StartingLcn, UInt32 ClustersCount, Int32 TableIndex)		Statistics	task_0	Warning		
Microsoft-Windows-ReFS	147	2	task_0147_V2(GUID VolumeCorrelationId, UInt32 VolumeNameLength, UnicodeString VolumeName, Boolean IsBootVolume, UInt32 TierIndex, UInt64 MaxLatencyMs, UInt32 ProcessId, AnsiString ProcessName, UInt32 FileNameLength, UnicodeString FileName, HexInt64 FileIdHigh, HexInt64 FileIdLow, UInt16 IoType, UnicodeString IoTypeStr, UInt32 IoSize, UInt64 FileOffset, UInt64 LatencyMs, UInt64 StartingLcn, UInt32 ClustersCount)		Statistics	task_0	Warning		
Microsoft-Windows-ReFS	147	3	task_0147_V3(GUID VolumeCorrelationId, UInt32 VolumeNameLength, UnicodeString VolumeName, Boolean IsBootVolume, UInt32 TierIndex, UInt64 MaxLatencyMs, UInt32 ProcessId, AnsiString ProcessName, UInt32 FileNameLength, UnicodeString FileName, HexInt64 FileIdHigh, HexInt64 FileIdLow, UInt16 IoType, UnicodeString IoTypeStr, UInt64 LatencyMs)		Statistics	task_0	Warning		
Microsoft-Windows-ReFS	148	0	task_0148(GUID VolumeCorrelationId, UInt32 VolumeNameLength, UnicodeString VolumeName, Boolean IsBootVolume, UInt32 TierIndex, UInt32 ProcessId, AnsiString ProcessName, UInt32 FileNameLength, UnicodeString FileName, UInt32 IoType, UInt32 IoSize, UInt64 FileOffset, UInt64 StartingLcn, UInt32 ClustersCount, UInt32 FailureStatus, Int32 TableIndex)		Statistics	task_0	Warning		
Microsoft-Windows-ReFS	148	1	task_0148_V1(GUID VolumeCorrelationId, UInt32 VolumeNameLength, UnicodeString VolumeName, Boolean IsBootVolume, UInt32 TierIndex, UInt32 ProcessId, AnsiString ProcessName, UInt32 FileNameLength, UnicodeString FileName, HexInt64 FileIdHigh, HexInt64 FileIdLow, UInt32 IoType, UInt32 IoSize, UInt64 FileOffset, UInt64 StartingLcn, UInt32 ClustersCount, HexInt32 FailureStatus)		Statistics	task_0	Warning		
Microsoft-Windows-ReFS	149	0	task_0149(GUID VolumeCorrelationId, UInt32 VolumeNameLength, UnicodeString VolumeName, Boolean IsBootVolume, UInt32 SecondsElapsed, UInt32 HighLatencyCount, UInt32 FailedWriteCount, UInt32 FailedReadCount, UInt32 BadClusterHotfixCount, UInt32 ValuesCount, UInt32 HighLatencyArray, UInt32 FailedWriteArray, UInt32 FailedReadArray, UInt32 BadClusterHotfixArray, HexInt32 StatusArray, UInt32 TableIndexArray)		Statistics	task_0	Warning		
Microsoft-Windows-ReFS	150	1	task_0150_V1(GUID VolumeCorrelationId, UInt32 VolumeNameLength, UnicodeString VolumeName, UInt64 SampleDuration, UInt64 FreeSpaceInRandomlyWriteableTierMin, UInt64 FreeSpaceInRandomlyWriteableTierMax, UInt64 FreeSpaceInRandomlyWriteableTierAvg, UInt64 FreeSpaceInSMRTierMin, UInt64 FreeSpaceInSMRTierMax, UInt64 FreeSpaceInSMRTierAvg, UInt64 UsableFreeSpaceInSMRTierMin, UInt64 UsableFreeSpaceInSMRTierMax, UInt64 UsableFreeSpaceInSMRTierAvg, UInt64 WriteSerializationAbortedWrites, UInt64 WriteSerializationEvents, UInt64 WriteSerializationLatencyAvg, UInt64 WriteSerializationLatencyMax, UInt64 WriteSerializationBlockedEvents, UInt64 WriteSerializationBlockedLatencyAvg, UInt64 StartGCCallsInvoked, UInt64 StartGCCallsFailed, UInt64 StartGCFullSpeedCallsInvoked, UInt64 StartGCFullSpeedCallsFailed, UInt64 PauseGCCallsInvoked, UInt64 PauseGCCallsFailed, UInt64 StopGCCallsInvoked, UInt64 StopGCCallsFailed, UInt64 FullSMRBandClusterAllocations, UInt64 SharedSMRBandClusterAllocations, UInt64 GCReadLatencyTotal, UInt64 GCReadLatencyAvg, UInt64 GCReadLatencyMax, UInt64 GCTotalReadIOs, UInt64 GCWriteLatencyTotal, UInt64 GCWriteLatencyAvg, UInt64 GCWriteLatencyMax, UInt64 GCTotalWriteIOs, UInt64 DiskFullRequiresGC, UInt64 SMRZoneFull, UInt64 CMRZoneFull, UInt64 InvalidSectorErrors, UInt64 IoDeviceErrors, UInt64 IoUnalignedWrite, UInt64 WriteErrors, UInt64 ReadErrors, UInt64 SMRWriteHeadRequeries)		Statistics	task_0	Informational		
Microsoft-Windows-ReFS	170	1	task_0170_V1(GUID VolumeCorrelationId, UInt16 VolumeNameLength, UnicodeString VolumeName, UInt32 TierIndex, UInt64 IntervalDurationMs, UnicodeString IntervalDurationStr, UInt16 IoType, UnicodeString IoTypeStr, UInt64 MaxLatencyMs, UnicodeString MaxLatencyStr, UInt32 HighLatencyIoCount, UInt64 TotalIoCount, UInt64 AverageIops, UInt64 AverageLatencyNs, UnicodeString AverageLatencyStr, UnicodeString LatencyBuckets, UInt64 IoCount0, UInt64 IoCount1, UInt64 IoCount2, UInt64 IoCount3, UInt64 IoCount4, UInt64 IoCount5, UInt64 IoCount6, UInt64 IoCount7, UInt64 IoCount8, UInt64 IoCount9, UInt64 IoCount10, UInt64 IoCount11, UInt64 TotalTimeNs0, UInt64 TotalTimeNs1, UInt64 TotalTimeNs2, UInt64 TotalTimeNs3, UInt64 TotalTimeNs4, UInt64 TotalTimeNs5, UInt64 TotalTimeNs6, UInt64 TotalTimeNs7, UInt64 TotalTimeNs8, UInt64 TotalTimeNs9, UInt64 TotalTimeNs10, UInt64 TotalTimeNs11)		Statistics	task_0	Informational		
Microsoft-Windows-ReFS	170	2	task_0170_V2(GUID VolumeCorrelationId, UInt16 VolumeNameLength, UnicodeString VolumeName, UInt32 TierIndex, UInt64 IntervalDurationMs, UnicodeString IntervalDurationStr, UInt16 IoType, UnicodeString IoTypeStr, UInt64 MaxLatencyMs, UnicodeString MaxLatencyStr, UInt32 HighLatencyIoCount, UInt64 TotalIoCount, UInt64 AverageIops, UInt64 AverageLatencyNs, UnicodeString AverageLatencyStr, UnicodeString LatencyBuckets, UInt64 IoCount0, UInt64 IoCount1, UInt64 IoCount2, UInt64 IoCount3, UInt64 IoCount4, UInt64 IoCount5, UInt64 IoCount6, UInt64 IoCount7, UInt64 IoCount8, UInt64 IoCount9, UInt64 IoCount10, UInt64 IoCount11, UInt64 TotalTimeNs0, UInt64 TotalTimeNs1, UInt64 TotalTimeNs2, UInt64 TotalTimeNs3, UInt64 TotalTimeNs4, UInt64 TotalTimeNs5, UInt64 TotalTimeNs6, UInt64 TotalTimeNs7, UInt64 TotalTimeNs8, UInt64 TotalTimeNs9, UInt64 TotalTimeNs10, UInt64 TotalTimeNs11, UInt64 TotalBytes, UInt64 AverageBps, UInt64 TotalBytes0, UInt64 TotalBytes1, UInt64 TotalBytes2, UInt64 TotalBytes3, UInt64 TotalBytes4, UInt64 TotalBytes5, UInt64 TotalBytes6, UInt64 TotalBytes7, UInt64 TotalBytes8, UInt64 TotalBytes9, UInt64 TotalBytes10, UInt64 TotalBytes11)		Statistics	task_0	Informational		
Microsoft-Windows-ReFS	170	3	task_0170_V3(GUID VolumeCorrelationId, UInt16 VolumeNameLength, UnicodeString VolumeName, UInt32 TierIndex, UInt64 IntervalDurationMs, UnicodeString IntervalDurationStr, UInt16 IoType, UnicodeString IoTypeStr, UInt64 MaxLatencyMs, UnicodeString MaxLatencyStr, UInt32 HighLatencyIoCount, UInt64 TotalIoCount, UInt64 AverageIops, UInt64 AverageLatencyNs, UnicodeString AverageLatencyStr, UnicodeString LatencyBuckets, UInt64 IoCount0, UInt64 IoCount1, UInt64 IoCount2, UInt64 IoCount3, UInt64 IoCount4, UInt64 IoCount5, UInt64 IoCount6, UInt64 IoCount7, UInt64 IoCount8, UInt64 IoCount9, UInt64 IoCount10, UInt64 IoCount11, UInt64 TotalTimeNs0, UInt64 TotalTimeNs1, UInt64 TotalTimeNs2, UInt64 TotalTimeNs3, UInt64 TotalTimeNs4, UInt64 TotalTimeNs5, UInt64 TotalTimeNs6, UInt64 TotalTimeNs7, UInt64 TotalTimeNs8, UInt64 TotalTimeNs9, UInt64 TotalTimeNs10, UInt64 TotalTimeNs11, UInt64 TotalBytes, UInt64 AverageBps, UInt64 TotalBytes0, UInt64 TotalBytes1, UInt64 TotalBytes2, UInt64 TotalBytes3, UInt64 TotalBytes4, UInt64 TotalBytes5, UInt64 TotalBytes6, UInt64 TotalBytes7, UInt64 TotalBytes8, UInt64 TotalBytes9, UInt64 TotalBytes10, UInt64 TotalBytes11, UInt64 TotalExtents, UInt64 TotalExtents0, UInt64 TotalExtents1, UInt64 TotalExtents2, UInt64 TotalExtents3, UInt64 TotalExtents4, UInt64 TotalExtents5, UInt64 TotalExtents6, UInt64 TotalExtents7, UInt64 TotalExtents8, UInt64 TotalExtents9, UInt64 TotalExtents10, UInt64 TotalExtents11)		Statistics	task_0	Informational		
Microsoft-Windows-ReFS	200	1	task_0200_V1(GUID VolumeGuid, UInt16 DeviceNameLength, UnicodeString DeviceName, Int64 EventGroupTag, UInt64 StreamSnapshotCreateOperationCount, UInt64 StreamSnapshotCreateOperationDurationMicrosSec, UInt64 StreamSnapshotCreateOperationMaxDurationMicroSec, UInt64 StreamSnapshotListOperationCount, UInt64 StreamSnapshotListOperationDurationMicrosSec, UInt64 StreamSnapshotListOperationMaxDurationMicroSec, UInt64 StreamSnapshotQueryDeltasOperationCount, UInt64 StreamSnapshotQueryDeltasOperationDurationMicrosSec, UInt64 StreamSnapshotQueryDeltasOperationMaxDurationMicroSec, UInt64 StreamSnapshotRevertOperationCount, UInt64 StreamSnapshotRevertOperationDurationMicrosSec, UInt64 StreamSnapshotRevertOperationMaxDurationMicroSec, UInt64 StreamSnapshotSetShadowBTreeOperationCount, UInt64 StreamSnapshotSetShadowBTreeOperationDurationMicroSec, UInt64 StreamSnapshotSetShadowBTreeOperationMaxDurationMicroSec, UInt64 StreamSnapshotClearShadowBTreeOperationCount, UInt64 StreamSnapshotClearShadowBTreeOperationDurationMicroSec, UInt64 StreamSnapshotClearShadowBTreeOperationMaxDurationMicroSec, UInt64 StreamSnapshotErrorCount)		Statistics	task_0	Informational		
