provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-ReadyBoostDriver	1	2	StoreReadStart_V2(UInt64 ByteOffset, Pointer Irp, UInt32 ByteLength, UInt32 Flags, Pointer FileKey, UInt16 StoreId, UInt16 VolumeId)	Start	StoreOps	StoreRead	Informational		
Microsoft-Windows-ReadyBoostDriver	2	1	StoreReadStop_V1(Pointer Irp, UInt32 Status)	Stop	StoreOps	StoreRead	Informational		
Microsoft-Windows-ReadyBoostDriver	3	2	StoreAdd_V2(UInt64 DataKey, Pointer DataMgr, UInt32 StoreOffset, UInt16 CompressedSize, UInt16 Flags)		StoreOps	StoreAdd	Informational		
Microsoft-Windows-ReadyBoostDriver	4	1	StoreRemove_V1(UInt64 DataKey, Pointer DataMgr, UInt32 StoreOffset)		StoreOps	StoreRemove	Informational		
Microsoft-Windows-ReadyBoostDriver	6	1	StoreDelete_V1(Pointer StoreKey)		StoreOps	StoreDelete	Informational		
Microsoft-Windows-ReadyBoostDriver	8	1	VolumeMapRundown_V1(UInt16 VolumeId, UInt16 VolumeNameLength, UnicodeString VolumePath)		StoreOps	VolumeMapRundown	Informational		
Microsoft-Windows-ReadyBoostDriver	9	1	VolumeMapCreate_V1(UInt16 VolumeId, UInt16 VolumeNameLength, UnicodeString VolumePath)		StoreOps	VolumeMapCreate	Informational		
Microsoft-Windows-ReadyBoostDriver	10	1	VolumeMapRemove_V1(UInt16 VolumeId, UInt16 VolumeNameLength, UnicodeString VolumePath)		StoreOps	VolumeMapRemove	Informational		
Microsoft-Windows-ReadyBoostDriver	11	1	StoreIgnoredIO_V1(Pointer Irp, UInt16 Reason, UInt16 Flags)		StoreOps	StoreIgnoredIO	Informational		
Microsoft-Windows-ReadyBoostDriver	12	2	ReadyBootIO_V2(UInt64 StartTime, UInt64 ByteOffset, Pointer FileKey, Pointer ProcessKey, UInt32 ByteLength, UInt32 Flags)		ReadyBoot	ReadyBootIO	Informational		
Microsoft-Windows-ReadyBoostDriver	13	1	StoreCorruption_V1(Pointer DataMgr, Pointer VirtualAddress, UInt64 PhysicalAddress, UInt16 Size, UInt8 FileBacked, UInt8 CorruptionType, UInt32 Flags)		StoreOps StoreDiag	StoreCorruption	Informational		
Microsoft-Windows-ReadyBoostDriver	14	1	StorePageRundown_V1(UInt64 DataKey, Pointer DataMgr, UInt32 StoreOffset, UInt16 CompressedSize, UInt16 Flags)		StoreContentsRundown	StorePageRundown	Informational		
