provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-ResetEng-Trace	1	0	PBR_OfflinePhase()		ResetEngTrace	PBR_OfflinePhase	Informational		
Microsoft-Windows-ResetEng-Trace	2	0	PBR_OfflinePhase2()		ResetEngTrace	PBR_OfflinePhase	Informational		
Microsoft-Windows-ResetEng-Trace	3	0	PBR_NewOsPhase()		ResetEngTrace	PBR_NewOsPhase	Informational		
Microsoft-Windows-ResetEng-Trace	4	0	PBR_NewOsPhase4()		ResetEngTrace	PBR_NewOsPhase	Informational		
Microsoft-Windows-ResetEng-Trace	5	0	PBR_InitialUiPhase()		ResetEngTrace	PBR_InitialUiPhase	Informational		
Microsoft-Windows-ResetEng-Trace	6	0	PBR_InitialUiPhase6()		ResetEngTrace	PBR_InitialUiPhase	Informational		
Microsoft-Windows-ResetEng-Trace	7	0	PBR_InitialUiPhase7()		ResetEngTrace	PBR_InitialUiPhase	Informational		
Microsoft-Windows-ResetEng-Trace	8	0	PBR_InitialUiPhase8()		ResetEngTrace	PBR_InitialUiPhase	Informational		
Microsoft-Windows-ResetEng-Trace	9	0	PBR_InitialUiPhase9()		ResetEngTrace	PBR_InitialUiPhase	Informational		
Microsoft-Windows-ResetEng-Trace	10	0	PBR_InitialUiPhase10(Boolean OnlineUi, UInt32 PageId)		ResetEngTrace	PBR_InitialUiPhase	Informational		
