provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Runtime-Media	200	0	MicrosoftWindowsRuntimeCaptureEngineInitializationTaskStart(Pointer WinRTCaptureEngine, Pointer AsyncOp, UInt32 OpStatus)	Start	keyword_800000000000	MicrosoftWindowsRuntimeCaptureEngineInitializationTask	Informational		
Microsoft-Windows-Runtime-Media	201	0	MicrosoftWindowsRuntimeCaptureEngineInitializationTaskStop(Pointer WinRTCaptureEngine, Pointer AsyncOp, UInt32 OpStatus, UnicodeString AudioDeviceId, UnicodeString VideoDeviceId)	Stop	keyword_800000000000	MicrosoftWindowsRuntimeCaptureEngineInitializationTask	Informational		
Microsoft-Windows-Runtime-Media	202	0	MicrosoftWindowsRuntimeCaptureEngineTakePhotoTaskStart(Pointer WinRTCaptureEngine, Pointer AsyncOp, UInt32 OpStatus)	Start	keyword_800000000000	MicrosoftWindowsRuntimeCaptureEngineTakePhotoTask	Informational		
Microsoft-Windows-Runtime-Media	203	0	MicrosoftWindowsRuntimeCaptureEngineTakePhotoTaskStop(Pointer WinRTCaptureEngine, Pointer AsyncOp, UInt32 OpStatus)	Stop	keyword_800000000000	MicrosoftWindowsRuntimeCaptureEngineTakePhotoTask	Informational		
Microsoft-Windows-Runtime-Media	204	0	MicrosoftWindowsRuntimeCaptureEngineStartRecordTaskStart(Pointer WinRTCaptureEngine, Pointer AsyncOp, UInt32 OpStatus)	Start	keyword_800000000000	MicrosoftWindowsRuntimeCaptureEngineStartRecordTask	Informational		
Microsoft-Windows-Runtime-Media	205	0	MicrosoftWindowsRuntimeCaptureEngineStartRecordTaskStop(Pointer WinRTCaptureEngine, Pointer AsyncOp, UInt32 OpStatus)	Stop	keyword_800000000000	MicrosoftWindowsRuntimeCaptureEngineStartRecordTask	Informational		
Microsoft-Windows-Runtime-Media	206	0	MicrosoftWindowsRuntimeCaptureEngineStopRecordTaskStart(Pointer WinRTCaptureEngine, Pointer AsyncOp, UInt32 OpStatus)	Start	keyword_800000000000	MicrosoftWindowsRuntimeCaptureEngineStopRecordTask	Informational		
Microsoft-Windows-Runtime-Media	207	0	MicrosoftWindowsRuntimeCaptureEngineStopRecordTaskStop(Pointer WinRTCaptureEngine, Pointer AsyncOp, UInt32 OpStatus)	Stop	keyword_800000000000	MicrosoftWindowsRuntimeCaptureEngineStopRecordTask	Informational		
Microsoft-Windows-Runtime-Media	208	0	MicrosoftWindowsRuntimeCaptureEngineStartPreviewTaskStart(Pointer WinRTCaptureEngine, Pointer AsyncOp, UInt32 OpStatus)	Start	keyword_800000000000	MicrosoftWindowsRuntimeCaptureEngineStartPreviewTask	Informational		
Microsoft-Windows-Runtime-Media	209	0	MicrosoftWindowsRuntimeCaptureEngineStartPreviewTaskStop(Pointer WinRTCaptureEngine, Pointer AsyncOp, UInt32 OpStatus)	Stop	keyword_800000000000	MicrosoftWindowsRuntimeCaptureEngineStartPreviewTask	Informational		
Microsoft-Windows-Runtime-Media	210	0	MicrosoftWindowsRuntimeCaptureEngineStopPreviewTaskStart(Pointer WinRTCaptureEngine, Pointer AsyncOp, UInt32 OpStatus)	Start	keyword_800000000000	MicrosoftWindowsRuntimeCaptureEngineStopPreviewTask	Informational		
Microsoft-Windows-Runtime-Media	211	0	MicrosoftWindowsRuntimeCaptureEngineStopPreviewTaskStop(Pointer WinRTCaptureEngine, Pointer AsyncOp, UInt32 OpStatus)	Stop	keyword_800000000000	MicrosoftWindowsRuntimeCaptureEngineStopPreviewTask	Informational		
Microsoft-Windows-Runtime-Media	212	0	MicrosoftWindowsRuntimeCaptureEngineETWevent(Pointer WinRTCaptureEngine, Pointer AsyncOp, UInt32 ErrorCode)		keyword_800000000000	MicrosoftWindowsRuntimeCaptureEngineETWevent	Error		
Microsoft-Windows-Runtime-Media	213	0	MicrosoftWindowsRuntimePreviewSourceDispatchSample(Pointer Source, Pointer Sample)		keyword_800000000000	MicrosoftWindowsRuntimePreviewSourceDispatchSample	Informational		
Microsoft-Windows-Runtime-Media	214	0	MediaCapturePhotoSequencePrepareoperationStart(Pointer WinRTCaptureEngine, Pointer AsyncOp, UInt32 OpStatus)	Start	keyword_800000000000	MediaCapturePhotoSequencePrepareoperation	Informational		
Microsoft-Windows-Runtime-Media	215	0	MediaCapturePhotoSequencePrepareoperationStop(Pointer WinRTCaptureEngine, Pointer AsyncOp, UInt32 OpStatus)	Stop	keyword_800000000000	MediaCapturePhotoSequencePrepareoperation	Informational		
Microsoft-Windows-Runtime-Media	216	0	MediaCapturePhotoSequenceStartoperationStart(Pointer WinRTCaptureEngine, Pointer AsyncOp, UInt32 OpStatus)	Start	keyword_800000000000	MediaCapturePhotoSequenceStartoperation	Informational		
Microsoft-Windows-Runtime-Media	217	0	MediaCapturePhotoSequenceStartoperationStop(Pointer WinRTCaptureEngine, Pointer AsyncOp, UInt32 OpStatus)	Stop	keyword_800000000000	MediaCapturePhotoSequenceStartoperation	Informational		
Microsoft-Windows-Runtime-Media	218	0	MediaCapturePhotoSequenceStopoperationStart(Pointer WinRTCaptureEngine, Pointer AsyncOp, UInt32 OpStatus)	Start	keyword_800000000000	MediaCapturePhotoSequenceStopoperation	Informational		
Microsoft-Windows-Runtime-Media	219	0	MediaCapturePhotoSequenceStopoperationStop(Pointer WinRTCaptureEngine, Pointer AsyncOp, UInt32 OpStatus)	Stop	keyword_800000000000	MediaCapturePhotoSequenceStopoperation	Informational		
Microsoft-Windows-Runtime-Media	220	0	MediaCapturePhotoSequenceFinishoperationStart(Pointer WinRTCaptureEngine, Pointer AsyncOp, UInt32 OpStatus)	Start	keyword_800000000000	MediaCapturePhotoSequenceFinishoperation	Informational		
Microsoft-Windows-Runtime-Media	221	0	MediaCapturePhotoSequenceFinishoperationStop(Pointer WinRTCaptureEngine, Pointer AsyncOp, UInt32 OpStatus)	Stop	keyword_800000000000	MediaCapturePhotoSequenceFinishoperation	Informational		
Microsoft-Windows-Runtime-Media	222	0	MediaCapturePhotoSequencephotoavailable(Pointer WinRTCaptureEngine, Int64 StartTime, Int64 CaptureTime)		keyword_800000000000	MediaCapturePhotoSequencephotoavailable	Informational		
Microsoft-Windows-Runtime-Media	223	0	MediaCaptureTrySetEncodingPropertiesoperationStart(Pointer WinRTCaptureEngine, Pointer AsyncOp, UInt32 OpStatus)	Start	keyword_800000000000	MediaCaptureTrySetEncodingPropertiesoperation	Informational		
Microsoft-Windows-Runtime-Media	224	0	MediaCaptureTrySetEncodingPropertiesoperationStop(Pointer WinRTCaptureEngine, Pointer AsyncOp, UInt32 OpStatus)	Stop	keyword_800000000000	MediaCaptureTrySetEncodingPropertiesoperation	Informational		
Microsoft-Windows-Runtime-Media	225	0	MediaCaptureLowLagPhotoPrepareoperationStart(Pointer WinRTCaptureEngine, Pointer AsyncOp, UInt32 OpStatus)	Start	keyword_800000000000	MediaCaptureLowLagPhotoPrepareoperation	Informational		
Microsoft-Windows-Runtime-Media	226	0	MediaCaptureLowLagPhotoPrepareoperationStop(Pointer WinRTCaptureEngine, Pointer AsyncOp, UInt32 OpStatus)	Stop	keyword_800000000000	MediaCaptureLowLagPhotoPrepareoperation	Informational		
Microsoft-Windows-Runtime-Media	227	0	MediaCaptureLowLagPhotoCaptureoperationStart(Pointer WinRTCaptureEngine, Pointer AsyncOp, UInt32 OpStatus)	Start	keyword_800000000000	MediaCaptureLowLagPhotoCaptureoperation	Informational		
Microsoft-Windows-Runtime-Media	228	0	MediaCaptureLowLagPhotoCaptureoperationStop(Pointer WinRTCaptureEngine, Pointer AsyncOp, UInt32 OpStatus)	Stop	keyword_800000000000	MediaCaptureLowLagPhotoCaptureoperation	Informational		
Microsoft-Windows-Runtime-Media	229	0	MediaCaptureLowLagPhotoFinishoperationStart(Pointer WinRTCaptureEngine, Pointer AsyncOp, UInt32 OpStatus)	Start	keyword_800000000000	MediaCaptureLowLagPhotoFinishoperation	Informational		
Microsoft-Windows-Runtime-Media	230	0	MediaCaptureLowLagPhotoFinishoperationStop(Pointer WinRTCaptureEngine, Pointer AsyncOp, UInt32 OpStatus)	Stop	keyword_800000000000	MediaCaptureLowLagPhotoFinishoperation	Informational		
Microsoft-Windows-Runtime-Media	231	0	MediaCaptureSetRegionsAsyncoperationStart(Pointer WinRTCaptureEngine, Pointer AsyncOp, UInt32 OpStatus)	Start	keyword_800000000000	MediaCaptureSetRegionsAsyncoperation	Informational		
Microsoft-Windows-Runtime-Media	232	0	MediaCaptureSetRegionsAsyncoperationStop(Pointer WinRTCaptureEngine, Pointer AsyncOp, UInt32 OpStatus)	Stop	keyword_800000000000	MediaCaptureSetRegionsAsyncoperation	Informational		
Microsoft-Windows-Runtime-Media	233	0	MediaCaptureClearRegionsAsyncoperationStart(Pointer WinRTCaptureEngine, Pointer AsyncOp, UInt32 OpStatus)	Start	keyword_800000000000	MediaCaptureClearRegionsAsyncoperation	Informational		
Microsoft-Windows-Runtime-Media	234	0	MediaCaptureClearRegionsAsyncoperationStop(Pointer WinRTCaptureEngine, Pointer AsyncOp, UInt32 OpStatus)	Stop	keyword_800000000000	MediaCaptureClearRegionsAsyncoperation	Informational		
Microsoft-Windows-Runtime-Media	235	0	MediaCaptureLowLagRecordPrepareoperationStart(Pointer WinRTCaptureEngine, Pointer AsyncOp, UInt32 OpStatus)	Start	keyword_800000000000	MediaCaptureLowLagRecordPrepareoperation	Informational		
Microsoft-Windows-Runtime-Media	236	0	MediaCaptureLowLagRecordPrepareoperationStop(Pointer WinRTCaptureEngine, Pointer AsyncOp, UInt32 OpStatus)	Stop	keyword_800000000000	MediaCaptureLowLagRecordPrepareoperation	Informational		
Microsoft-Windows-Runtime-Media	237	0	MediaCaptureLowLagRecordStartoperationStart(Pointer WinRTCaptureEngine, Pointer AsyncOp, UInt32 OpStatus)	Start	keyword_800000000000	MediaCaptureLowLagRecordStartoperation	Informational		
