provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Runtime-Networking	1	0	AsyncOperationAsyncoperationstart(UInt32 asyncOperation, Pointer asyncObject)	Asyncoperationstart	keywords.AsyncOperation	AsyncOperation	Informational		
Microsoft-Windows-Runtime-Networking	2	0	AsyncOperationAsyncoperationfailure(UInt32 asyncOperation, Pointer asyncObject, UInt32 errorCode, Int32 hresult)	Asyncoperationfailure	keywords.AsyncOperation	AsyncOperation	Error		
Microsoft-Windows-Runtime-Networking	3	0	AsyncOperationAsyncoperationcomplete(UInt32 asyncOperation, Pointer asyncObject)	Asyncoperationcomplete	keywords.AsyncOperation	AsyncOperation	Informational		
Microsoft-Windows-Runtime-Networking	4	0	AsyncOperationAsyncoperationfailure4(UInt32 asyncOperation, Pointer asyncObject, UInt32 errorCode, Int32 hresult)	Asyncoperationfailure	keywords.AsyncOperation	AsyncOperation	Error		
Microsoft-Windows-Runtime-Networking	5	0	AsyncOperationAsyncoperationabort(UInt32 asyncOperation, Pointer asyncObject)	Asyncoperationabort	keywords.AsyncOperation	AsyncOperation	Informational		
Microsoft-Windows-Runtime-Networking	6	0	AsyncOperationAsyncoperationclose(UInt32 asyncOperation, Pointer asyncObject)	Asyncoperationclose	keywords.AsyncOperation	AsyncOperation	Informational		
Microsoft-Windows-Runtime-Networking	7	0	WebSocketConnectHTTPoperation(UnicodeString uri)	HTTPoperation	keywords.Http	WebSocketConnect	Warning		
Microsoft-Windows-Runtime-Networking	8	0	WebSocketConnectHTTPoperation8(UnicodeString str1, UnicodeString str2)	HTTPoperation	keywords.Http	WebSocketConnect	Warning		
Microsoft-Windows-Runtime-Networking	9	0	WebSocketConnectHTTPoperation9(UnicodeString str1, UnicodeString str2)	HTTPoperation	keywords.Http	WebSocketConnect	Informational		
Microsoft-Windows-Runtime-Networking	10	0	WebSocketConnectHTTPoperation10(UnicodeString str1, UnicodeString str2)	HTTPoperation	keywords.Http	WebSocketConnect	Informational		
Microsoft-Windows-Runtime-Networking	11	0	WebSocketConnectHTTPoperation11(UnicodeString uri)	HTTPoperation	keywords.Http	WebSocketConnect	Informational		
Microsoft-Windows-Runtime-Networking	12	0	WebSocketConnectHTTPoperation12(UnicodeString uri, UInt32 port, UInt32 errorCode, UInt32 errorMessage)	HTTPoperation	keywords.Http	WebSocketConnect	Error		
