provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Runtime-WebAPI	1	0	AsyncI/OAsyncoperationstart(UInt32 asyncOperation, Pointer asyncObject)	Asyncoperationstart	keywords.AsyncOperation	AsyncI/O	Informational		
Microsoft-Windows-Runtime-WebAPI	2	0	AsyncI/OAsyncoperationfailure(UInt32 asyncOperation, Pointer asyncObject, UInt32 errorCode, Int32 hresult)	Asyncoperationfailure	keywords.AsyncOperation	AsyncI/O	Error		
Microsoft-Windows-Runtime-WebAPI	3	0	AsyncI/OAsyncoperationcomplete(UInt32 asyncOperation, Pointer asyncObject)	Asyncoperationcomplete	keywords.AsyncOperation	AsyncI/O	Informational		
Microsoft-Windows-Runtime-WebAPI	4	0	AsyncI/OAsyncoperationfailure4(UInt32 asyncOperation, Pointer asyncObject, UInt32 errorCode, Int32 hresult)	Asyncoperationfailure	keywords.AsyncOperation	AsyncI/O	Error		
Microsoft-Windows-Runtime-WebAPI	5	0	AsyncI/OAsyncoperationabort(UInt32 asyncOperation, Pointer asyncObject)	Asyncoperationabort	keywords.AsyncOperation	AsyncI/O	Informational		
Microsoft-Windows-Runtime-WebAPI	6	0	AsyncI/OAsyncoperationclose(UInt32 asyncOperation, Pointer asyncObject)	Asyncoperationclose	keywords.AsyncOperation	AsyncI/O	Informational		
Microsoft-Windows-Runtime-WebAPI	7	0	AsyncI/OAsyncoperationcompletion(UInt32 asyncOperation, Pointer asyncObject, Pointer callback)	Asyncoperationcompletion	keywords.AsyncOperation	AsyncI/O	Informational		
Microsoft-Windows-Runtime-WebAPI	8	0	AsyncI/OAsyncoperationprogress(UInt32 asyncOperation, Pointer asyncObject, Pointer callback)	Asyncoperationprogress	keywords.AsyncOperation	AsyncI/O	Informational		
Microsoft-Windows-Runtime-WebAPI	9	0	AsyncI/OAsyncoperationfailure9(UInt32 asyncOperation, Pointer asyncObject, UInt32 errorCode, Int32 hresult)	Asyncoperationfailure	keywords.AsyncOperation	AsyncI/O	Error		
Microsoft-Windows-Runtime-WebAPI	10	0	AsyncI/OAsyncoperationfailure10(UInt32 asyncOperation, Pointer asyncObject, UInt32 errorCode, Int32 hresult)	Asyncoperationfailure	keywords.AsyncOperation	AsyncI/O	Error		
